"表166-H(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：桃 園 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,同安里,2638,3770961,55547,115378,2224532,122730,93316,40143,3529,1026924,14314,65763,0,8786,1890184,3437642,2474
,莊敬里,2836,3977817,53569,138079,2684059,151501,120700,27958,3517,714202,1470,52397,1329,29037,2318050,3612880,5340
,文中里,808,716552,12021,11717,542690,41643,13562,3481,527,75069,729,11196,0,3916,443449,617312,244
,泰山里,1364,1361812,22247,28795,987177,77173,34320,2959,1373,185316,86,15516,0,6848,822035,1196678,1127
,中路里,1384,1262576,21147,16472,980488,61977,15229,6151,944,140877,5913,11909,0,1469,805538,1087626,363
,中德里,2207,2139980,120786,31386,1603707,67560,32768,8178,2503,232629,3849,22634,0,13980,1308995,1845269,1129
,龍祥里,1542,1467327,21917,18688,1235644,44439,11426,10508,6483,95742,3656,17160,0,1666,1019302,1250985,907
,大有里,1658,1645852,24856,30982,1302269,48368,28386,11723,1782,169797,2429,19308,52,5901,1081223,1425362,1452
,寶山里,2610,2328449,26284,40509,1927315,68747,17079,7936,2860,208364,1675,23310,82,4287,1573295,1976056,835
,龍鳳里,2295,2152959,25430,30594,1787888,65509,20104,8265,2463,174393,690,30566,265,6793,1472152,1837568,2394
,龍安里,1717,1773640,16339,41547,1428666,63895,28246,5084,1993,158062,1571,26374,6,1859,1191223,1536197,853
,自強里,2420,2849131,48099,66310,2136004,95692,39195,18123,2962,389574,3069,45299,308,4498,1811262,2524763,2471
,中信里,1909,1810587,18420,41203,1467636,74315,29229,13171,1568,136694,2598,23180,459,2115,1214960,1557818,1863
,長德里,1591,1535266,23400,38086,1117135,65655,29633,5786,1255,229591,414,16902,0,7409,921203,1339835,175
,中平里,1420,1267059,18133,23272,974224,57559,18688,4904,1215,143860,4224,18734,27,2220,798885,1091708,729
,中原里,1552,1501388,21503,25148,1234256,63575,11402,3493,1730,121540,855,16035,123,1728,1022367,1289485,1365
,中泰里,1433,1743074,15698,39031,1381770,73357,19695,2749,2083,181700,2434,22491,544,1522,1183677,1541225,2396
,南埔里,1492,1579220,15728,40099,1171345,66957,24639,8910,1534,229232,886,18342,76,1471,979723,1387595,1462
,寶慶里,2056,2653689,39964,81656,2007831,90147,38852,16230,2619,336669,735,30468,93,8426,1725563,2372042,1385
,北埔里,1535,1673976,22901,24488,1331851,52983,16450,7574,2462,180024,374,29757,192,4920,1119765,1464184,1328
,永和里,6,3262,168,0,2463,268,0,27,0,334,0,2,0,0,1807,2607,0
,三元里,1124,1123227,13610,32084,866846,54419,14546,2405,843,119337,258,10665,1102,7113,724513,980768,2201
,中聖里,1916,2201592,18556,60040,1814582,93084,11612,5553,3928,160346,690,29148,344,3709,1557896,1944655,2492
,龍壽里,1773,1609979,32253,26463,1334347,52117,12466,8662,1638,113578,1089,24752,14,2599,1085771,1361418,873
,瑞慶里,1821,1843287,29752,41741,1474005,49828,26593,6854,1894,173347,608,29479,369,8817,1228816,1598578,1970
,寶安里,2599,2932799,33569,40865,2317695,78590,24244,13105,2662,372186,557,44284,414,4628,1958417,2573370,2108
,同德里,2052,2791136,26508,69748,2147407,91296,37921,11609,2440,324527,7858,61410,405,10007,1866972,2510638,2405
,明德里,1152,2341754,14460,81108,1214808,112796,60886,20160,906,780789,7130,25745,0,22967,1073316,2200273,1225
,其　他,10,13755,6,82,9334,2299,0,121,5,476,0,1432,0,0,8290,12711,1
"表166-H(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：桃 園 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,合　計,119125,121389410,1906854,2633036,91143628,5091702,2262808,583848,140658,15404424,159223,1606663,16127,440438,75882208,106138006,103504
大溪區,興和里,477,363609,8949,21437,254445,29247,10963,918,455,27551,2435,3658,0,3552,204287,313451,258
,福仁里,253,323312,4262,2136,135460,12752,5572,1159,162,159931,32,971,46,829,110307,298159,428
,一心里,1331,1133571,25735,29580,804919,51796,35338,10171,1018,165662,486,7474,3,1387,636488,967968,664
,月眉里,308,215568,10179,2483,171958,7641,3690,419,104,17587,0,1077,61,368,133228,176837,320
,康安里,305,218044,6040,4286,164745,7469,4230,497,327,28429,22,1291,0,707,125682,179715,4
,義和里,398,289645,6104,3178,227548,12156,5051,665,187,31422,154,2350,0,830,176921,240323,429
,福安里,495,399845,14200,5913,283276,20619,18187,1323,352,41557,0,12048,219,2151,224080,341378,1150
,美華里,750,501668,16334,4649,395968,16692,9901,1239,414,49486,23,5731,78,1153,304568,411199,498
,復興里,171,107396,2336,1478,85269,4669,2901,185,115,9047,0,1116,0,278,65133,87635,24
,新峰里,123,80945,5728,166,54493,2871,3609,0,23,12147,0,1547,0,362,40702,68369,2
,永福里,268,933450,3637,6350,203440,13783,8359,1590,97,687046,3378,5197,62,513,171465,902081,497
,瑞興里,669,519792,19716,7663,367541,18121,7802,6177,525,88609,0,3193,0,444,281231,434993,245
,中新里,411,268901,6337,1936,220670,11945,5324,153,223,18510,0,2566,0,1237,170307,219205,195
,仁善里,2204,1938486,49668,23347,1537114,69413,18411,7507,2123,156227,508,70624,335,3210,1244295,1645667,1609
,南興里,1344,907753,29302,4435,720528,30078,18552,3899,1198,90637,3,7403,0,1718,549977,737697,264
,員林里,477,379006,8077,5068,303274,18165,4470,2644,358,30563,187,5807,16,378,240207,317237,480
,瑞源里,1139,1004914,18818,16211,812486,47336,11310,1462,1057,83014,829,9478,0,2912,659309,853639,445
,僑愛里,791,643908,8546,10771,542301,37589,4286,1944,634,31527,654,4503,323,832,443225,544824,1142
