"表166-H(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：桃 園 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,裕成里,1086,1097893,17867,15810,822702,37173,9327,5861,859,165971,2009,13576,3689,3048,678613,952375,6636
,秀才里,1109,767546,13074,6496,661481,24114,9483,841,765,43244,381,6474,25,1168,511069,618904,326
,青山里,1142,842160,11221,8545,734547,19275,3719,5200,894,46140,13,11392,6,1209,580673,688287,453
,新榮里,1180,1073581,13128,9997,918572,30221,4201,1615,1195,77634,300,14295,0,2422,747542,902551,422
,雙榮里,1080,985777,10401,6895,860510,31222,3898,2179,1299,55990,89,11896,109,1289,708530,833797,1190
,瑞坪里,1859,1532662,12335,19107,1336958,42536,9283,2232,1279,90781,172,16683,0,1295,1069638,1265756,877
,永平里,598,453545,7081,5505,366140,18379,12870,1279,283,36340,15,4616,0,1038,288111,376568,104
,瑞溪里,1108,933821,12551,8553,817744,20786,3969,3635,959,51895,159,11923,126,1522,656835,773552,658
,高上里,858,609459,10427,5027,483422,18661,19165,1671,491,62630,0,7761,0,203,367558,494137,129
,富豐里,856,639800,10313,3914,554173,19407,4304,1047,523,35964,290,9522,75,269,434401,520417,294
,裕新里,642,526404,6166,9016,447178,13924,4131,1605,378,36239,400,6619,224,525,360273,439910,739
"表166-H(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：桃 園 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,三民里,1081,923426,6753,17218,809734,22687,3910,1118,876,49787,249,10745,97,252,651178,765813,586
,頭湖里,835,648043,7999,4797,565531,10537,2542,996,941,37022,144,17005,32,499,446088,529159,473
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,44276,37991440,536456,439933,30719475,1294269,408896,96793,41912,3844700,26459,448689,5923,127935,24638497,31930269,25881
蘆竹區,新興里,990,882141,20336,10600,602610,30371,21326,2745,463,182756,365,10016,0,552,479671,759201,174
,中福里,1203,959140,35033,9532,719385,30053,20417,2428,846,130121,0,9045,41,2240,560399,800155,357
,新莊里,1508,1357834,32860,10598,1019776,41482,23894,4135,1073,206047,0,16775,0,1195,807967,1146526,419
,大竹里,1429,1405458,33427,11235,1055361,50420,17943,6989,1027,209769,2456,15505,0,1326,854195,1204960,218
,蘆竹里,1254,1159263,33374,13690,812039,39181,59424,4385,1121,177030,476,17750,0,794,647633,996276,243
,南崁里,1251,1534432,42618,29112,908460,67935,94493,4795,1021,337931,1572,42450,0,4047,757728,1384768,461
,錦興里,1333,1286413,20554,23402,942397,44375,49879,8377,1151,177577,561,14627,158,3353,755537,1100266,613
,五福里,1035,1128439,15687,7984,881964,31042,25130,2758,5009,136818,24,16823,118,5083,738446,990208,1117
,內厝里,819,721011,26084,4028,414311,33421,95783,2105,718,136320,0,7694,0,549,316655,625302,80
,山鼻里,611,453788,15311,2710,353093,17341,14147,895,465,45142,0,3806,0,878,268361,371550,47
,坑子里,507,388612,9897,2908,299279,13013,15570,1054,1639,33085,575,10399,129,1064,217722,320086,585
,外社里,434,397695,2859,2570,292912,16417,5528,825,472,73813,0,2034,0,266,228347,335838,163
,山腳里,1184,860325,29685,7312,691181,28672,12769,1029,617,79069,0,6562,0,3429,529633,702663,136
,坑口里,730,574333,14497,6161,434514,18867,17515,4287,600,72189,0,4888,0,817,335201,477208,47
,海湖里,1594,1091961,21547,9815,894874,32456,31068,1832,843,85061,0,13553,0,910,673839,876456,224
,富竹里,431,364599,4808,4391,280078,15786,10887,5037,332,37271,2753,3020,0,236,221736,307672,123
,上竹里,1124,994965,17661,16201,761045,44650,27077,3076,1045,111689,296,11984,0,240,610844,844790,37
,宏竹里,943,742941,16416,6489,582910,27484,14665,535,735,84061,0,8092,0,1552,448744,610592,210
,南榮里,1187,1419851,13065,20053,912554,46799,39261,10399,911,361400,0,11310,414,3685,757266,1265960,1589
,南興里,2172,2523489,30525,37154,1991545,68240,26407,22878,2136,285505,1783,47046,172,10096,1686195,2219798,2032
,長興里,898,644670,9958,5281,468484,18405,65467,3511,674,68333,32,3876,0,650,353691,530963,116
,錦中里,1136,1164488,27611,28678,781894,51822,79718,5990,1207,172588,1601,10624,0,2755,647683,1030943,234
,瓦窯里,973,846967,13088,10919,681697,22420,23725,3341,820,71786,606,18060,0,504,548599,716469,514
,營盤里,1666,1791727,16880,29635,1416867,44499,24103,12411,1936,218559,855,24113,15,1854,1176788,1553964,1057
,羊稠里,1751,2954359,33591,35573,1840037,82531,45903,30310,1808,774072,30066,39159,1479,39830,1600514,2717174,3291
,順興里,1179,1368840,7421,20532,1108412,31871,7592,24215,1462,139649,899,22492,281,4015,937687,1198948,1262
,福昌里,1681,1836186,12739,9776,1572871,50065,9992,17773,2023,108518,19007,31142,526,1754,1327859,1592027,1822
,福興里,2583,2712225,18277,49563,2250368,68995,15965,10667,3971,239905,18389,31515,171,4439,1876042,2340167,1981
,蘆興里,524,580692,16501,10341,424040,20213,19833,1555,617,75971,396,9327,0,1898,352507,509571,104
,長壽里,1808,2000977,17670,16237,1686607,55624,27033,6741,4316,149149,2844,30738,451,3566,1415673,1732886,1854
,吉祥里,1213,2170503,18743,36733,1460767,66365,29316,16388,1216,480405,5523,39354,468,15227,1289546,2000967,2374
,中山里,973,963281,6717,15926,813171,32288,8050,4056,1057,67222,96,13604,304,789,664089,816878,657
,福祿里,1087,1079620,6481,15102,914344,27736,8809,2844,1002,89601,0,12867,70,763,749384,916965,667
,興榮里,949,978996,6425,19256,793200,33861,24563,2505,969,85646,114,10755,233,1470,662515,848796,1238
,中興里,1424,1387137,13889,19087,1155391,36130,11745,8930,2087,118380,1961,18339,218,979,947069,1178815,783
"表166-H(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：桃 園 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,上興里,1085,1169257,15860,19909,860619,36927,23026,9092,1172,178338,1680,20716,0,1919,705451,1014089,486
,營福里,1032,961250,7598,5622,848224,18588,8406,2184,1603,59099,0,8132,0,1794,690694,806692,190
,其　他,1,597,0,0,525,0,0,0,0,4,0,68,0,0,417,489,0
,合　計,43702,44858462,685693,584119,33927807,1396341,1056428,253077,50165,6059877,94930,618260,5247,126517,27842326,38847081,27505
大園區,大園里,1829,1406354,57085,29477,1038933,79859,38921,3016,1220,136952,125,17068,263,3434,819774,1186537,1146
,田心里,1904,1499534,50748,25350,1193582,59068,24262,4524,1476,113580,0,20857,0,6088,939452,1245404,225
,溪海里,1321,944079,18860,9644,796819,24636,9546,3448,760,63336,694,12789,2255,1292,609325,755135,3498
,和平里,452,345675,13132,4186,280368,11695,7731,444,331,23202,0,3413,0,1173,219865,285172,62
,橫峰里,2732,2514877,65878,29098,1949733,97155,40243,10806,2003,272373,202,39484,129,7772,1583130,2149829,1097
,五權里,1487,1142314,19389,18350,901336,44742,49589,2408,1469,92478,830,9972,0,1750,705193,946685,208
,埔心里,1815,1397053,33888,11197,1088649,52386,22903,5154,1230,160679,8502,10855,0,1611,845253,1155537,380
,大海里,462,381169,4787,2612,298233,18684,4095,1581,1346,45835,197,3685,0,113,238144,321080,177
,三石里,978,763044,15605,1727,631879,29743,9187,1843,731,59110,0,12899,0,320,496729,628436,14
,菓林里,2158,1619212,36398,13117,1343925,51436,31406,3327,2211,118997,4,16713,0,1677,1048808,1324656,336
,竹圍里,988,745549,14377,4942,615135,28049,8008,1385,772,51306,2086,18751,0,738,483620,614499,200
,海口里,537,441330,9210,10099,344591,13765,3025,839,603,52630,0,4302,0,2266,271683,368422,6
,沙崙里,762,546083,17791,11564,403588,20756,7258,1591,773,72391,0,5537,0,4834,307124,449621,19
,後厝里,738,579381,16707,9767,472073,24080,8238,1148,455,40394,0,6097,0,422,368778,476860,114
,圳頭里,795,595824,19948,4381,474356,20543,9580,1618,541,60528,0,3786,45,497,368582,490614,677
,內海里,673,493702,14386,4210,382902,15108,10460,1742,458,58086,14,5629,0,707,291976,402777,130
,北港里,765,520411,16212,5944,430663,12387,4961,973,580,44117,0,4425,0,149,322936,413195,4
,南港里,1582,1203474,23967,11622,1020541,24526,8156,5546,1602,91108,204,13068,0,3135,792128,975061,262
,其　他,2,541,0,0,455,11,0,0,0,57,0,19,0,0,337,423,0
,合　計,21980,17139607,448366,207288,13667761,628628,297569,51394,18561,1557159,12858,209349,2693,37981,10712837,14189945,8554
龜山區,龜山里,2147,1779905,34289,30714,1407161,75560,22235,6329,4139,175497,26,20785,14,3154,1129579,1502878,1167
,新路里,1782,1380266,20895,25568,1090526,68270,30823,5829,1850,114252,265,15108,0,6880,869566,1159854,459
,山頂里,1731,1352873,21786,12726,1156947,43799,7752,3807,1845,74966,24,26739,169,2312,920244,1116170,819
,兔坑里,1200,769764,22060,6126,646781,13047,6973,1912,962,65445,0,4348,444,1665,484003,607971,1251
,舊路里,688,570428,18628,6199,361145,30593,28325,969,340,120471,0,2850,0,909,277977,487347,102
,嶺頂里,1192,838634,15585,7224,670970,25368,12261,4642,829,91865,45,7482,0,2363,518943,686607,292
,龍壽里,486,335242,11900,1668,211890,13962,11442,2353,415,79421,131,1458,0,600,153012,276364,287
,楓樹里,1913,1686159,40426,19406,1355414,56722,32132,4261,2454,150830,179,22193,0,2144,1092742,1423979,570
,大崗里,1176,988972,30266,14049,647414,35253,121693,4315,1627,115671,0,14841,0,3843,502188,845927,464
,公西里,346,264544,6794,2186,169149,12702,44406,1141,140,25323,0,1690,0,1014,133556,228996,70
,樂善里,1097,827059,18890,6871,692792,27988,14261,1646,690,53549,393,9573,0,407,545803,681533,522
,南上里,623,477849,9564,5691,348010,23595,26245,1857,364,54926,0,6018,0,1578,268416,399299,41
,大坑里,557,374195,6830,9589,271071,17249,25985,1493,330,35962,0,5553,0,134,201609,305091,21
,陸光里,981,782219,7004,12055,647381,56633,1746,2691,761,40985,487,10057,0,2419,528992,664650,755
,精忠里,1867,1628783,20339,21286,1321838,56439,9153,8893,1356,160001,154,24336,584,4402,1070117,1378647,2652
"表166-H(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：桃 園 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,山福里,1010,725000,8383,9505,600474,29681,4690,2808,1076,55288,192,11715,0,1189,474758,599285,193
,山德里,1612,1233792,25143,31965,960684,58511,15282,2079,1557,120686,48,14317,187,3334,763951,1037059,1202
,中興里,1487,1153157,15064,9643,969550,55451,10339,5730,1555,67902,929,13422,0,3571,783835,967502,473
,大同里,1820,1519028,22932,28751,1250371,60080,14708,5295,1905,109670,500,19861,53,4901,1005328,1274699,1349
,文化里,2075,2684777,44145,38831,2014868,74393,108171,9144,6143,344639,3032,36076,1674,3661,1733169,2404503,5662
,南美里,803,683615,14936,7611,543143,23104,21234,2270,699,54683,0,7703,0,8231,429444,572661,249
,幸福里,1400,815230,15572,10656,731538,17130,1308,1349,1110,28131,11,6527,14,1884,548265,632452,293
,福源里,622,463303,13515,5365,365846,13815,6071,669,395,52885,0,2693,0,2050,281575,379032,58
,龍華里,996,663924,10602,6891,566936,14783,6869,2542,657,47058,1986,5211,0,390,438269,535256,35
,迴龍里,1752,1307655,14774,11824,1054339,54254,16466,4986,1394,133463,363,12402,0,3389,831843,1085173,411
,新嶺里,1110,738694,9283,8556,636983,20395,4558,2022,735,50142,85,4564,0,1372,487882,589912,412
,大湖里,1893,2084616,18403,36028,1748969,59934,34540,5760,2385,143729,462,23944,232,10230,1489280,1829635,2619
,大華里,2859,3087695,34338,24484,2425921,88304,67412,10259,3986,376452,1611,50376,137,4416,2017956,2684402,1941
,長庚里,1623,2624292,7341,11121,2453481,63389,11764,5105,1498,60003,81,8801,291,1417,2199169,2369991,6661
,新興里,594,495142,8159,4101,382290,33886,4696,599,749,47382,5307,6556,84,1332,304561,417876,690
,其　他,2,810,0,111,687,2,0,0,0,0,0,0,0,10,471,594,0
,合　計,39444,34337621,547850,426801,27704571,1224290,723538,112756,43945,3051275,16313,397196,3883,85204,22486503,29145346,31720
八德區,興仁里,1487,1219463,17600,21172,974527,42403,13647,8862,769,97272,325,22712,63,20110,780434,1025893,814
,福興里,1758,1496810,22024,18468,1255003,47454,7417,27099,2539,99663,283,13797,16,3046,1011417,1253225,445
,瑞豐里,591,449020,10841,2099,361511,15928,4149,6402,534,36282,1120,9225,0,930,283850,371360,87
,廣興里,1012,718062,14778,4992,591062,25352,19169,2476,758,47935,405,9356,0,1780,459421,586421,151
,竹園里,995,730790,9042,9201,599028,25561,12959,781,1004,64966,168,7576,0,503,464010,595772,183
,霄裡里,539,364304,8353,1874,306721,12140,3007,1362,615,25315,270,3495,0,1151,237470,295053,30
,茄苳里,897,671500,22224,9012,520810,19582,15896,2491,2884,69557,38,8561,0,446,399865,550554,131
,白鷺里,940,722373,19110,7807,565174,27417,13086,1240,829,75592,602,10049,0,1467,443495,600694,33
,大湳里,1244,1035150,21707,12351,838371,31345,16486,4410,1067,97607,73,8235,0,3500,667591,864904,202
,大安里,1006,821250,11611,9150,629563,23384,14373,2487,722,109014,0,10670,212,10065,494673,686678,1002
,大興里,1092,980529,25605,10152,779576,25194,8411,2239,997,109029,301,16928,381,1716,633185,834594,1483
,大福里,1778,1578547,25245,28035,1297458,66079,21718,3251,1716,114444,917,15445,22,4217,1066439,1348148,764
,大同里,381,364151,9468,5720,203377,9247,6740,965,187,122582,0,3424,0,2442,161216,321989,227
,大忠里,535,371522,7386,2824,296276,16416,18506,712,613,19536,265,7995,0,993,233318,308883,176
,大勇里,1357,1293004,24734,20243,977773,48804,12942,15012,1484,162517,434,19428,4776,4857,800762,1115993,7447
,大義里,1130,988984,15054,11519,827186,38766,14812,2014,958,67116,751,9350,480,977,676758,838555,1198
,大成里,969,736436,13662,18242,568285,38120,17216,2296,751,65947,0,6462,4,5450,451293,619984,261
,瑞發里,982,707304,11661,8080,580043,29845,7536,2674,575,58410,267,7130,0,1082,458334,585596,224
,瑞祥里,1034,739588,9437,13530,652915,24435,2466,2418,636,28104,40,4770,0,837,517484,604157,212
,瑞德里,1004,689163,16181,7619,590520,24227,6894,910,918,35581,0,5735,337,242,457016,558167,932
,廣隆里,1398,1194572,12824,19834,997981,42829,13826,4967,1813,90008,381,8324,146,1638,811107,1007669,957
,高明里,1173,805063,9044,11697,699123,26899,4586,1564,2100,39304,0,9159,312,1274,545798,652438,1068
"表166-H(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：桃 園 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,大和里,2210,1816560,32635,24254,1528332,58369,11829,6723,4273,126017,39,21829,9,2253,1230364,1519094,961
,大信里,875,576852,8599,9440,506219,15578,2550,2037,580,27107,6,4076,0,660,392618,463250,286
,大華里,829,632048,12072,9420,530808,20938,11279,3698,614,36309,462,5638,38,771,424335,525574,853
,大仁里,1352,984110,19673,7543,824638,29561,5887,3031,1906,81285,19,7053,11,3506,648790,808263,282
,大智里,1216,1136071,10529,27573,930336,44546,15677,15962,3026,63001,2589,16691,71,6072,771701,977436,779
,瑞泰里,1306,949499,15330,11092,797405,27314,10267,4522,1231,69655,780,10343,356,1206,624157,776251,1382
,大昌里,890,590146,16741,8164,505584,22260,4220,1535,595,25872,106,4629,0,440,393420,477981,237
,大正里,1433,1302879,14705,20121,1038753,42086,12293,2723,1456,152454,1261,14980,81,1966,842654,1107513,540
,大強里,1014,714650,14308,9985,597852,23294,7271,1252,850,49838,412,8781,0,807,468724,586111,308
,大發里,686,490447,7793,4733,397626,15216,11462,1124,591,46735,0,4577,0,592,309477,402298,35
,大明里,1212,977428,15092,11200,827668,27615,8321,3065,1410,72022,184,9966,288,597,662903,812603,1250
,大竹里,464,329371,10518,5163,281776,9932,2408,541,294,16407,0,2245,0,87,219513,267108,381
,大慶里,415,295271,6908,2327,226485,12024,14574,495,337,27357,0,4363,0,401,176064,245721,107
,大千里,675,524590,9248,4527,425245,19107,5025,1654,629,51207,120,6901,0,929,334083,433884,31
,大榮里,588,449302,5565,4663,379644,19872,2651,512,797,29537,947,4936,0,176,304789,374447,531
,茄明里,1385,1028086,16748,10453,865718,30392,12673,4113,2030,72327,1312,10067,68,2184,684794,847162,615
,高城里,1033,763559,7729,8259,676912,22763,3149,2000,969,33414,0,7573,0,791,542099,629321,106
,瑞興里,826,604481,14253,3370,506523,19947,7383,1785,830,43963,5,5580,0,843,398082,496040,156
,大愛里,775,670119,6358,9875,564376,29645,3091,2805,893,43241,257,6740,64,2774,458835,565433,552
,大宏里,1081,1069755,19942,30729,845134,39902,19946,4835,1154,92357,56,14715,0,985,704165,928786,603
,大漢里,1248,993182,11532,14960,871720,28391,5395,1473,2944,47432,231,8101,0,1002,694471,815933,263
,廣德里,867,810889,18325,13935,640425,42777,6967,1546,683,65660,4917,12220,167,3268,520990,691454,780
,龍友里,589,411215,3402,3328,365307,17342,1221,641,295,14765,262,3553,0,1100,285468,331376,18
,陸光里,1097,739428,11877,11961,641027,32425,2454,3015,885,26770,733,6060,47,2172,500270,598671,1027
,永豐里,888,692292,13449,10605,536337,26986,18607,1332,876,77536,347,5243,145,828,419888,576039,472
,大順里,772,523839,11074,7649,443607,16707,3818,1474,405,30199,0,8720,0,186,345074,425307,136
,其　他,51,32790,18,1730,27317,719,1398,184,51,1155,0,173,0,45,21055,26528,0
,合　計,49079,38786445,672012,540681,31895057,1357136,467657,170707,55073,3059402,21683,433579,8093,105364,25433720,32336312,30717
龍潭區,黃唐里,1328,1003952,24348,11109,836072,37021,9691,1428,1132,67244,2048,13248,4,607,661040,831714,401
,烏林里,1190,808097,18615,6978,672264,26603,7608,1491,507,62444,146,9671,57,1713,515754,652104,458
,八德里,1141,799066,16097,9919,689857,26547,6060,1136,1049,39522,0,7906,9,964,540063,649789,405
,上林里,1265,1063873,15610,20572,864285,41683,9298,1967,1436,79129,36,16156,0,13701,691593,891971,258
,龍潭里,603,472004,13759,18061,318625,28389,38559,2026,282,43123,298,3816,0,5067,260420,413957,244
,九龍里,1059,839588,17571,8312,706838,34345,7821,1673,642,55245,81,5575,35,1449,562651,697704,800
,佳安里,1109,1121880,7845,10335,953719,68968,12746,3563,727,52874,1584,7292,28,2198,808612,977139,945
,三坑里,379,273610,6431,1540,226253,11264,6787,332,783,15729,16,3854,0,620,179759,227137,20
,大平里,560,603558,6255,19801,457315,34639,11486,2226,361,64734,946,4234,21,1539,388147,534683,811
,三林里,935,1051541,6511,12654,836871,69856,9847,1755,612,93534,2095,16854,399,553,712606,927132,1968
,高平里,908,689787,11715,8609,560728,27555,8000,2917,801,56685,36,11303,0,1437,440184,569784,136
"表166-H(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：桃 園 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,高原里,1372,1165447,29621,11314,925340,38068,23394,3199,965,105458,8246,18215,0,1626,739474,979922,579
,三和里,740,1107098,4100,24626,777062,50663,11096,9846,941,193229,244,25211,1381,8699,679362,1009377,3518
,三水里,163,118604,1661,2677,100200,5376,580,352,56,5774,0,1872,0,56,79218,97622,2
,中興里,1342,1129786,17319,8757,991638,34734,5232,1418,1207,46462,439,21614,0,966,810168,950590,630
,中正里,1600,1748119,22182,22510,1349052,69385,16457,7736,2308,226038,3837,26594,0,2019,1130008,1529878,1318
,中山里,1523,1395328,30746,35278,1057679,77711,38934,5508,924,123773,1094,17792,0,5889,872042,1210085,417
,凌雲里,984,667228,12017,6729,579328,20084,2248,1781,691,33030,57,10573,239,451,445623,533941,549
,永興里,833,619119,9839,7349,517960,24234,4567,1232,614,44392,237,7172,936,587,410597,512515,2057
,烏樹林里,710,494576,5490,5843,411937,19373,11238,3893,818,30618,43,4307,0,1017,320580,403219,169
,百年里,1343,1535762,14070,20300,1213410,66726,8516,4800,1482,179002,6572,19607,402,872,1032688,1355033,2749
,龍祥里,1037,812647,7773,6897,704243,23493,3763,2632,772,51870,1006,8091,0,2105,562780,671183,140
,聖德里,924,631487,6937,2805,540769,15833,6606,1153,576,46647,43,7746,0,2370,414997,505715,13
,龍星里,1310,1247949,9211,28576,1027587,58316,18483,1847,1951,86905,568,13407,5,1093,853414,1075192,659
,上華里,1016,946975,12907,4113,806593,37322,9572,1237,848,50190,1267,21757,151,1020,667385,808630,802
,武漢里,778,560250,13913,3550,468156,20331,10078,832,554,33354,115,7386,0,1981,365516,459219,333
,東興里,1196,1112053,11979,8198,984814,45741,2971,2098,1587,44495,1000,8344,0,828,815521,944351,323
,北興里,626,385718,3259,3827,337524,10336,2288,786,464,21959,262,3792,17,1206,253342,304670,369
,建林里,1299,1478380,15479,18198,1118396,81976,7477,4123,1238,204608,3089,15527,490,7777,948081,1308065,2159
,富林里,1153,1077303,10513,8460,906274,66915,8119,1724,816,62917,1312,8844,72,1337,757824,929223,783
,其　他,6,4228,11,535,2944,0,0,0,0,583,0,155,0,0,2404,3688,0
,合　計,30432,26965015,383782,358432,21943734,1173488,319522,76713,27145,2221568,36722,347915,4245,71747,17921851,22965235,24016
平鎮區,忠貞里,134,119193,2027,2534,94396,7236,1424,1406,71,6915,0,3179,0,5,76658,101455,44
,東社里,959,660401,6946,8145,558349,27414,6644,4313,825,41864,139,5358,0,403,437313,539646,140
,東勢里,1636,1205356,19556,12926,1014219,35400,17929,2878,1045,84475,102,13949,301,2577,794458,987027,1402
,山峰里,718,492974,10782,8227,415213,19535,3953,3086,545,23061,75,6636,9,1852,324803,402569,210
,平鎮里,1393,1110441,21695,11685,927648,45902,7912,2568,1966,79861,36,9612,0,1554,738358,921151,184
,北勢里,805,734372,8008,14355,558173,55620,21062,2615,1964,63868,204,6134,0,2370,464122,640321,264
,南勢里,1851,1498903,18831,14590,1269463,49683,15617,5316,3215,105055,479,15131,7,1517,1020325,1249764,832
,宋屋里,1209,922876,8626,7887,799616,27924,8940,2611,748,56473,247,8796,177,831,633486,756746,549
,高雙里,1373,1407503,27157,16756,1065338,48637,24877,4246,1248,176741,1177,20121,0,21204,884720,1226885,1012
,復旦里,1816,2171446,30711,52594,1706140,76710,22091,4346,2997,221455,1530,32370,167,20336,1451831,1917104,2611
,新勢里,1192,962090,13757,9339,780080,56292,11178,7035,825,71307,1871,8659,445,1301,632093,814657,1272
,建安里,1286,951263,17489,9688,777416,35465,7807,2333,903,86331,61,10844,50,2875,607953,782197,451
,中正里,544,522614,6102,15199,450993,16326,765,4351,606,18183,644,9265,0,179,373385,445005,167
,貿易里,620,539780,9366,3401,461813,18646,2890,819,570,33693,121,7888,0,573,378056,456023,96
,湧光里,1667,1177027,18428,16323,1015363,35634,14254,1583,1668,58293,276,14131,0,1074,798089,959753,337
,義民里,1677,1595707,28254,25957,1265504,60386,27070,5903,1827,154124,79,21749,2,4852,1040961,1371167,975
,雙連里,1457,1314005,36254,18427,1008638,47992,32424,6138,1967,138147,3286,15961,81,4690,820183,1125609,1115
,東安里,729,544978,7225,3757,473103,18517,5475,1108,718,29029,100,5479,0,469,375294,447169,18
"表166-H(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：桃 園 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,龍恩里,761,533063,8061,4062,472376,18421,1223,813,595,22105,363,4731,0,314,371318,432005,156
,龍興里,710,538962,8724,9896,458177,24491,3965,3391,423,23281,0,6314,0,301,366371,447156,165
,廣興里,1819,1905652,38143,51147,1459397,95017,30022,7413,1664,194356,1258,24500,56,2680,1230184,1676412,1501
,莊敬里,1275,918505,13823,6224,779506,31784,3620,4043,1377,62424,499,13143,34,2031,610075,749074,347
,新富里,1899,1860053,20726,25337,1503586,68767,32222,10465,5532,166591,2065,20822,315,3624,1251090,1608068,2091
,北興里,1372,1016811,15301,15326,848280,35031,13035,1795,1359,71724,83,13415,0,1464,667978,836509,223
,北貴里,1367,1062762,16793,16974,917066,35445,7829,1620,1145,50968,0,12469,0,2453,737145,882841,424
,新安里,1173,843153,18489,6850,740054,24821,3011,1691,1257,37972,249,7704,332,721,575662,679889,784
,鎮興里,920,654095,9112,7557,556727,19512,3519,1050,515,47116,69,8372,0,547,436624,533992,24
,義興里,2216,2020365,29859,47514,1583658,87583,26840,6994,1876,206158,2015,21119,0,6750,1299145,1736288,1223
,湧豐里,607,456854,6469,6903,385511,15605,6549,639,882,30061,39,3954,0,242,305133,376881,18
,湧安里,1400,954282,12427,11737,856701,21348,4913,3487,1400,28638,384,11401,243,1605,663312,761292,674
,廣達里,1107,932452,12576,18585,750922,46977,17191,6190,1847,66021,113,10589,0,1439,613474,795004,500
,福林里,1019,894391,14520,6108,751241,31054,9908,1931,1226,65215,1168,11637,0,382,606376,749893,160
,金星里,1927,1678279,15546,38439,1455182,45222,8311,6356,1959,85389,832,20245,53,746,1183455,1406444,516
,廣仁里,1346,964099,22858,10371,809256,26132,6490,2150,892,72779,229,12585,0,355,633195,788467,479
,新貴里,1036,839036,29063,19597,651911,30004,11880,2210,848,82706,517,9459,30,811,518148,705273,358
,北富里,1304,1174015,9316,16379,979596,39798,7970,1325,1188,103021,745,10204,13,4459,801461,995883,577
,新榮里,1782,1521945,20781,22181,1202594,53853,12237,6493,1572,174796,1755,15102,495,10087,979025,1298377,1445
,華安里,1206,836002,18643,10095,722778,24372,2115,1577,1274,46309,15,7709,0,1116,558795,672019,244
,金陵里,1036,1047719,13573,13512,813999,45744,7824,2250,1069,88228,5049,55379,63,1029,680137,914361,1030
,北安里,513,441310,4845,11384,333124,35406,9084,751,281,42335,0,3415,0,686,274663,382849,379
,北華里,1303,1370205,19887,21199,1025403,67760,13446,4088,988,188622,680,25647,830,1656,859487,1204301,1791
,復興里,1642,1586127,31334,26852,1248990,69272,30217,3607,1910,150408,1391,19316,25,2806,1032344,1369888,1247
,平興里,1816,1899993,17104,41202,1598820,51493,21647,9851,2392,131681,1619,22034,831,1319,1334924,1635966,2536
,新英里,1100,1033560,6235,20095,884436,31591,4584,6701,1126,63099,593,13953,442,704,729234,878521,1516
,平安里,1329,1036805,15610,13609,897262,30319,5285,3943,1019,51619,322,15072,255,2490,714518,854439,576
,平南里,2010,1660628,23126,21441,1382114,51580,8756,6720,1568,145847,80,18020,0,1375,1107535,1386270,204
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
