"表166-V(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 東 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,和平里,147,78882,3357,678,71963,820,597,51,46,1124,0,187,0,58,53409,60943,75
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,2342,1446149,48407,21038,1231413,48400,11850,3762,1114,65927,234,11947,111,1944,962397,1177748,1050
關山鎮,里壠里,428,292079,11246,5842,240162,17498,2296,336,234,10452,923,3044,0,47,191649,243566,266
,中福里,201,146785,4779,6326,119398,8247,802,55,65,6291,39,783,0,0,96812,124199,67
,新福里,172,126495,12988,1388,97264,4709,1453,3799,220,3508,0,1028,0,138,76881,106112,17
,德高里,299,179306,9843,2400,153688,4566,962,206,122,6265,0,911,0,344,118619,144236,6
,豐泉里,307,233474,14273,3090,196560,8435,1136,630,302,6642,59,2281,0,66,159936,196850,82
,月眉里,120,79574,1473,636,69911,2479,495,176,157,2968,0,981,285,13,55163,64826,696
,電光里,92,52208,598,637,47130,1038,394,19,62,1833,0,265,0,232,35938,41016,1
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,1619,1109920,55200,20320,924112,46971,7537,5221,1162,37958,1020,9294,285,840,734997,920805,1135
卑南鄉,賓朗村,436,282244,5226,1704,244712,16222,1655,489,695,9563,203,1768,0,10,193811,231344,126
,美農村,144,87196,1843,791,74585,3125,707,0,75,5687,73,306,0,3,59871,72482,139
,初鹿村,223,151494,3211,2078,134365,6391,2155,221,94,1973,0,1006,0,0,108435,125564,11
,嘉豐村,62,35536,1239,676,32296,175,23,0,26,845,0,256,0,0,24792,28031,0
,太平村,625,453086,21938,5187,388554,17911,2197,646,378,12447,617,3124,0,87,311262,375794,154
,利嘉村,206,139713,3674,2853,122463,7265,617,13,136,1564,10,1106,0,13,97310,114561,63
,東興村,223,129718,745,189,124663,3047,103,49,64,369,0,440,0,49,93753,98808,15
,溫泉村,185,130075,12544,1539,90875,5158,2004,85,112,15842,14,934,0,967,71878,111077,2
,利吉村,71,46481,1414,82,39696,1266,321,0,123,3478,0,101,0,0,31541,38325,250
,富源村,68,40791,3446,1014,27628,1215,1177,28,4,6148,0,132,0,0,20595,33757,13
,明峰村,222,148550,4968,3973,116879,4116,1016,194,117,15512,0,1751,0,23,91860,123531,39
"表166-V(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 東 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,泰安村,168,114455,4831,1128,91221,1848,635,77,201,13986,0,529,0,0,73179,96413,18
,富山村,57,33644,833,702,24767,2593,1466,138,18,2743,0,298,0,86,19352,28230,1
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,2690,1792983,65911,21915,1512704,70332,14076,1939,2042,90156,917,11753,0,1238,1197637,1477916,833
大武鄉,大武村,312,200855,10796,197,163398,10420,2167,180,112,12889,71,614,0,11,128535,165991,33
,尚武村,247,153443,6693,2083,129416,7058,501,2,114,6541,0,642,316,77,101152,125124,783
,大鳥村,170,98834,2524,420,94028,826,402,18,68,312,0,239,0,0,71116,75922,29
,大竹村,117,76150,894,299,71724,1837,272,33,84,699,7,282,0,18,57119,61545,0
,南興村,97,60486,1291,233,53318,1294,554,0,5,3523,0,210,0,58,41017,48185,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,943,589768,22198,3232,511883,21435,3896,233,383,23964,78,1987,316,164,398939,476768,844
太麻里鄉,泰和村,277,175882,12050,3624,132672,10908,3472,394,183,11713,0,866,0,0,105760,148970,18
,大王村,308,203959,5737,1257,176913,8410,1643,101,157,8091,4,1365,0,281,141216,168267,310
,美和村,171,99923,2425,932,89475,1984,785,96,101,3371,0,754,0,0,70468,80966,134
,金崙村,257,164474,3008,1123,150718,2101,1241,111,278,5208,0,684,0,3,117408,131164,11
,多良村,111,69992,2228,171,61694,3080,578,0,39,1962,0,239,0,0,46725,55195,38
,華源村,71,43132,334,80,35783,1722,961,67,10,3998,0,52,0,125,28310,35659,84
,三和村,78,66790,1093,711,36693,887,257,93,17,26884,0,155,0,0,27849,57946,26
,北里村,74,42806,228,205,36167,574,1518,0,38,3866,0,210,0,0,26768,33407,1
,香蘭村,121,74959,3899,975,62115,1463,1294,38,51,4941,0,183,0,0,47830,60674,71
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,1468,941917,31002,9078,782231,31129,11749,899,874,70032,4,4509,0,409,612334,772247,692
東河鄉,東河村,190,117238,4090,2266,97922,5620,940,4325,99,1422,163,389,0,0,74390,93705,112
,泰源村,210,117190,1328,1040,109142,2844,248,137,61,1872,0,519,0,0,83244,91293,2
,北源村,189,102571,1390,538,93274,2504,410,12,126,3640,0,679,0,0,71760,81058,10
,隆昌村,69,37006,532,725,31373,1984,177,0,19,2132,0,64,0,0,24392,30025,0
,興昌村,145,101263,1429,278,82492,4659,1593,43,87,10529,0,152,0,0,66636,85406,171
,都蘭村,355,256121,8824,7696,184780,9369,6405,1543,241,36007,0,1099,0,158,144744,216086,198
,尚德村,45,21181,926,790,15462,444,574,0,6,2953,0,26,0,0,11234,16953,226
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,1203,752571,18518,13333,614445,27423,10347,6060,639,58555,163,2929,0,158,476400,614526,718
長濱鄉,樟原村,107,53680,148,63,50396,2015,267,0,24,472,0,295,0,0,37895,41179,0
,三間村,239,140529,1004,873,127921,3747,571,241,79,5620,21,434,3,15,98118,110727,242
,長濱村,343,208610,6232,4447,178426,9333,2791,980,49,5415,68,807,0,64,139403,169587,24
,忠勇村,70,33709,707,404,27644,2242,9,0,8,2479,0,187,0,28,20487,26552,259
,竹湖村,154,81307,1289,731,73970,954,45,103,88,3119,161,846,0,1,55481,62818,0
,寧埔村,214,118220,1612,353,106774,2636,2047,335,82,3743,0,638,0,0,81715,93161,5
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,1127,636056,10992,6873,565130,20928,5730,1659,330,20848,250,3207,3,107,433098,504023,530
"表166-V(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 東 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
鹿野鄉,鹿野村,170,128277,8161,538,106194,7651,729,74,395,4101,0,434,0,0,86115,108198,6
,永安村,239,157232,3879,1368,132215,5234,3359,108,91,9352,0,1601,0,25,103515,128532,184
,瑞源村,151,101023,3888,983,87884,2997,378,12,173,4176,158,374,0,0,70281,83420,5
,瑞豐村,154,108215,760,4034,87902,4063,1878,217,353,5337,0,3669,0,1,70275,90588,38
,龍田村,182,129300,11756,1095,94308,7506,4461,205,258,8306,0,1313,0,92,75349,110341,11
,瑞隆村,139,86566,2986,2230,74090,2609,334,57,180,3755,0,323,0,0,58502,70978,102
,瑞和村,106,72214,3453,371,63068,2259,68,1630,24,926,0,409,1,3,49002,58147,182
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,1141,782825,34883,10619,645661,32319,11209,2303,1475,35953,158,8124,1,121,513040,650204,529
池上鄉,福原村,441,346098,10457,16028,256500,25699,5006,404,203,28849,537,1999,0,417,208395,297993,275
,福文村,171,110688,5645,2135,87701,4769,2409,80,105,7159,0,683,0,3,68188,91175,27
,慶豐村,96,62001,190,351,56179,2727,58,0,70,1926,0,501,0,0,44156,49978,8
,大坡村,41,28190,851,5,23263,1355,0,0,13,2664,0,39,0,1,17903,22830,3
,大埔村,164,112968,1126,507,97566,6322,496,69,18,6399,21,446,0,0,77758,93161,232
,新興村,150,105185,1063,876,94255,3983,2055,15,55,2027,0,785,0,72,74772,85702,46
,錦園村,59,34260,719,130,27961,3351,390,61,24,1252,0,372,0,0,21246,27545,5
,萬安村,50,32150,2930,316,24900,2300,199,0,45,1288,0,173,0,0,18487,25738,0
,富興村,49,26811,565,325,23506,370,800,32,14,939,0,81,0,178,17640,20946,3
,振興村,48,27875,1159,10,25432,320,0,15,26,874,0,38,0,0,19466,21909,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,1269,886226,24704,20683,717263,51195,11412,676,574,53375,558,5116,0,671,568013,736976,599
綠島鄉,中寮村,276,219557,5304,5806,188595,8401,2473,325,118,6702,0,1833,0,0,156013,186975,21
,公館村,223,192533,3417,2425,158788,6320,1002,24,120,19895,44,445,0,53,130312,164057,55
,南寮村,367,300444,6451,1338,262685,11442,3578,382,330,13263,217,757,0,0,215688,253447,98
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,866,712535,15172,9569,610069,26163,7054,731,567,39860,261,3035,0,53,502012,604478,174
延平鄉,桃源村,221,152766,1488,216,141360,4976,403,14,77,3819,0,413,0,0,110087,121493,81
,紅葉村,93,60047,360,274,58152,221,621,0,60,65,0,293,0,0,45360,47255,8
,武陵村,124,84850,1662,164,80263,1863,272,0,56,374,0,191,0,4,62860,67447,108
,永康村,66,40932,699,88,38907,1015,0,14,20,50,0,137,0,2,30034,32060,0
,鸞山村,128,71044,397,851,66339,2261,46,212,69,487,128,256,0,0,49693,54398,7
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,632,409639,4606,1593,385020,10337,1342,239,283,4795,128,1290,0,6,298034,322654,204
海端鄉,海端村,219,142728,545,647,139012,1734,59,82,45,237,0,324,0,43,109344,113060,0
,崁頂村,134,87111,811,278,84589,881,135,27,102,103,0,165,0,20,64517,67039,21
,加拿村,98,62782,778,230,60603,887,27,0,26,99,31,100,0,0,46846,49024,3
,霧鹿村,50,31161,186,157,29623,294,674,0,19,2,60,53,0,93,22929,24468,3
,利稻村,45,30532,43,8,29640,412,244,0,34,0,0,23,0,128,22875,23768,1
,廣原村,156,95195,1953,437,89895,1322,596,172,78,184,0,307,0,250,69573,74872,4
"表166-V(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 東 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
