"表166-O(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：新 竹 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,新光里,1227,1127593,14934,9038,898808,63527,17327,1331,1401,95688,3658,17706,1156,3019,748341,976654,2854
,湖濱里,1293,2997070,18282,19286,1448815,95919,26337,4008,1939,1319738,7922,53066,575,1183,1287790,2836832,3177
,明湖里,1800,1978236,19878,10190,1657526,44578,12481,5382,2184,156368,4061,60977,157,4453,1405588,1726296,1159
,關新里,1527,4010643,4453,10498,3483082,97427,19738,14892,7718,240413,6203,91738,211,34268,3246101,3773662,2302
,其　他,4,15342,0,0,15087,92,0,0,6,155,0,2,0,0,14865,842,0
,合　計,60079,92129714,939202,1007759,68147598,3639983,1445343,263687,109101,13863725,130797,2104184,12038,466296,60270614,84282094,100296
北　區,光田里,747,676324,12924,15009,533134,39210,11896,609,1195,54910,1856,3779,231,1570,443350,586540,996
,仁德里,256,206695,3222,6671,146176,11485,9268,1091,312,22833,0,5181,0,455,121077,181578,12
,中央里,148,115822,1969,793,77188,7368,10527,251,170,15899,0,1648,0,9,61905,100402,0
,西門里,195,184963,3649,2902,130571,11124,10572,4264,266,19953,137,1450,0,75,109181,163566,211
,興南里,554,744816,6350,11169,474011,36944,9695,1044,1008,185320,0,16954,55,2266,406778,677573,815
,潛園里,243,195646,3072,9094,125171,16472,11637,164,139,26492,12,1241,0,2153,99977,170453,38
,南勢里,1272,1051208,16509,13980,880482,40191,7746,2385,1301,63672,374,18958,0,5610,723194,894345,387
,崇禮里,396,375126,6006,2259,238744,28309,11389,397,324,84670,0,2226,0,802,197728,334110,10
,石坊里,181,153276,2195,5378,113595,10451,4277,303,74,7668,0,4490,0,4845,94889,134591,51
,西雅里,947,789520,6079,12438,652047,38847,6633,10347,1113,45339,0,15185,77,1415,534928,672401,782
,曲溪里,1588,1296985,22142,7658,1099949,45890,11213,2560,1465,82670,350,21058,0,2029,893455,1090521,530
,客雅里,938,853004,16313,10003,670910,38684,12361,1819,771,73388,185,12796,0,15773,553100,735193,454
,中興里,186,164072,5048,6091,100223,12587,13297,594,131,24729,289,737,0,346,83381,147230,120
,大同里,338,526334,9795,23864,288064,32126,22001,1568,265,125915,223,12156,218,10139,252223,490492,997
,中山里,228,225602,7700,20802,106310,17490,19748,470,92,43675,0,4069,0,5244,86164,205456,25
,北門里,304,327435,6589,7118,214168,28471,23305,577,251,42619,0,4029,0,308,180676,293943,152
,民富里,1594,1472359,26980,22780,1084573,89584,38843,3932,1824,172868,3710,19328,1123,6814,892634,1280284,2650
,新民里,544,511157,9708,2643,381996,28732,15982,893,666,63683,19,3887,296,2651,315292,444434,1255
,長和里,455,423300,4942,1904,342084,16039,11410,1226,769,26845,1203,16046,0,832,284084,365301,189
,文雅里,1317,1272524,24934,17366,991249,76762,18037,2396,1398,116963,1788,19248,67,2315,830731,1112006,736
,舊社里,2093,2268244,37726,18396,1866487,95421,20420,4057,4244,164959,3105,47766,313,5349,1587185,1988800,2519
,湳雅里,1031,1366636,13922,16069,1065558,54631,13984,3142,1598,149833,5457,30201,39,12201,928537,1230070,871
,武陵里,1547,1666451,34007,31419,1254838,99617,8152,5511,2074,160622,829,68023,0,1358,1070792,1483037,429
"表166-O(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：新 竹 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,士林里,517,456383,11215,5208,343414,22808,9984,240,407,52839,0,8919,0,1351,278928,391897,69
,福林里,1352,1596713,21676,25637,1225319,75001,21291,7211,1436,173348,4418,35844,149,5383,1058730,1429975,1400
,古賢里,266,220861,6634,1036,161262,7946,3211,204,322,37669,0,1514,0,1063,127951,187848,18
,康樂里,859,691817,14735,5911,580334,24945,13707,971,1533,42009,0,6436,0,1235,466830,578313,237
,南寮里,1613,1247276,30685,15315,1030976,42151,15597,4074,1517,83370,236,20924,177,2256,829030,1045363,566
,中寮里,1181,1051803,22113,7252,909652,25986,6437,4223,1372,57708,618,15836,107,499,746923,889112,411
,海濱里,1139,916178,32848,11330,770488,23951,7475,2773,1995,47336,140,13880,19,3943,619926,766093,601
,港北里,407,302924,9434,5223,248607,13939,2728,608,262,18125,0,3466,0,532,196773,250647,178
,舊港里,147,97932,1493,406,80471,2831,449,121,93,11223,0,779,46,21,62424,79839,387
,育英里,1290,1376431,18267,47153,1012395,66446,38431,3618,1574,150324,46,27753,42,10382,850813,1214819,960
,水田里,1095,1364100,12661,24111,933972,68577,23643,4219,1180,234879,8585,38329,0,13944,808655,1239537,420
,大鵬里,113,126819,254,119,119131,2087,290,162,28,4468,55,226,0,0,100830,108518,3
,境福里,1739,1650213,23084,23644,1340621,80643,18756,3194,2739,122495,1073,30936,142,2886,1121895,1431484,1119
,磐石里,1888,1982587,25525,26509,1577016,98838,20669,5874,2987,176994,3396,39559,36,5183,1332815,1738386,592
,新雅里,1471,1232344,21829,18185,1004306,47898,9792,3221,1365,100723,366,20247,0,4414,818490,1046555,411
,光華里,1288,1331360,25095,19903,1057376,67406,24854,2331,1813,102286,4594,20075,0,5626,902314,1176647,637
,金華里,1886,2194515,25019,60651,1676730,96983,30753,5782,1938,223929,1534,65770,0,5425,1444011,1961796,935
,金竹里,2053,2281327,27073,37865,1882740,89433,12524,4380,2450,162570,280,53085,0,8926,1607565,2006530,1009
,湳中里,2595,3727236,29252,31957,2984344,128758,32000,7164,5248,390762,1319,110059,215,6159,2630281,3373061,3399
,金雅里,791,745282,12544,9800,604571,34862,6733,541,1333,49803,2902,18799,0,3394,503231,643941,510
,臺溪里,542,458747,10655,6580,368337,15825,8642,1378,786,42389,0,3995,0,160,303109,393519,459
,中雅里,854,918159,7095,17464,781572,42857,6147,1536,1156,38486,228,16710,0,4908,668589,805176,321
,其　他,2,797,0,0,756,33,0,0,0,6,0,2,0,0,537,578,0
,合　計,42190,42839304,670967,667067,33531917,1956640,636509,113427,54986,4099263,49328,883598,3353,172249,28231909,37541961,28873
香山區,頂埔里,2029,2248710,32970,16625,1920046,64280,30935,7375,2996,134348,2361,34835,8,1931,1632462,1961139,723
,中埔里,1055,906360,25189,6437,713079,39409,10010,2623,1395,91711,318,9646,1,6542,578511,771792,434
,埔前里,1213,1072407,27199,3505,871454,35931,12400,2488,1696,96645,80,19410,0,1601,709321,910274,178
,牛埔里,1382,1455843,29264,18833,1135334,46369,17945,3550,1899,172168,1758,20073,0,8651,950272,1271089,600
,樹下里,751,529289,20850,3579,410498,20911,7127,1046,863,56384,165,4433,0,3433,315622,434413,109
,浸水里,724,550098,22711,9123,464699,15476,2977,1305,518,29088,0,3217,0,983,364491,449889,23
,虎林里,798,665284,8495,4426,558797,23195,4988,416,1341,50761,0,11509,0,1355,454460,560946,130
,虎山里,1699,1170827,49782,8499,975960,33933,11803,1972,1219,72218,36,15017,0,389,758343,953210,208
,港南里,739,503963,19680,5015,403975,18861,9105,1694,732,39434,140,3829,0,1499,311149,411136,22
,香村里,1068,1269454,26736,9730,968924,35205,18900,3311,1141,180058,5018,16221,41,4170,825065,1125816,1066
,東香里,1466,2492517,26535,21739,1805042,66896,20941,6491,2921,468398,3308,64738,1437,4072,1596146,2284572,3815
,香山里,1444,1254195,28057,13373,1047380,42624,12166,1740,2462,78716,475,21271,1,5928,852816,1059843,626
,大庄里,939,757168,17421,4729,632080,20515,5205,1528,570,57376,80,13783,0,3880,505729,630817,458
,美山里,341,255354,11595,721,190947,9460,6640,1632,230,30787,174,2634,0,534,150844,215252,43
,朝山里,621,481471,18613,3940,399087,14083,5190,478,663,30300,879,7957,0,281,316854,399544,115
"表166-O(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：新 竹 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
