"表166-Q(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：嘉 義 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,東勢里,468,514826,5709,9537,442892,16294,2271,2921,238,27954,63,4767,0,2180,379512,451446,559
,新埤里,267,200151,6177,1795,159184,8938,3639,2687,211,16236,60,1215,0,8,126584,167551,32
,舊埤里,544,389049,9408,2982,342951,8299,2033,195,317,17218,0,3587,174,1885,272071,318152,671
,田尾里,148,130085,7836,627,101788,4154,1521,351,80,12874,0,855,0,0,82731,111028,101
,港尾里,113,75680,8993,384,58206,4190,210,32,60,3244,0,357,0,3,45180,62654,1
,過溝里,848,689288,14733,5343,576582,23213,4126,1875,576,56839,197,5560,0,243,465358,578064,58
,麻寮里,1123,891731,24136,11921,759662,25252,7890,1796,725,51060,395,7955,0,939,611815,743884,149
,南新里,408,312766,8709,2208,213811,11770,11892,243,166,58481,0,5097,0,389,166591,265546,126
,北新里,700,518118,17164,1443,435889,16365,5404,632,329,34976,0,5908,0,8,347680,429909,102
,埤鄉里,143,105796,2407,1851,81958,3399,293,0,92,15087,0,709,0,0,64317,88308,8
,梅埔里,215,156243,14427,2879,116814,4669,729,1190,100,14517,0,794,96,29,90786,130119,318
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,7537,6168306,190130,77859,5032240,217082,57751,18164,4616,507245,1639,52692,269,8618,4066791,5202896,3032
水上鄉,水頭村,678,517083,15584,7947,422321,27253,9143,1991,568,26271,48,5722,0,235,339505,434267,140
,水上村,952,692479,11407,7018,575152,34645,6228,1172,557,40891,1944,13285,144,37,458519,575814,935
,大堀村,360,237907,11137,462,190387,8641,1897,15,281,18737,28,6222,0,101,147435,194955,33
,大崙村,471,308219,19098,2002,253303,12051,1748,796,262,16609,19,1911,0,420,196685,251602,40
,塗溝村,187,128104,9503,319,102387,5334,454,0,807,8506,0,793,0,0,79407,105124,16
,粗溪村,377,263001,12055,5865,202708,13934,3569,1004,161,21062,66,2316,0,261,160583,220875,19
,下寮村,501,367701,5873,5255,293575,12103,2332,398,176,42519,589,4821,0,60,230915,305041,42
,回歸村,133,112462,7504,409,71463,3411,2896,97,100,23536,0,2963,0,82,56959,97957,0
,三和村,473,379169,12100,4327,331384,9886,1918,183,179,13090,74,5638,0,390,272173,319958,4
,龍德村,523,399425,8673,5393,331026,16753,1490,1165,474,30287,557,3511,0,96,269025,337424,273
,溪洲村,240,160916,4444,2597,136430,8700,221,64,152,6849,0,1410,0,48,107528,132013,39
,三鎮村,143,109444,1957,4605,92762,2966,604,42,98,5462,0,858,73,17,76193,92828,477
"表166-Q(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：嘉 義 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,靖和村,118,90152,1273,253,74812,4816,1712,47,70,6530,0,639,0,0,60559,75899,8
,南和村,327,235577,1858,1194,193668,6311,1837,80,182,24129,0,6285,0,34,152312,194222,109
,柳林村,466,290954,6358,2308,247233,12296,3368,1572,272,15153,169,2135,0,91,193040,236761,52
,柳鄉村,489,333521,14097,3966,264216,11306,4205,345,123,32928,0,2017,0,318,203968,273273,15
,內溪村,251,190450,7325,1903,134479,5049,1687,245,153,34122,0,2105,0,3382,105526,161497,9
,寬士村,998,701977,23811,5159,589607,24355,5427,882,557,42411,378,8746,36,607,466905,579275,567
,國姓村,211,130907,2972,2886,111632,3504,561,379,51,7922,0,995,5,0,86370,105645,188
,三界村,173,113074,5404,1463,92832,2600,1682,419,128,7750,124,655,16,1,72557,92799,205
,南鄉村,147,101503,3019,1224,74183,2357,1028,169,179,18605,0,685,0,55,56695,84016,1
,忠和村,397,231368,7851,5988,186639,8689,3267,1071,109,14307,29,2920,121,377,141146,185875,393
,義興村,186,111593,2304,202,92697,3436,2076,260,92,10085,0,352,0,89,71802,90698,11
,民生村,705,441707,10720,2517,378733,18897,1945,4433,287,16985,0,5403,0,1787,298633,361665,183
,中庄村,374,293684,14952,2922,208301,7896,2267,164,369,55105,0,1637,0,72,163629,249013,67
,柳新村,383,223995,4765,2336,198950,7823,795,256,180,7113,186,1497,0,94,151837,176883,26
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,10263,7166370,226041,80521,5850877,275010,64357,17250,6567,546968,4209,85519,395,8656,4619906,5935378,3850
中埔鄉,中埔村,360,239882,7389,7748,192721,9293,1552,3419,295,14445,12,2841,0,167,153212,200570,110
,𥂁館村,170,111803,8251,451,89311,6431,1698,48,49,4209,18,1336,0,0,69865,92571,10
,龍門村,128,81094,782,1328,68351,2581,302,369,31,6646,157,548,0,0,53163,65907,0
,裕民村,156,100120,3940,448,81057,3450,1595,127,102,8281,0,1085,0,35,62544,81607,0
,金蘭村,262,181411,6470,521,132973,5677,2015,200,281,27072,0,6202,0,0,103335,151772,36
,富收村,600,398472,17721,4940,333431,11867,3834,305,403,21490,0,3465,78,937,264350,329341,346
,和睦村,770,558039,19930,8635,435593,26407,7019,509,711,52857,1428,4713,0,237,346389,468835,100
,隆興村,348,272958,13578,6624,167108,13787,5724,143,72,60443,0,5384,0,95,130886,236736,143
,義仁村,257,174822,6446,1309,141987,5395,1166,61,207,16134,16,2004,0,97,113043,145877,12
,社口村,364,222220,8308,2607,171382,10481,3003,536,134,24056,0,1395,0,317,131468,182305,7
,灣潭村,141,88620,1343,814,77418,2428,905,93,85,4678,0,855,0,0,60510,72118,18
,石硦村,184,114184,6075,759,95766,2728,1806,0,142,6133,0,774,0,0,75093,93510,22
,頂埔村,131,96123,988,182,77994,2972,336,453,101,12358,0,740,0,0,61207,79336,52
,同仁村,361,219848,14460,4507,171999,10304,1648,178,149,14960,0,1441,108,94,132632,181023,524
,深坑村,125,95115,886,783,69737,5240,1327,319,43,15488,53,1188,0,50,55628,81211,0
,瑞豐村,102,48874,170,281,44081,1320,251,0,69,2475,0,224,0,2,33548,38340,2
,沄水村,142,87097,1781,944,70029,2556,4068,168,110,6489,0,953,0,0,54376,71678,63
,三層村,114,68160,7252,39,54136,1821,547,755,79,1140,0,2391,0,0,42064,56088,3
,東興村,39,23709,708,301,18378,1244,14,0,62,2853,0,148,0,0,14316,19647,172
,中崙村,31,22997,67,0,16674,903,438,41,19,4675,0,168,0,11,13085,19407,3
,和美村,1927,1392618,36606,17428,1153404,65888,10818,3975,1235,82952,1448,17151,260,1453,926989,1167589,920
,和興村,1317,885476,30131,8020,733223,34265,7249,755,911,63002,121,7175,0,624,576388,728640,96
,其　他,2,1374,0,0,1328,44,0,0,0,0,0,2,0,0,1020,1065,2
"表166-Q(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：嘉 義 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,合　計,8031,5485014,193283,68668,4398083,227082,57316,12455,5291,452835,3254,62182,445,4120,3475109,4565174,2640
竹崎鄉,竹崎村,577,378472,11037,7761,295199,23069,5592,44,248,31478,519,3275,0,249,232685,315959,307
,和平村,417,275859,12251,3123,214598,12577,2436,167,396,27343,8,2867,0,91,167593,229265,131
,坑頭村,118,70704,1441,732,61639,2489,55,59,32,3696,0,554,0,8,47828,56893,10
,沙坑村,140,83804,8903,570,57386,3294,751,37,54,11927,0,878,0,6,44813,71231,20
,獅埜村,225,239062,4322,3971,107546,3932,677,144,190,116743,0,1173,0,364,83006,214523,9
,鹿滿村,292,192004,6685,759,154676,8976,1532,227,124,16425,0,2601,0,1,121190,158518,4
,紫雲村,248,151579,7893,511,120886,7563,730,611,54,11749,0,1355,0,225,94646,125339,0
,灣橋村,1220,833052,17417,12764,693833,36959,7261,2022,725,50783,131,10499,7,650,548918,688343,534
,義仁村,178,115411,1519,2607,96128,6118,458,365,58,7645,0,515,0,0,75118,95532,9
,義和村,126,93280,675,84,78140,3890,263,2140,53,7167,0,868,0,0,60920,76365,116
,內埔村,305,186846,3901,2974,153945,11459,2249,513,308,9012,15,2403,0,69,121827,155435,22
,昇平村,275,185395,10154,2812,144961,8277,867,451,56,16784,127,801,103,0,111960,153068,564
,桃源村,148,155627,4815,313,66860,4741,1449,277,75,76209,4,567,0,315,51413,140307,5
,白杞村,112,67698,465,1220,57228,2579,280,103,53,5261,80,424,0,5,44796,55266,35
,龍山村,304,206626,3805,1358,180029,4927,4121,201,76,9899,7,2111,0,92,143621,170780,3
,義隆村,94,61305,991,796,49592,2156,131,135,31,5703,0,1769,0,0,38952,50665,26
,文峰村,116,78221,1783,172,59249,2353,2512,47,47,4588,0,7471,0,0,46439,65411,9
,塘興村,127,84934,2556,603,59987,3700,1424,90,56,15566,0,719,0,233,46646,71592,5
,復金村,356,210009,5597,2027,175735,6676,568,922,87,16074,15,2265,0,44,136948,171222,4
,緞繻村,127,79267,1636,2011,67235,2802,183,0,69,4522,84,718,0,6,53317,65597,26
,仁壽村,29,49825,698,289,15584,548,4898,909,15,26078,0,87,0,721,12740,46982,79
,金獅村,57,30792,306,2165,24380,1691,238,245,69,1155,0,542,0,1,18976,25388,0
,中和村,100,61856,4349,96,47849,2331,2056,125,15,4109,0,925,0,0,37544,51550,12
,光華村,57,29550,169,42,24691,1099,154,12,13,3190,0,111,0,69,18915,23774,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,5748,3921178,113367,49761,3007356,164206,40885,9845,2905,483104,990,45499,110,3150,2360811,3279005,1933
梅山鄉,梅東村,444,313823,4607,7952,250363,25206,2056,121,314,19213,1358,2449,47,137,201268,265103,463
,梅南村,194,137521,5392,8199,100023,9240,1901,343,200,9691,0,2464,0,67,80919,118417,74
,梅北村,944,683316,19452,13691,552212,37241,6339,1628,842,41578,23,7214,0,3095,438990,570093,135
,過山村,92,65774,2135,941,52725,3369,1551,170,23,3173,0,1687,0,0,41994,55044,7
,圳南村,34,17267,6,26,14331,77,7,0,9,2702,0,110,0,0,10552,13488,6
,圳北村,78,44604,1492,1085,35643,3013,595,104,16,2512,0,144,0,0,27139,36101,5
,大南村,269,182277,11376,1034,148386,6225,1930,292,102,11357,0,1393,0,182,117001,151182,2
,安靖村,124,69365,4304,1480,58662,1843,254,160,42,1672,0,948,0,0,45186,55888,8
,双溪村,97,58404,2985,611,47662,2222,361,78,95,3978,0,349,0,64,36408,47150,64
,半天村,66,41467,1135,168,34133,1262,274,0,13,3133,0,1184,0,167,26650,33984,19
,太平村,83,66745,6380,164,51532,3261,795,22,62,4111,0,418,0,0,41097,56311,11
,龍眼村,54,35792,175,664,28835,1258,123,0,14,4536,0,187,0,0,22970,29928,0
"表166-Q(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：嘉 義 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,太興村,52,29740,280,455,24171,2444,12,0,130,1582,0,666,0,0,18527,24096,43
,瑞里村,61,37192,1889,1036,30745,1722,454,147,13,1041,0,146,0,0,24803,31250,8
,瑞峰村,67,35723,190,1889,29499,1851,1,145,17,1925,0,100,0,106,22872,29096,34
,太和村,64,41998,155,79,37877,1475,165,0,225,1329,0,691,0,2,30861,34983,54
,永興村,91,60117,986,948,43894,4266,453,300,42,8160,0,918,0,150,34652,50875,32
,碧湖村,29,18982,0,1,13025,1271,723,0,0,3911,0,51,0,0,10238,16194,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,2843,1940107,62938,40425,1553719,107245,17995,3509,2158,125603,1381,21117,47,3969,1232130,1619182,963
番路鄉,內甕村,68,53308,32,1691,43377,2969,537,298,11,3947,0,447,0,0,36472,46403,82
,江西村,264,205512,5266,7246,156924,12399,1958,160,137,17360,0,4049,0,12,128018,176606,284
,新福村,194,118694,1996,609,101129,5272,2263,436,85,5886,50,969,0,0,77941,96008,8
,下坑村,389,290779,11019,7562,219255,17430,3384,182,547,25947,282,5046,0,124,174142,246862,117
,番路村,166,105006,5819,749,85338,5412,236,97,129,6835,0,352,0,40,67045,86713,46
,民和村,139,174503,2687,1448,65123,4245,1604,577,169,97374,0,1138,0,136,50571,159951,6
,觸口村,180,108869,2376,338,97901,3066,1240,49,67,2531,88,1022,0,190,76501,87468,42
,大湖村,75,46784,738,546,37907,2678,220,102,26,4073,0,460,0,36,29814,38692,4
,公田村,133,189421,6591,991,62745,3539,9972,62,48,104159,0,979,0,335,49557,176232,211
,公興村,66,35914,895,54,28094,2177,501,15,81,3728,18,349,0,0,22046,29866,0
,草山村,41,22827,405,10,20587,641,16,66,10,1020,0,71,0,0,15808,18048,5
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,1715,1351618,37825,21245,918382,59828,21931,2044,1310,272860,437,14882,0,873,727914,1162849,805
大埔鄉,大埔村,289,189422,6313,817,159428,5332,1978,360,79,12106,0,2556,373,80,124120,154097,733
,茄苳村,148,92256,6138,1678,76266,2027,496,73,57,4513,0,1008,0,0,59135,75125,3
,永樂村,74,44070,1185,145,33119,759,488,0,89,8076,0,209,0,0,24407,35358,0
,和平村,86,63622,892,521,41426,2369,205,67,21,17662,0,460,0,0,31590,53786,0
,西興村,113,83875,7076,1917,62390,3430,2064,64,147,3944,0,2637,0,204,49134,70618,176
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,710,473244,21603,5078,372630,13918,5231,564,393,46301,0,6869,373,285,288386,388984,912
阿里山鄉,中山村,83,66739,7017,19,49416,2345,2307,0,58,4797,388,392,0,0,39097,56420,1
,中正村,53,44034,13430,11,20133,2251,2611,22,8,4725,0,581,0,263,16112,40013,0
,香林村,49,36335,143,171,31616,2254,95,0,11,1932,0,112,0,0,25411,30130,59
,十字村,40,25864,113,34,23758,513,0,0,13,1393,0,40,0,0,18645,20751,0
,達邦村,90,67316,584,687,60010,3714,124,0,17,1274,0,621,0,285,49284,56590,44
,樂野村,94,67755,3595,2193,49913,4617,3537,50,98,3168,0,216,42,327,39052,56894,240
,來吉村,56,46474,306,44,45223,306,72,112,20,192,0,199,0,0,37739,38990,17
,里佳村,29,20739,504,7,19282,582,0,0,8,291,0,64,0,0,15513,16969,1
,山美村,50,28007,43,13,26441,188,41,0,85,1102,0,94,0,0,19864,21429,10
,新美村,30,13819,200,1,13141,94,82,0,26,248,0,27,0,0,9534,10212,5
,豐山村,31,20532,1681,71,17007,209,132,22,16,1297,0,95,0,0,13682,17207,0
"表166-Q(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：嘉 義 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,茶山村,16,9001,29,17,8585,195,8,0,5,60,0,102,0,0,6572,6988,9
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,621,446614,27646,3269,364524,17267,9009,207,365,20478,388,2545,42,875,290504,372593,386
其　他,其　他,22,22295,95,1221,18580,1235,659,0,3,206,0,295,0,0,15338,19052,155
,合　計,22,22295,95,1221,18580,1235,659,0,3,206,0,295,0,0,15338,19052,155
