"表166-Q(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：嘉 義 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,吉林里,265,192745,3404,4508,154895,14912,2004,203,66,11059,80,1233,0,382,125418,163768,110
,平林里,1554,1298884,28040,25566,1064854,62121,12192,1215,1582,88616,2314,10837,612,934,870285,1104609,2428
,明華里,232,176574,9236,3159,132627,7369,1832,187,43,16035,0,6031,0,55,104404,148351,109
,明和里,405,310845,8318,3954,263546,9397,2685,45,171,19564,0,3154,0,11,212232,259530,319
,排路里,120,91471,2449,677,73084,3983,382,93,82,10326,41,271,0,83,59044,77432,100
,西結里,131,87469,722,1583,71014,3510,826,0,32,9127,0,523,0,133,56490,72945,5
,湖北里,134,85520,1530,922,76251,2919,201,23,64,3361,0,246,0,3,61030,70299,7
,大糖里,49,28448,79,90,22495,3641,312,0,8,1650,0,174,0,0,17899,23852,0
,大美里,307,199625,6679,2706,170011,8842,1566,159,168,7763,0,1597,0,132,133250,162864,27
,過溪里,269,191261,3923,1465,155568,10101,3193,1505,82,14036,0,1373,0,16,124319,160013,33
,中坑里,215,151642,3406,2388,116616,7114,592,230,130,18984,7,1963,0,210,91982,127007,135
,上林里,141,93095,3830,571,74196,2708,931,77,22,9798,0,610,0,352,56940,75840,8
,中林里,334,259405,7025,1131,210337,10672,2411,101,181,24693,116,2280,0,458,169138,218206,341
,三和里,452,297871,6440,4525,246632,10951,2089,1536,265,19774,0,4556,0,1104,192537,243776,158
,溝背里,189,132281,9366,429,102438,6303,1153,49,75,9648,75,2713,0,33,80170,110013,121
,義和里,128,90319,4152,1499,75891,2826,265,56,97,3702,37,692,0,1104,60320,74749,1
,內林里,131,97526,2366,464,71044,5602,773,0,87,16935,0,254,0,0,56665,83146,54
,三角里,140,103298,1993,4466,83455,3560,380,10,68,8518,0,848,0,0,65173,85016,39
,三村里,176,129544,4044,1462,96835,4942,1239,154,136,15982,309,4005,0,437,76799,109507,3
,其　他,2,2629,47,0,2241,5,0,0,0,336,0,0,0,0,2025,2413,0
,合　計,6087,4574708,119100,78654,3644198,238233,44266,7745,3833,380609,3051,48394,612,6012,2924115,3855982,4168
民雄鄉,東榮村,652,569557,11815,18127,410986,40218,13620,3302,248,61286,1092,7119,1,1743,338421,496991,1013
"表166-Q(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：嘉 義 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,中樂村,468,390397,12392,13553,256073,43486,8950,1142,300,52215,56,2018,55,157,208541,342866,541
,西安村,933,809601,26654,24146,599604,50032,13942,1320,634,84312,58,7507,933,459,493440,703193,2801
,寮頂村,536,391445,11285,5641,314102,16871,2550,242,287,36400,368,3286,0,414,250720,328064,325
,福權村,402,316166,15887,748,252644,12798,1110,321,458,28033,502,2893,0,773,201070,264592,127
,東湖村,405,272491,8199,2865,226269,10583,2153,1384,579,17800,17,2294,0,348,176619,222841,23
,豐收村,532,418901,9366,5370,338811,17225,9771,928,273,32575,800,2707,135,942,272678,352764,1309
,頂崙村,348,256077,5616,3182,220690,12003,2343,88,156,10611,36,1018,0,333,177014,212400,588
,鎮北村,244,185714,2764,503,168013,3987,299,171,104,8870,0,1001,0,4,137094,154795,303
,三興村,343,450889,2589,4538,375728,20683,4726,1003,285,37728,250,2374,924,59,330113,405161,5510
,東興村,91,74009,5435,4739,56880,3288,164,54,46,2459,0,933,0,11,46308,63437,2
,菁埔村,375,254353,4257,2972,208089,11616,5961,136,200,15510,0,5211,0,402,161752,208016,37
,中和村,232,173614,4733,360,147825,8167,804,166,88,8418,103,2949,0,0,119106,144895,15
,西昌村,179,119399,1996,694,97769,3499,2042,19,98,12533,0,717,0,31,76179,97809,41
,平和村,189,141080,5580,1744,115674,4669,1087,38,166,8023,0,3170,0,929,90644,116050,4
,中央村,305,216020,6559,2062,170854,9269,1148,588,669,22680,127,1533,0,532,134860,180026,138
,興中村,470,324940,16936,2980,249027,16478,4122,163,314,31812,0,3109,0,0,194871,270784,155
,興南村,713,469120,13769,6284,370009,18291,4193,583,353,51517,0,3676,0,445,287021,386132,99
,文隆村,620,532106,14582,10562,389897,22935,10234,169,330,77555,110,5317,0,415,312109,454318,455
,山中村,860,611329,12409,12257,519819,22420,4534,3078,440,28610,0,7427,0,333,410727,502237,236
,福興村,493,321164,15655,2328,258025,10003,4625,295,282,25259,645,4003,42,0,198634,261773,323
,松山村,349,227602,10485,1104,192260,7079,1692,266,144,13083,141,1081,6,261,150260,185602,308
,雙福村,692,580622,8095,5603,487723,20757,2950,243,405,48898,51,5791,34,73,391450,484349,872
,北斗村,1310,942945,32738,10653,777052,24706,5144,3417,1123,79706,0,8303,0,103,608540,774433,447
,秀林村,585,405604,13046,4408,319923,10630,2863,525,446,50077,4,3528,0,154,249349,335471,53
,大崎村,570,384761,12708,2695,320111,14888,5264,814,295,23783,251,3899,0,52,255168,319817,91
,金興村,702,438772,7136,6246,372919,13966,1666,797,510,32173,255,2936,0,168,288251,354105,228
,福樂村,1764,1373497,29904,22730,1122940,50488,9580,1586,1661,119421,318,13506,56,1306,896194,1146748,918
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,15362,11652175,322593,179096,9339716,501034,127539,22838,10892,1021345,5185,109307,2186,10445,7457133,9769669,16965
溪口鄉,溪東村,290,211506,4341,2845,163636,17263,2469,180,157,18056,0,2326,0,232,131184,179053,46
,溪西村,119,79800,3802,237,54609,8999,617,330,35,9764,0,1408,0,0,42812,68003,0
,溪北村,107,70870,2099,328,61294,2662,519,95,46,1847,0,1979,0,0,49235,58810,12
,柴林村,156,117107,371,1017,92591,4495,729,345,111,16515,47,886,0,0,73062,98071,3
,林腳村,148,95363,3241,996,79557,2912,1779,0,113,5833,47,720,0,167,62093,77899,13
,美南村,221,158699,3805,1679,133429,6194,638,147,320,11364,0,1123,0,0,106505,131775,17
,美北村,180,113517,3814,2336,92821,3575,1097,476,17,7568,31,1539,0,243,71434,92131,2
,本厝村,186,122279,5032,2025,98078,4796,1719,17,229,9368,0,1016,0,0,76793,100994,13
,游東村,172,111151,5357,1601,90442,4304,322,0,109,8311,0,579,0,128,69997,90706,74
,游西村,130,96829,2146,250,76901,3061,410,41,111,13585,12,312,0,0,60458,80387,71
"表166-Q(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：嘉 義 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,柳溝村,268,165892,5416,632,139393,6355,3103,395,123,8191,0,1954,0,330,105748,132247,0
,疊溪村,219,143586,8432,2132,119028,5043,1062,395,192,5130,0,2172,0,0,94106,118665,13
,妙崙村,134,89566,704,88,68744,4407,348,0,95,13485,0,1570,0,125,53006,73829,8
,坪頂村,190,134406,4238,1987,110259,6905,1593,519,116,7001,26,1762,0,0,87487,111634,9
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,2520,1710573,52798,18154,1380782,80970,16406,2939,1774,136018,162,19345,0,1225,1083919,1414203,280
新港鄉,宮前村,563,486977,10318,8046,370903,33498,6815,1323,322,50247,2,5045,29,429,305796,421870,529
,宮後村,375,311542,9958,8056,232321,19753,2541,753,569,31233,0,6151,0,206,190966,270187,139
,大興村,380,280470,8531,9407,209520,19529,2683,490,227,25896,75,4027,0,84,168244,239193,58
,福德村,373,298487,7135,3180,234561,15253,1450,303,290,31323,6,4056,135,796,189551,253477,450
,古民村,233,157829,3695,2226,133756,7156,142,421,125,8438,702,1169,0,0,107099,131172,41
,中庄村,270,181402,5841,3395,146904,9935,581,84,108,11979,0,2575,0,0,117527,152025,17
,大潭村,297,198337,8410,501,164271,6464,1277,373,210,15261,0,1328,0,242,128799,162865,20
,西庄村,158,123416,3123,2558,99811,5241,953,10,72,9967,0,1359,0,322,80575,104181,31
,月眉村,367,274774,12612,1537,222087,12557,1514,595,198,19890,1013,2328,417,27,177650,230212,1056
,月潭村,343,233736,7414,3475,196658,10106,1631,188,211,11617,0,2339,0,96,154775,191852,5
,溪北村,256,177073,6149,2719,149957,4788,1089,66,93,8858,0,1977,0,1377,119312,146428,142
,菜公村,190,146803,3535,679,106374,5242,920,187,43,14696,0,15054,0,71,84191,124620,5
,中洋村,256,171671,3539,1080,149086,6533,1398,46,33,7257,8,2535,0,156,117837,140422,38
,三間村,363,306833,10297,1297,255087,9157,2163,1080,257,24299,23,3140,0,32,208110,259855,0
,安和村,178,108235,2088,4456,89514,3617,241,103,56,6978,0,1138,0,43,70346,89068,62
,潭大村,249,172820,2955,2444,138598,8237,3121,40,117,15215,0,1649,0,442,107950,142172,187
,南港村,234,177381,7151,963,133885,5707,1387,278,46,24782,0,3176,0,6,105359,148855,10
,板頭村,100,70175,4152,278,53752,2586,1838,206,18,7030,0,300,0,16,41873,58296,49
