"表166-T(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：屏 東 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,4625,3231751,125232,41648,2626109,138620,29514,4331,2531,224428,3847,29677,246,5568,2074067,2684327,1550
鹽埔鄉,鹽北村,382,252996,5227,2028,216070,10906,2770,566,160,11406,380,2696,0,787,171368,208518,80
,鹽中村,412,275448,7803,4335,229727,13433,3773,170,146,12382,245,3021,0,414,180040,226054,54
,鹽南村,326,238066,7430,2865,203365,7287,2607,635,159,11330,0,2327,0,61,163418,198454,76
,仕絨村,192,121409,3545,2491,103046,4029,638,91,52,5856,0,1662,0,0,79919,98668,36
,高朗村,488,325814,9601,1392,283566,8189,1999,969,502,15688,607,3241,0,61,223399,265647,14
,振興村,269,177657,8246,3080,148053,5730,559,236,75,10010,80,1438,0,151,116127,146076,5
,久愛村,159,99788,7721,524,82311,1936,1537,48,120,4467,72,550,0,501,63896,81965,65
,新圍村,571,354540,15177,4238,299030,12265,3702,1235,530,13233,169,3653,0,1307,231214,287327,25
,新二村,696,472240,17226,9890,377484,17786,5775,708,429,34196,48,7524,16,1161,295367,391231,525
,彭厝村,177,119747,4976,1171,102716,3960,647,63,86,4662,0,1418,0,50,81485,98516,15
,洛陽村,347,213675,3710,400,190647,8305,1989,1367,146,3990,207,2746,0,167,148655,171683,130
,永隆村,88,54709,2584,60,46395,1876,22,171,82,2585,0,808,0,125,35757,44071,0
,其　他,3,2168,36,0,2127,4,0,0,0,1,0,0,0,0,1695,1736,0
,合　計,4110,2708256,93281,32472,2284536,95705,26017,6260,2487,129806,1807,31084,16,4785,1792340,2219945,1025
高樹鄉,高樹村,397,294195,6254,15879,193605,17990,4815,356,120,52204,102,2165,0,705,152267,253048,195
,長榮村,209,154850,3916,12898,101928,8193,11548,2781,98,12413,14,870,0,191,81372,134294,77
,東振村,77,45969,1582,232,37988,2155,190,14,16,2809,0,983,0,0,29433,37413,19
,東興村,126,92771,1023,989,79527,4676,871,103,33,4365,0,533,0,650,65078,78323,12
,大埔村,86,62683,3979,825,41768,2251,864,132,20,11645,0,1170,0,29,32140,53055,0
,源泉村,130,79158,2346,1949,64081,1729,524,52,125,6473,0,1589,7,280,49850,64927,193
,建興村,149,93947,4100,6063,72256,2058,261,432,75,8022,21,582,0,75,56322,78013,7
,舊寮村,161,108470,2277,1722,93070,3050,613,94,77,6577,0,955,0,36,74018,89418,115
,司馬村,97,63942,1728,62,53555,3189,1545,0,26,3415,97,276,0,51,42170,52557,0
,菜寮村,100,69080,2960,6237,49630,3330,688,150,32,4531,0,1279,0,243,38773,58222,2
,新豐村,211,135335,3112,2135,109266,5085,1585,263,151,12661,422,655,0,0,86957,113027,35
,田子村,147,92931,1108,1251,79568,2758,227,0,103,6585,0,1324,0,5,62934,76297,24
,舊庄村,132,78521,1088,448,66825,2916,646,206,40,4221,0,2055,0,76,51890,63587,12
,鹽樹村,193,119291,7074,6279,93319,3297,160,590,78,7819,0,638,0,36,71563,98436,24
,新南村,229,149949,7844,3529,109116,6340,1104,98,77,21029,39,571,0,202,83220,124054,8
,泰山村,231,155610,3608,2309,121324,9260,4422,215,68,13332,91,728,0,251,94734,129353,36
,南華村,171,95271,1303,1370,85608,2253,214,28,61,3631,0,746,0,54,66176,76166,4
,廣興村,148,94720,4404,452,77330,2839,706,0,10,8004,0,863,112,0,57099,77671,362
,廣福村,146,96502,1140,1755,78675,5166,840,80,39,4201,2145,2461,0,1,61559,80606,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,3140,2083194,60848,66384,1608437,88535,31824,5598,1250,193938,2933,20443,120,2886,1257556,1738467,1124
萬巒鄉,萬巒村,302,248228,12305,2820,193735,17436,2768,118,115,16105,658,2082,0,86,159154,213647,332
,萬全村,180,156072,429,698,111642,6206,582,128,496,34916,0,976,0,0,90780,135211,39
"表166-T(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：屏 東 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,萬和村,398,296622,6255,2972,246463,18534,2273,402,227,13914,728,4564,0,292,198267,248426,51
,鹿寮村,195,179418,3064,4412,133328,6571,1241,313,39,28618,14,1815,0,2,108951,155040,14
,硫黃村,110,74198,770,1470,64586,2282,1031,42,65,2963,0,750,0,239,51738,61350,4
,泗溝村,252,184942,5757,753,149614,13129,1286,656,77,6261,243,7081,0,85,121867,157194,0
,佳佐村,279,168554,3578,1326,147990,4660,1720,305,129,6651,54,2123,0,17,115368,135932,31
,佳和村,286,208384,2687,2874,176569,9082,2342,395,208,12351,70,1772,0,34,142233,174048,17
,新厝村,190,128581,7346,1693,111573,2134,148,124,50,4080,0,1384,0,48,88544,105553,28
,新置村,176,106866,6680,356,87024,6345,860,34,129,3506,0,1928,0,4,67329,87172,31
,赤山村,252,143248,5256,589,125510,3442,1720,212,58,5567,0,800,0,95,94977,112716,64
,萬金村,286,158976,5711,894,141100,2651,1145,427,117,5442,0,1385,0,103,105660,123804,35
,五溝村,244,180399,727,1825,153588,13981,642,331,313,6771,0,2013,0,208,126086,152898,112
,成德村,262,183414,3400,1450,153480,12539,729,453,110,7239,1029,2827,0,158,122283,152218,71
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,3412,2417901,63964,24134,1996199,118992,18486,3940,2133,154385,2797,31500,0,1370,1593237,2015209,828
內埔鄉,內埔村,1086,836319,22545,11807,686019,47817,8144,3253,557,41518,429,10684,0,3546,562815,713115,680
,興南村,289,183959,2115,3932,158710,9465,152,29,81,7357,22,1514,0,583,125767,151264,26
,義亭村,115,79438,1073,1251,69433,3850,132,0,15,2582,276,826,0,0,55859,65863,37
,美和村,554,405580,4980,1858,343243,24833,3465,605,270,21763,133,4269,39,121,279598,341935,342
,和興村,731,594822,10263,3681,520646,27355,2947,289,461,24185,796,3803,0,398,427863,502040,349
,豐田村,691,505031,10663,7759,432583,20541,2709,254,532,23360,1229,4535,0,867,344482,416930,156
,竹圍村,433,291697,8885,3006,248822,10654,2275,126,127,14733,109,2797,158,3,195152,237990,483
,富田村,447,311441,3752,3225,260361,16675,856,834,274,16097,338,8711,0,317,206660,257740,223
,東勢村,603,401280,5394,3043,351296,15284,1672,2437,418,17847,77,3483,0,329,278553,328537,123
,東片村,238,165388,4700,1804,132819,8842,898,778,275,13555,25,1118,0,577,105407,137976,129
,東寧村,1162,848160,19504,13336,700404,43862,8451,1753,534,37371,2490,18326,547,1581,562448,710209,1720
,上樹村,229,150713,1436,2023,133139,4931,612,91,47,7091,20,1241,0,83,104878,122731,3
,老埤村,339,216698,13092,2199,182093,6511,2337,679,132,6292,99,2495,186,584,141232,176373,914
,中林村,255,137393,1243,1579,121655,4099,1775,23,83,4941,0,1272,4,719,92170,107907,265
,龍泉村,414,245729,3572,8902,205770,8990,3204,252,147,12334,144,2215,0,200,160622,200582,61
,建興村,131,87604,2260,2122,69708,4395,58,54,77,8314,0,601,0,16,55098,72993,5
,大新村,323,213170,2716,3778,184117,7888,397,205,219,11445,0,2259,0,147,145340,175214,13
,黎明村,387,254474,5440,1030,226395,7842,1034,205,238,10366,0,1683,0,242,177608,207522,37
,隘寮村,168,104042,7889,580,89696,4278,205,0,19,1064,82,228,0,2,67496,83405,0
,龍潭村,395,257804,7882,4782,218208,9738,3003,104,167,11193,0,1875,0,852,170926,210521,23
,內田村,832,616007,12166,20198,505650,35479,7902,2000,294,24915,55,7053,0,295,410374,520731,268
,水門村,137,80985,6277,3380,61474,4122,1032,126,77,3882,0,532,0,83,48286,67796,9
,振豐村,412,307988,3097,2447,266408,10667,540,446,129,16468,1352,6168,0,266,215146,256726,33
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,10371,7295722,160943,107722,6168649,338115,53799,14544,5173,338672,7675,87685,935,11810,4933779,6066101,5900
"表166-T(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：屏 東 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
竹田鄉,竹田村,385,282529,4832,3729,232272,13459,2332,174,199,21959,206,3093,0,273,184999,235255,175
,竹南村,170,136951,2742,1738,103663,4567,1749,81,41,21896,0,473,0,0,83743,117030,13
,糶糴村,169,137404,2368,2556,114163,5910,334,101,81,7432,0,4435,0,24,92312,115553,8
,二崙村,205,157177,2402,893,123563,8705,813,121,97,17227,1122,2140,0,94,99198,132812,7
,美崙村,171,115244,980,422,101406,4942,1948,19,146,4580,144,609,0,48,80730,94567,32
,頭崙村,277,193700,2868,3437,158814,9423,1195,134,83,13340,211,4002,0,192,125212,160098,134
,履豐村,148,107921,600,170,93636,4782,1193,179,71,5471,0,1685,0,132,74874,89159,3
,泗洲村,216,129781,3170,3632,108217,4896,1130,182,105,6842,0,1516,11,78,83531,105094,202
,大湖村,228,162728,3217,1486,140341,7968,849,120,193,6221,36,2123,110,64,112673,134950,356
,鳳明村,222,134774,9861,1388,96217,5233,2025,749,71,17770,9,958,0,491,72249,110805,160
,南勢村,101,71435,348,589,65605,2429,15,167,26,1447,42,767,0,0,52021,57850,5
,六巷村,158,120426,1992,1742,105298,3401,391,137,116,6062,13,1208,0,66,84651,99778,39
,西勢村,617,426642,6795,11452,357221,20375,2084,667,457,23579,348,3655,0,9,285017,354439,150
,福田村,111,70843,708,976,63976,2523,27,74,86,991,248,1233,0,0,50230,57097,0
,永豐村,185,148250,4797,827,122909,8334,1022,87,79,7980,0,2080,0,135,99121,124462,30
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,3363,2395803,47681,35038,1987305,106947,17107,2992,1852,162798,2378,29977,121,1607,1580562,1988949,1314
新埤鄉,新埤村,414,282348,4484,4561,241940,9784,1864,445,279,15523,43,3130,0,294,194191,234599,6
,建功村,216,162976,1563,2566,139289,7579,462,188,81,10552,0,694,0,2,113530,137217,91
,打鐵村,222,172639,1170,591,149382,12076,321,188,68,7536,49,1027,0,231,122168,145425,10
,南豐村,133,71824,2593,2130,60349,3859,439,0,63,1809,4,577,0,0,45263,56738,0
,餉潭村,178,86034,4385,424,76687,1790,69,0,87,2003,0,571,0,18,55673,65399,12
,箕湖村,109,57031,2070,382,51891,948,542,117,81,584,0,406,0,8,39412,44551,12
,萬隆村,233,144823,7556,627,124465,3591,1374,32,55,5982,86,927,0,129,96262,116621,150
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,1505,977675,23823,11283,844003,39627,5071,970,715,43989,182,7332,0,681,666499,800550,281
枋寮鄉,枋寮村,272,180942,4763,2638,152138,8203,3709,127,725,6591,12,1638,0,398,122791,151595,1
,保生村,146,89623,2227,1248,80034,3063,498,43,50,1169,0,694,0,596,63878,73466,21
,中寮村,84,50778,2040,289,43547,2594,313,6,52,1491,0,446,0,0,33875,41107,0
,安樂村,301,199208,5333,4432,167424,5007,1951,86,252,13769,0,906,0,48,134737,166521,111
,天時村,407,287333,7359,4150,247206,11168,1996,75,182,10927,18,1985,0,2268,199130,239257,35
,地利村,298,222626,4549,4298,181219,12864,2981,15,120,13895,0,2409,0,275,147192,188599,1
,人和村,429,303823,9695,11415,235889,19998,3370,353,209,19004,534,2966,0,390,189605,257540,113
,內寮村,80,47860,100,496,39591,1262,97,109,8,5855,0,251,0,92,30437,38706,0
,新開村,107,58968,2680,282,50571,577,306,3,27,4277,0,246,0,0,37628,46025,1
,東海村,619,425159,9805,1860,368060,20066,1440,217,303,18098,112,4086,0,1112,292384,349483,39
,大庄村,99,56419,1999,811,48749,1033,99,0,62,3137,0,529,0,0,37455,45125,1
,太源村,140,80384,1979,585,67309,1225,1081,110,25,6431,0,1544,0,94,50815,63890,0
,玉泉村,54,28151,479,24,25620,914,29,0,18,977,0,91,0,0,19558,22089,0
"表166-T(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：屏 東 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,新龍村,122,94671,3052,1826,78216,2168,2637,62,102,3368,3,2970,0,268,64767,81222,45
,隆山村,750,535340,13776,7771,451279,19274,5297,541,563,27819,1981,6220,73,746,366102,450163,570
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,3908,2661284,69836,42126,2236851,109414,25803,1746,2697,136808,2660,26982,73,6288,1790355,2214789,938
新園鄉,內庄村,199,142535,1590,342,121950,8021,1194,664,128,7110,109,1424,0,3,98006,118591,118
,瓦󼍕村,323,238561,10446,1214,200709,10949,470,43,121,11292,0,3249,0,69,160109,197960,26
,田洋村,444,301618,8216,3455,259293,9583,1881,76,161,13047,1183,4678,0,45,205726,248051,94
,仙吉村,660,482467,22670,10182,383990,18146,4374,226,212,36810,18,5480,0,360,305332,403810,25
,港墘村,143,96874,7489,1643,77286,3450,433,0,45,5598,0,917,0,14,60377,79966,52
,新東村,505,350997,9544,2171,303040,13271,1449,261,265,17892,36,2956,0,112,242348,290305,115
,新園村,491,361285,5976,4146,311133,12311,2205,486,252,18851,1517,4310,0,100,248148,298300,22
,烏龍村,270,200977,4265,2923,172286,9771,669,251,214,8204,0,2158,0,236,138146,166837,3
,興龍村,534,414317,10094,3742,358885,18307,2338,121,262,13264,516,6171,143,476,291987,347349,496
,南龍村,327,229941,10994,3594,178200,11615,4807,242,54,17214,419,2767,0,34,141090,192831,99
,中洲村,341,238413,5796,1955,198520,9655,1363,190,199,17470,216,2885,0,164,156924,196817,45
,鹽埔村,807,501198,16941,5874,417815,15016,3371,496,728,32234,17,8317,0,389,323897,407640,8
,共和村,372,215863,4457,1589,180755,7176,1254,247,248,17047,0,3076,0,14,137696,172804,25
,五房村,539,354916,9002,3179,305779,9297,1487,93,308,19888,1522,4223,126,12,237484,286621,457
,港西村,424,306275,6377,1181,267227,8727,1719,2770,162,15227,0,2586,0,298,212838,251886,12
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,6379,4436237,133857,47189,3736866,165296,29015,6166,3357,251149,5554,55197,269,2324,2960108,3659768,1596
崁頂鄉,崁頂村,480,348656,12554,2209,288025,16035,1519,1056,138,22155,585,4114,0,266,228977,289609,92
,園寮村,451,311843,10325,8818,263267,11082,1159,222,249,11191,1443,3981,0,108,209204,257780,52
,力社村,272,191742,7407,1506,163199,9095,788,179,139,7757,0,1547,0,126,131408,159951,67
,圍內村,282,194030,4641,2909,165933,5662,1530,119,70,11763,5,1278,0,121,132996,161094,44
,洲子村,193,125119,1636,1960,109628,3924,459,235,104,5430,221,1456,0,65,86089,101579,59
,北勢村,317,212033,7079,1920,183297,5400,1513,83,235,8989,0,3418,0,97,145556,174291,1
,越溪村,208,140834,6254,3818,115378,4084,884,366,73,7825,252,1105,0,794,90912,116367,97
,港東村,385,268253,5439,4408,234795,7818,1455,150,369,11687,250,1869,0,12,187029,220487,57
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,2588,1792510,55334,27548,1523522,63101,9309,2410,1377,86796,2756,18768,0,1588,1212171,1481159,470
林邊鄉,林邊村,321,241028,12137,2453,189114,16356,4393,693,108,13313,0,2132,0,328,154447,206361,126
,光林村,276,204096,9801,1266,169262,8761,3617,1032,143,7864,13,2337,0,2,137214,172049,6
,仁和村,376,261566,3559,7451,217031,13569,5321,57,197,8326,113,5079,0,864,174151,218686,145
,中林村,187,146154,1950,5862,113973,10479,2115,675,123,9231,133,1446,0,168,94008,126188,25
,永樂村,711,529155,8957,11818,437667,31393,6490,194,337,21712,933,6189,0,3464,356151,447638,74
,田厝村,164,115407,1966,711,104512,3210,488,181,40,3690,0,610,0,0,83958,94853,45
,崎峰村,232,123039,2430,1011,109628,3837,41,1538,85,3774,0,696,0,0,84540,97951,67
,水利村,299,173709,3247,1028,151035,5086,1954,164,68,9553,0,1369,0,204,117205,139879,8
"表166-T(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：屏 東 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,竹林村,394,269683,8984,3075,221640,12366,908,0,167,18258,273,3489,0,522,175735,223778,41
,鎮安村,204,156988,5235,1909,122997,6147,973,82,152,10916,52,1502,0,7023,98969,132960,14
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,3164,2220824,58266,36584,1836859,111203,26299,4616,1421,106636,1517,24849,0,12574,1476377,1860343,551
南州鄉,溪州村,385,259774,5296,4835,221386,14028,3017,244,204,7083,390,2891,0,399,178297,216685,79
,溪南村,255,174408,3351,1895,139152,13197,861,914,175,12732,154,1790,0,186,110765,146020,28
,仁里村,128,104050,3012,1121,80046,6606,154,0,20,11668,113,1191,0,118,65820,89824,23
,溪北村,183,151140,2130,1487,134909,7073,170,51,150,3979,33,1154,0,5,111165,127397,8
,七塊村,187,152400,5259,2886,115367,8554,784,0,44,17145,182,2068,0,112,93229,130262,5
,萬華村,206,131123,1972,250,116737,6093,105,175,58,4929,0,803,0,0,93194,107580,11
,米崙村,232,162727,2817,225,140777,9362,390,228,140,5008,919,2850,0,12,113543,135493,19
,壽元村,161,101020,3338,1180,84344,2740,1712,26,134,5303,0,1986,0,257,67015,83691,1
,同安村,213,147244,895,454,131040,3294,774,1903,116,7398,0,1214,0,155,104688,120892,17
,南安村,79,57192,3898,1008,47928,1880,14,51,29,1727,0,607,0,51,37928,47191,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,2029,1441077,31968,15340,1211685,72827,7983,3592,1070,76973,1792,16554,0,1295,975643,1205035,189
佳冬鄉,佳冬村,312,235527,5367,7891,199150,10842,1143,309,211,7772,402,2360,0,79,161309,197685,27
,六根村,288,185245,1245,896,158567,12540,604,56,222,8967,224,1753,0,171,124937,151616,55
,賴家村,161,106211,2293,247,92734,4923,894,26,98,4097,2,897,0,0,73736,87213,19
,萬建村,356,243923,6856,1093,214642,9444,461,863,85,7710,10,1616,0,1144,169298,198579,20
,石光村,372,261243,2921,1694,235837,8560,1337,129,166,8290,108,2181,0,19,190667,216073,160
,玉光村,386,235160,2767,5034,204813,8068,1774,99,185,8478,25,3588,0,329,160045,190391,32
,昌隆村,201,139594,3487,1290,116459,9268,1040,104,103,5210,73,2176,0,384,93833,116968,9
,豐隆村,110,79070,645,505,66922,2724,865,2037,48,4728,0,596,0,0,53098,65246,57
,大同村,216,157098,4055,3965,134848,4621,1740,0,87,5724,289,1760,0,8,107948,130197,21
,羗園村,185,150090,2462,673,98984,6208,3807,0,46,35970,3,1872,0,65,79148,130254,8
,燄溫村,139,79913,1839,493,70725,2342,966,7,78,2155,0,1139,0,168,54657,63845,4
,󻕯豐村,296,159164,6676,530,138749,4923,2434,275,264,3073,88,1593,0,558,104473,124888,1
,其　他,1,281,0,0,281,0,0,0,0,0,0,0,0,0,173,173,0
,合　計,3023,2032517,40613,24312,1732712,84464,17065,3906,1589,102175,1225,21530,0,2925,1373323,1673128,411
琉球鄉,本福村,381,283724,10259,6230,226278,12033,3362,206,741,19681,0,4450,0,484,181755,239201,38
,中福村,204,160908,4437,513,125533,5574,898,36,45,22947,0,811,0,116,100622,135997,27
,漁福村,156,104609,1125,1545,86354,5267,175,46,45,8552,0,933,0,568,68587,86842,151
,大福村,277,182314,4137,2132,153697,8840,131,147,251,11620,0,1352,0,8,122069,150686,6
,南福村,174,109173,1073,1030,97776,3762,1387,200,38,3268,0,562,0,76,78275,89672,19
,天福村,157,93177,2430,470,81960,4330,141,0,164,3071,9,593,0,9,63413,74630,10
,上福村,227,143320,5672,764,125588,3605,832,115,649,5215,0,757,0,122,98694,116425,4
,杉福村,124,79476,4572,49,68318,3036,180,0,38,2777,0,499,0,7,53912,65071,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"表166-T(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：屏 東 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,合　計,1700,1156701,33705,12732,965504,46448,7104,750,1971,77131,9,9958,0,1390,767328,958525,253
車城鄉,福興村,281,182480,5287,1733,145088,15140,1836,1721,112,10600,10,749,0,204,113824,151215,22
,福安村,98,63316,1539,368,52669,3008,1259,347,6,3799,155,165,0,0,41477,52123,26
,統埔村,82,51232,159,216,47828,1940,106,72,44,601,0,218,0,47,37855,41259,3
,田中村,120,66504,1756,1928,55890,3812,88,0,132,2622,0,275,0,0,41748,52363,1
,海口村,120,89751,2764,260,72135,1638,329,2,31,11311,0,1278,0,2,58098,75715,1
,溫泉村,137,88650,7762,1383,66442,1377,1217,81,49,9059,0,1279,0,0,51303,73511,2
,保力村,183,112065,5539,2378,92103,7370,281,277,51,2799,0,379,0,889,70991,90953,15
,新街村,47,26240,1078,0,19904,1710,994,267,7,2185,0,78,0,17,14750,21086,0
,埔墘村,93,53506,652,49,51504,361,75,102,45,481,0,233,0,5,39153,41155,14
,射寮村,77,38327,545,87,35294,1150,164,0,5,745,18,139,0,180,25413,28446,6
,後灣村,92,56042,657,359,50368,1403,662,219,17,1534,0,614,210,1,37606,43820,509
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,1330,828113,27738,8762,689225,38908,7011,3089,499,45736,183,5407,210,1344,532218,671646,600
滿州鄉,滿州村,248,192996,5578,7555,137495,8377,2661,119,174,29725,58,1080,0,174,107532,163032,0
,里德村,48,33030,1134,1382,25478,291,6,0,44,4117,0,515,0,63,19875,27428,12
,永靖村,211,134611,3354,2738,112611,8580,409,110,129,5713,106,765,97,0,87528,109526,328
,港口村,191,112037,3639,887,95897,4005,1262,102,98,5054,0,1092,0,0,73073,89212,31
,响林村,103,80523,3371,917,53627,2503,223,1603,13,17879,0,388,0,0,40735,67630,0
,長樂村,160,96163,1611,488,86353,4034,428,125,53,2672,0,400,0,0,66363,76173,20
,九棚村,45,30549,50,1377,26275,1123,14,0,12,799,0,898,0,0,20383,24657,3
,港仔村,56,35335,11,418,31263,335,687,61,2,2373,0,184,0,0,24905,28977,1
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,1062,715243,18748,15762,569000,29248,5688,2120,524,68331,164,5322,97,237,440394,586635,396
枋山鄉,枋山村,160,113807,5930,4558,88747,2838,2455,378,67,8322,0,488,23,0,70010,95070,230
,加祿村,244,160317,1515,1894,135356,5502,1660,53,207,12058,83,1867,0,122,108349,133310,125
,楓港村,125,80981,2336,57,72165,2200,980,0,47,2208,0,988,0,1,57571,66386,11
,善餘村,113,68913,1458,1098,58565,3070,686,38,10,3716,0,203,0,69,45242,55590,1
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,642,424018,11239,7607,354833,13610,5781,469,331,26304,83,3547,23,192,281172,350356,367
三地門鄉,三地村,293,207904,3516,3333,191175,6023,494,45,249,1931,0,791,0,347,153865,170594,71
,賽嘉村,107,64611,756,1045,59957,1702,485,0,12,313,0,340,0,0,45776,50430,23
,口社村,108,78880,219,1960,73516,1881,14,179,29,336,513,234,0,0,58833,64197,4
,安坡村,60,33199,155,1010,31679,96,15,0,0,42,0,202,0,0,23387,25229,2
,青山村,116,83413,5104,1312,72151,1227,113,0,7,339,0,3127,0,32,57969,69230,25
,達來村,35,20354,618,209,19217,128,0,0,0,134,0,48,0,0,14655,15793,0
,青葉村,91,55067,737,551,51641,1285,180,0,59,590,0,23,0,0,39623,43369,8
,德文村,74,39352,44,307,36844,97,0,0,13,1021,0,1028,0,0,26619,29128,5
,大社村,103,58353,1009,1185,50198,451,3207,0,237,947,28,1057,33,0,37624,45778,348
"表166-T(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：屏 東 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,馬兒村,30,21349,0,213,20697,314,0,0,8,0,0,116,0,0,16401,17052,21
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,1017,662482,12158,11125,607075,13204,4507,224,615,5654,541,6966,33,379,474752,530801,506
霧臺鄉,霧臺村,297,213372,2079,1817,200395,6247,170,63,135,146,199,2111,0,9,156910,169887,390
,好茶村,67,39415,415,330,37436,168,3,0,54,58,0,951,0,0,29365,31344,159
,阿禮村,63,42835,278,33,40809,1490,14,0,31,14,0,60,0,107,32230,34256,2
,大武村,53,32319,495,39,28958,550,153,0,7,1818,0,215,0,84,21385,24746,4
,吉露村,37,21885,59,5,20814,910,0,0,3,3,0,90,0,0,15343,16414,2
,佳暮村,70,39615,253,134,36491,393,177,43,6,1858,0,250,0,10,27354,30478,4
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,587,389441,3579,2357,364903,9759,518,106,235,3897,199,3677,0,209,282586,307124,560
瑪家鄉,瑪家村,84,56998,57,466,53407,1374,387,1,10,72,17,1208,0,0,42654,46245,25
,北葉村,183,123699,465,740,114242,4650,370,172,3,657,175,1924,0,302,90356,99813,49
,凉山村,173,105910,461,789,98744,3485,34,3,51,1692,0,610,42,0,76065,83223,268
,排灣村,81,55019,73,428,52455,647,210,0,11,771,242,173,0,8,40895,43459,6
,三和村,449,299368,1578,1891,284331,5578,390,216,211,960,107,3370,0,735,224543,239580,65
,佳義村,148,99406,463,390,92940,2654,126,34,25,2067,79,627,0,0,74133,80856,34
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,1118,740400,3099,4704,696118,18387,1517,426,311,6219,620,7913,42,1045,548645,593176,447
泰武鄉,佳平村,166,111567,2368,779,101343,3557,69,94,362,2210,0,784,0,1,80185,90410,11
,武潭村,173,118368,752,852,113350,2264,435,25,4,165,0,491,0,30,89612,94630,1
,佳興村,53,37052,304,964,34350,677,55,69,131,18,0,485,0,0,27491,30193,12
,泰武村,97,55798,291,295,51270,995,117,38,3,2199,0,591,0,0,39253,43781,0
