"表166-T(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：屏 東 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,崇蘭里,3471,3065660,49925,53652,2568852,170230,27185,9682,2949,141651,5154,30500,199,5681,2129213,2626210,2201
,空翔里,325,289706,4584,7996,217270,29789,2889,140,267,24538,0,1729,134,371,181086,253522,415
,廣興里,439,286992,6831,5101,241687,15576,3977,307,148,10887,58,2131,0,289,192144,237448,11
,潭墘里,3157,2347219,38111,44274,1992457,137743,15129,6696,2016,82810,3656,21839,306,2183,1607427,1962160,1884
,明正里,243,266273,1178,13400,141010,24715,1862,250,202,82221,42,1028,0,365,117884,243147,230
,溝美里,686,543536,10191,17275,404834,40136,11387,1335,422,52598,686,3977,0,694,330001,468703,338
,勝利里,1407,1137507,18955,20965,919468,77830,21197,3318,1550,63889,351,9446,32,505,757389,975972,957
,永城里,522,357434,7079,9495,289408,21093,3349,1226,301,20517,0,3921,76,969,232757,300783,596
,北勢里,718,591230,12858,22338,454440,41869,12010,3486,619,39378,319,3147,0,766,375783,512573,460
,華山里,1445,1148882,21147,31825,926880,73423,15722,2671,841,63915,595,9300,0,2564,758662,980664,649
,太平里,230,211094,10601,7532,139046,18834,7161,223,83,24837,98,1797,0,882,116512,188560,10
,興樂里,221,190683,7114,8341,127210,14078,8732,41,59,20884,88,1993,0,2142,104163,167636,181
,大武里,2284,1755864,35538,33389,1401344,100436,22571,3079,3056,132031,1774,20507,45,2093,1135963,1490986,1400
,建國里,231,182953,4155,5885,146372,9065,820,243,109,14701,165,1345,0,92,120208,156789,187
,崇武里,767,595371,11628,16497,473597,39532,3879,1087,338,40882,1218,5958,0,755,384082,505856,169
,凌雲里,123,77076,1922,1034,63987,5118,552,712,73,2087,51,1413,0,129,50646,63734,23
,鵬程里,166,151509,411,2173,139662,5678,323,100,64,2509,0,589,0,0,116056,127903,10
,豐榮里,812,685298,9745,34767,504407,61806,11364,4331,702,49787,764,7004,0,623,419277,600172,744
,信和里,343,239909,4274,3727,203278,12266,2796,184,124,9556,651,2955,0,98,163125,199755,27
,豐源里,1310,1140933,21265,39713,865270,100142,20779,1439,975,72637,1900,13145,56,3614,714193,989836,1674
,大連里,3384,3171892,45031,65184,2482142,231458,36995,3521,3614,263380,5793,31504,15,3254,2084080,2774645,3179
,仁愛里,685,557985,10237,26964,427011,35239,15599,758,489,37112,193,3070,0,1315,351511,482486,304
,中正里,1564,1372989,25580,42239,1084090,94292,26274,2065,1079,77096,1939,12758,310,5268,898462,1187245,2298
"表166-T(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：屏 東 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,北興里,1820,1453895,32697,29252,1223165,74334,14765,1270,1444,58610,1623,11634,24,5077,1003452,1234181,1791
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,48021,38555607,874312,909547,30656146,2338714,592785,94643,38276,2549105,52267,370701,3945,75166,25087491,32988807,36066
潮州鎮,潮州里,155,113034,2308,4094,78019,11635,4274,88,122,11596,0,872,13,12,64129,99144,220
,光華里,1242,980820,23945,23690,800388,57283,7995,2115,683,48698,263,14204,0,1554,656531,836966,777
,三星里,1454,1132813,29208,27337,932569,63153,9130,1927,625,54768,1532,11813,224,526,763299,963543,1181
,彭城里,179,128668,6340,2697,102339,6202,2530,1079,46,6623,77,560,2,173,81738,108067,194
,九塊里,255,150778,6076,1411,134651,2903,166,31,64,4112,3,1349,0,11,104654,120781,6
,興美里,175,127442,2640,2384,102595,5637,1160,34,136,11338,3,1469,0,47,82365,107212,28
,檨子里,58,38653,1070,1,30072,2076,280,0,93,4855,20,110,0,75,22924,31505,0
,新生里,276,206364,9502,6495,151484,13794,9128,67,135,13911,0,1732,0,117,123175,178055,97
,新榮里,366,282171,12135,12896,182748,24025,9980,544,336,34661,76,3223,278,1270,147899,247322,613
,同榮里,161,96557,2543,4419,62895,8029,5275,51,135,12574,0,455,0,181,49369,83031,5
,三共里,1900,1554364,32778,57857,1191192,112634,24272,2268,1233,105391,2211,21445,84,2999,977129,1340301,819
,五魁里,334,237398,5184,3389,204582,7048,1908,286,168,10921,0,3163,0,749,162464,195279,65
,蓬萊里,508,385975,12886,7775,322810,12288,3026,1208,282,21244,483,3340,12,621,260700,323865,296
,八爺里,524,344138,16083,5008,279346,12478,4955,321,212,21680,787,2860,93,314,220103,284903,414
,光春里,286,199907,7724,3855,161070,6124,728,87,156,19185,67,795,0,116,130119,168957,3
,泗林里,337,252586,3435,2264,215472,13837,968,452,89,12226,1324,2500,5,14,174680,211794,224
,四春里,382,238217,6401,2703,202377,6218,1223,96,142,15310,719,2569,0,458,158214,194054,18
,崙東里,224,135483,3374,836,116604,3566,801,199,96,8511,73,1406,0,19,91384,110263,65
,永春里,1776,1305937,39770,30769,1100824,56191,11540,1154,966,46735,1963,14082,0,1942,895518,1100736,302
,三和里,567,457156,17689,16185,341501,28358,11558,1452,259,27099,272,2757,0,10026,279608,395263,60
,富春里,249,164796,3844,4046,125869,7379,1536,1336,73,18524,103,2080,0,5,97938,136864,75
,其　他,1,425,103,320,0,2,0,0,0,0,0,0,0,0,0,425,0
,合　計,11409,8533681,245038,220432,6839408,460856,112434,14796,6051,509963,9978,92785,711,21229,5543941,7238331,5462
東港鎮,八德里,173,130320,2606,1210,101867,8233,827,0,40,14098,48,1115,0,275,82380,110832,18
,東隆里,259,156979,4952,2346,129537,9287,829,10,212,7743,183,1692,0,187,101368,128810,2
,共和里,117,105380,5261,8135,70264,7762,2111,108,141,10495,0,951,0,152,58690,93806,182
,豐漁里,113,79509,817,298,70077,3969,129,20,21,3513,40,584,0,41,56921,66353,121
,盛漁里,250,147106,3921,2757,127438,4046,245,83,131,7194,0,1290,0,2,99561,119230,8
,興漁里,372,229473,9265,2415,186555,9716,1838,95,241,17064,0,2173,50,61,145979,188896,269
,鎮海里,491,285967,5650,1848,251024,8111,2983,231,138,13201,0,2637,0,145,194991,229934,73
,嘉蓮里,303,201323,7241,2771,173303,6446,2075,17,150,7764,0,1458,0,98,138534,167552,2
,南平里,233,120004,2715,2109,101843,3246,2131,75,112,6334,0,1272,0,166,78532,96693,1
,興東里,2110,1668068,46945,21167,1321202,72996,33939,3375,1291,135033,2630,26855,45,2590,1075595,1422461,820
,興農里,305,226868,2927,1609,197079,6028,2088,522,133,13003,80,3377,0,23,159941,189730,10
,興和里,226,151956,3456,2082,128842,8347,653,585,96,6169,0,1666,0,60,102665,125779,4
,船頭里,1229,920560,27553,14341,770127,29207,7885,1888,867,53112,1098,13349,0,1133,626280,776713,209
"表166-T(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：屏 東 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,下󿾴里,372,226323,8867,2873,191828,8752,1174,372,547,9273,36,1883,0,719,148892,183387,8
,新勝里,592,447888,19492,13326,311490,37697,12724,727,324,47576,91,4053,130,256,251860,388257,529
,頂中里,115,84193,1981,3803,59994,5200,4383,128,55,7838,0,741,0,71,48855,73054,33
,頂新里,128,96589,2299,1644,72298,6651,4858,80,31,6888,0,1841,0,0,58633,82924,70
,東和里,155,97728,2325,2459,74436,6527,3787,59,81,7146,0,840,0,68,59504,82796,18
,朝安里,364,247610,9079,3673,170875,18803,7229,354,53,33050,0,2689,0,1805,137631,214366,136
,興臺里,144,108911,4435,3432,79747,6808,5515,7,59,8436,0,468,0,3,65987,95151,103
,中興里,175,105905,3219,2986,81245,5412,4173,292,113,6406,0,2016,0,44,63730,88391,3
,大潭里,335,212567,2896,4953,175510,9406,680,66,82,15868,0,2959,0,146,137722,174779,37
,大鵬里,26,23162,3066,597,13298,803,2616,77,23,2582,0,80,0,20,10613,20477,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,8587,6074389,180969,102835,4859879,283454,104872,9170,4942,439784,4205,75989,226,8066,3904864,5120372,2656
恆春鎮,城北里,538,368022,14940,17451,284682,21907,8422,534,494,12694,0,5380,0,1518,227011,310351,266
,城西里,244,175565,6354,699,142964,9416,3451,210,142,11155,44,1009,0,122,112617,145218,7
,城南里,242,158961,3439,5829,118140,13183,5999,132,393,6571,138,4661,58,417,93781,134546,326
,山腳里,912,632234,29163,14969,501667,30167,11195,2597,428,37414,240,2531,0,1861,395561,526127,194
,網紗里,653,1677383,17140,3635,350387,16657,12468,1347,634,1267804,166,6510,0,636,276474,1603470,121
,仁壽里,141,90752,6050,218,70487,3794,2580,297,96,4919,17,1477,0,819,54389,74654,90
,茄湖里,67,37882,494,265,33455,1423,113,0,20,1733,0,374,0,4,25717,30145,0
,頭溝里,65,41377,754,492,32718,4899,749,250,38,1223,6,197,0,50,24385,33044,0
,四溝里,136,88638,2905,2322,75381,1906,493,0,73,2998,0,2445,0,116,59281,72543,58
,德和里,162,128898,9841,1306,97096,2213,2173,259,154,15161,0,238,0,460,74802,106604,18
,龍水里,202,229540,3617,1780,204700,10517,822,370,194,5714,0,1791,0,36,179923,204763,139
,山海里,233,415598,12508,711,109215,3345,2294,203,84,286200,201,645,0,192,81848,388231,2
,大光里,339,202504,13155,2346,167509,5739,3220,11,222,8220,0,2027,0,53,126083,161078,101
,水泉里,204,122196,7449,198,99288,1718,2274,297,30,10085,0,357,0,500,75174,98082,58
,南灣里,384,390428,12594,7403,319928,11299,12175,1336,261,22403,0,2759,0,271,270205,340706,109
,墾丁里,225,155617,12637,2608,97865,7042,24546,281,107,7006,21,500,0,3004,76201,133953,89
,鵝鑾里,153,84844,9807,319,61370,2835,3941,853,100,5218,50,219,0,133,45927,69401,67
,其　他,22,10794,61,399,7514,46,114,0,114,1595,0,952,0,0,5475,8756,0
,合　計,4922,5011234,162907,62949,2774363,148104,97028,8976,3586,1708114,884,34070,58,10194,2204851,4441671,1646
萬丹鄉,萬安村,163,121928,7602,5076,83938,6590,3041,154,160,12431,877,1921,0,136,67076,105065,106
,萬全村,887,709089,40539,19070,541845,35980,9602,4467,375,48011,0,7235,0,1965,439733,606977,825
,萬惠村,201,160196,3347,4783,129518,8206,1195,158,70,10868,0,1845,0,206,105589,136267,13
,萬後村,164,118985,5084,2685,94201,6853,1031,421,113,7191,0,1277,0,128,75900,100683,0
,萬生村,354,244006,4568,7530,193746,13093,1235,265,104,21161,15,2193,5,91,151470,201729,215
,寶厝村,502,371642,11663,3611,309221,19078,1768,75,282,19121,350,5628,0,845,247128,309549,55
,四維村,413,283159,8696,4290,229254,10393,2759,506,233,23479,452,2866,0,231,180561,234466,66
,竹林村,286,208581,11738,894,148348,5692,2094,117,117,36008,12,3513,0,46,115025,175258,59
"表166-T(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：屏 東 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,廣安村,609,417428,15553,3242,335674,11765,3213,330,142,44835,397,2246,0,30,262574,344328,11
,田厝村,239,173321,4121,1786,150184,4824,2015,537,258,8033,0,1146,0,417,119768,142904,5
,崙頂村,435,294924,14269,1233,252417,8121,2244,232,285,13679,0,1952,0,491,197662,240168,68
,社上村,328,215248,6563,4089,180357,7346,2251,331,120,12223,0,1863,0,105,143127,178019,10
,社中村,322,223109,12297,3966,178954,7756,2071,32,268,15634,0,2111,0,19,140056,184211,82
,社皮村,431,307424,6297,4338,257730,11415,5432,305,198,16482,1360,2912,55,899,203596,253235,306
,磚寮村,213,147573,5447,417,119037,5794,919,0,63,12905,17,2671,0,304,93179,121715,0
,社口村,293,213823,8234,2309,170194,7865,1585,1523,267,19488,0,2241,0,118,135134,178763,82
,加興村,259,188004,4162,622,145803,7145,2190,30,89,24193,2264,1360,0,146,114136,156336,48
