"表166-D(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 南 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,民生里,385,289735,11771,5582,210435,13913,4993,209,224,40036,0,2447,0,125,168543,247843,403
,文賢里,365,246875,7659,2737,186569,12843,6081,200,159,28239,771,1246,0,369,146750,207055,53
"表166-D(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 南 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,光賢里,1174,1143092,32541,29745,781767,47416,22982,6336,932,207553,2873,9074,238,1632,642810,1004135,1161
,西賢里,1640,1959211,44412,70320,1195416,93520,27119,6832,2006,499925,2418,12670,557,4016,998358,1762057,2749
,西湖里,1812,2208345,58189,57172,1405662,106403,46708,5649,2169,486856,795,21499,0,17243,1185062,1987852,1646
,三合里,471,398654,14285,7884,283230,18064,7016,665,428,63453,0,3496,22,110,233285,348709,351
,民權里,403,367541,12609,12172,215286,19632,14793,360,186,85229,0,6966,0,308,175608,327863,246
,保安里,278,209367,6382,8302,106795,14050,14898,422,232,55958,0,1253,0,1075,84484,187056,82
,郡西里,276,184183,5551,3263,136211,13278,3184,418,138,18633,29,2717,0,763,109453,157425,158
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,21012,23124410,637549,687248,12933180,1270104,628988,61025,19210,6525985,21529,193288,2807,143498,10736143,20927428,27483
新營區,忠政里,1765,1644423,24357,39638,1215144,145349,11440,3196,945,180038,1248,16531,231,6306,1014411,1444235,1780
,民權里,871,788191,20829,34310,510576,76910,20799,6061,399,111570,577,5936,0,223,422703,700317,556
,三仙里,937,756789,15103,12062,573271,62098,13211,2297,695,65458,206,8883,14,3491,473084,656672,567
,民生里,1061,863555,17846,23827,657127,50269,23324,3321,451,77936,618,7606,93,1137,535660,742101,857
,民榮里,1350,1092154,24614,17630,862305,52343,13740,4754,844,100479,136,14677,0,634,701057,930907,349
,好平里,208,152924,3465,7579,112683,9553,1830,137,77,10256,0,5247,0,2097,89352,129593,89
,延平里,337,213766,6638,5942,160825,12390,2938,408,138,18446,0,5631,0,409,127757,180698,18
,南興里,760,578752,10967,12267,460310,35505,6152,1697,549,45960,183,3930,0,1232,373131,491572,334
,永生里,328,294784,8575,9793,183033,25614,16556,56,123,48612,914,1166,180,162,150208,261960,686
,中營里,449,435215,12161,25028,294299,23772,9262,1061,251,61263,115,7381,0,623,243869,384785,195
,興業里,549,508476,6802,10466,386557,37867,7451,394,410,55380,176,2900,0,72,323693,445612,267
,興安里,125,110860,2351,5004,66560,6137,5604,92,954,23080,0,988,0,91,54168,98467,321
,王公里,1437,1550605,44084,26521,1033203,92614,7166,1063,1188,327529,1019,13548,0,2669,853629,1371032,668
,大宏里,1070,986776,16461,31439,701099,93912,16744,1476,844,107493,84,16943,62,218,582739,868416,879
,護鎮里,378,286885,5792,1017,245666,9965,1468,109,308,18231,1306,2309,0,716,196318,237538,33
,埤寮里,496,399636,11535,4381,330179,18269,2903,181,968,27117,25,3942,0,135,268363,337819,148
,土庫里,383,284229,3572,3745,244862,13784,576,285,465,13105,0,3611,203,20,195983,235277,636
,太南里,383,298934,2921,3303,242460,7400,2869,399,212,35634,243,3349,0,145,195731,252206,390
,太北里,448,316252,7232,5693,259761,12046,2379,68,314,23402,14,4948,330,63,203671,260161,732
,南紙里,1131,850035,15046,5568,732316,29253,2987,891,990,53189,1028,8071,0,694,585489,703208,185
,嘉芳里,514,371529,11538,1289,283275,14264,7858,174,695,49752,56,2545,0,84,219446,307701,157
,舊󿾴里,62,42562,2309,301,33971,1596,184,0,36,3824,0,341,0,0,25844,34435,0
,角帶里,103,65811,3885,155,55329,1526,462,0,53,3818,0,583,0,0,42362,52844,3
,鐵線里,163,103619,6581,508,84222,4251,738,18,108,6264,0,698,0,230,64794,84191,1
,五興里,196,132449,3853,261,117353,4474,254,301,135,3936,167,1707,0,10,92250,107347,19
,姑爺里,111,79847,2371,194,59750,2305,1317,0,16,12998,0,557,0,338,46381,66477,0
,新北里,1693,1476408,32344,18596,1185629,89290,10082,6847,1235,115444,2210,14354,0,377,971584,1262746,971
,新南里,1578,1500872,27679,32453,1179556,77087,11924,1000,1172,144053,2143,17203,245,6358,977208,1298525,1056
,新東里,2195,2336256,24082,37656,1966559,108880,15903,5159,1382,143012,1304,31360,37,921,1656394,2026091,937
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"表166-D(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 南 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,合　計,21081,18522595,374993,376625,14237880,1118723,218121,41445,15958,1887279,13774,206945,1394,29456,11687279,15972933,12832
鹽水區,水秀里,398,286904,13794,2927,214069,11612,1533,492,166,38149,0,4038,103,20,168014,240849,724
,福得里,169,131418,3646,3601,97539,10373,3058,29,98,11054,0,1536,0,484,78967,112846,24
,三生里,95,73151,1432,223,49572,6521,1026,77,71,12952,0,1042,0,235,40008,63587,68
,武廟里,127,104747,2490,6753,69319,12879,1935,34,79,10491,0,767,0,0,56149,91577,123
,中境里,161,115871,1305,5184,90020,9349,825,183,39,7937,0,674,0,353,72571,98422,15
,水正里,233,181867,5878,9076,128182,16879,2574,136,114,16819,0,1271,0,938,102914,156600,7
,水仙里,83,54388,448,388,41258,6496,378,79,21,4527,0,546,0,248,32696,45827,36
,橋南里,1017,705847,20615,5173,599722,28892,4980,335,583,38840,2,6491,0,213,473352,579477,76
,岸內里,972,712443,16646,4763,585215,41168,3505,1153,654,50384,370,8140,0,446,467450,594862,256
,義稠里,202,134806,1627,5618,115802,5504,549,196,121,3558,5,1826,0,0,89989,108993,2
,汫水里,199,136312,4642,4684,107637,4122,1785,220,104,10731,0,2384,0,2,84128,112803,30
,下中里,152,113056,1518,3414,97095,2408,203,181,111,5245,0,2856,0,25,77997,93958,80
,歡雅里,361,227149,6262,1873,196342,9598,1589,63,219,8423,14,2512,0,254,151016,181823,7
,大莊里,107,62417,2326,917,50380,2905,42,0,26,5393,0,357,0,70,38442,50479,0
,孫厝里,99,61439,742,32,48509,3198,1185,10,40,7191,0,532,0,0,36598,49527,0
,桐寮里,75,56312,752,266,50662,1868,607,0,27,1789,0,298,0,43,40334,45984,2
,後宅里,126,87462,5442,732,66465,3502,229,0,26,10401,0,664,0,0,51530,72527,105
,舊營里,197,146197,1940,155,128096,3593,237,36,189,10493,0,1399,0,60,100769,118869,174
,竹埔里,155,120280,1951,2743,93902,5803,645,2106,78,12301,263,466,0,22,74878,101256,0
,下林里,70,42304,2126,118,28375,1497,139,0,42,9436,0,284,0,288,21340,35270,0
,飯店里,83,51380,1811,123,44613,1284,205,0,20,2880,0,436,0,8,34237,41005,7
,大豐里,51,40027,578,16,30505,761,38,0,24,7797,0,286,0,20,24499,34021,6
,河南里,104,63760,1529,366,54837,3311,551,516,70,2256,0,324,0,0,42720,51643,44
,南港里,193,114165,3303,1000,96357,4576,1119,35,125,7108,0,540,0,0,73388,91195,12
,田寮里,49,40663,157,574,21383,2410,2097,0,85,13081,0,877,0,0,15667,34947,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,5478,3864364,102958,60720,3105858,200512,31034,5880,3134,309235,654,40548,103,3730,2449654,3208345,1798
白河區,白河里,387,291075,9849,15734,192697,24893,6168,221,205,37739,558,2653,0,357,156409,254787,174
,永安里,820,605744,21179,16433,459132,46178,9992,639,516,44688,29,6449,0,508,371952,518563,291
,庄內里,373,266892,10930,5861,202900,14037,1682,2415,227,26545,28,2097,0,172,160906,224898,12
,外角里,314,188972,2941,3918,152713,11284,1103,20,97,15148,28,1593,0,126,117405,153664,62
,秀祐里,222,135107,2631,1127,115043,6230,337,328,179,8190,0,1025,0,16,89923,109987,3
,大竹里,275,185442,2567,3166,157979,10157,1103,30,90,9199,0,855,0,295,126054,153517,24
,玉豐里,264,163066,5305,589,142297,4879,1108,815,96,6354,0,1530,0,94,112088,132856,78
,詔安里,165,103833,1941,963,90709,3041,241,32,95,5997,13,756,0,45,70615,83739,8
,蓮潭里,168,105526,4149,1401,91804,3988,51,0,72,2695,0,1364,0,0,71112,84834,81
,廣安里,148,105632,3374,2978,87531,3058,312,138,50,6901,0,1094,0,196,70054,88154,18
,內角里,163,108802,1284,748,87910,6411,1130,257,1049,6121,0,2519,0,1373,70411,91303,137
"表166-D(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 南 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,草店里,174,110809,2445,1388,89707,7739,1729,226,65,5946,0,1556,0,7,70173,91275,4
,甘宅里,104,56085,3935,386,44067,2806,18,127,80,4123,0,543,0,1,33086,45105,23
,竹門里,169,116890,693,1224,101933,5031,513,279,39,4841,0,843,21,1473,81155,96112,232
,崎內里,134,87760,3158,184,74056,4696,2233,66,24,2924,0,377,0,42,58241,71946,21
,汴頭里,85,54405,1373,85,43532,2689,279,12,55,6158,0,221,0,2,33628,44501,64
,昇安里,270,185067,2337,678,157699,8214,2622,23,104,11767,0,1500,0,122,123730,151497,43
,河東里,271,193531,5029,2585,155619,10693,2161,255,77,15201,0,1906,6,0,123699,161612,372
,虎山里,86,57166,2355,2048,41978,2929,191,0,41,6807,89,727,0,0,32514,47701,10
,大林里,98,70596,620,64,60716,2842,149,17,29,5633,0,500,0,26,47899,58126,0
,崁頭里,68,35863,1203,95,31325,986,68,0,6,1828,0,351,0,0,23684,28395,0
,六溪里,82,56014,2594,655,41010,2509,5901,0,88,2506,0,751,0,0,32242,47246,5
,關嶺里,156,119256,11366,1346,84867,7317,3132,122,45,8556,5,2486,0,13,68849,103238,91
,仙草里,159,90375,5637,671,69508,6546,2312,25,36,4882,0,682,0,77,53243,74111,153
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,5155,3493906,108896,64326,2776731,199151,44535,6050,3366,250750,749,34379,27,4946,2199072,2917166,1905
柳營區,士林里,468,388251,6536,3807,298012,19146,3799,89,250,54127,0,2119,0,365,238387,329023,46
,光福里,532,377400,10107,7329,308311,18157,2297,680,417,25688,89,3881,41,403,246649,315919,396
,中埕里,251,196782,2306,2887,153073,12585,729,377,93,21914,130,1935,0,752,120159,163868,41
,東昇里,733,585249,9480,2773,467853,28930,3396,363,689,65087,5,6594,0,79,374395,491792,88
,八翁里,357,266958,5210,1754,208614,10972,18338,241,457,19274,18,2001,0,79,164853,223197,401
,人和里,189,129314,7147,730,104541,6803,1172,0,93,7675,30,908,0,215,82421,107194,5
,太康里,371,307455,5795,2886,254208,12321,4175,382,168,24058,1076,2235,0,150,205153,258537,110
,重溪里,418,292325,9254,3199,250982,13738,1212,475,305,11276,130,1719,0,33,196601,237944,133
,篤農里,320,216176,7174,1580,178411,11726,1330,675,290,11763,405,2627,0,195,139713,177759,42
,大農里,132,79238,2344,1244,67688,2751,191,31,76,4314,0,600,0,0,51985,63535,8
,神農里,319,205716,2772,402,181979,8638,796,171,233,8030,60,2287,39,309,142225,165962,262
,果毅里,272,179224,2802,2225,158944,6305,852,31,188,6251,128,1214,0,284,123989,145700,56
,旭山里,302,192965,7546,2686,160683,5801,3184,0,239,9463,46,3057,0,259,123661,155942,214
,其　他,1,311,0,0,311,0,0,0,0,0,0,0,0,0,203,203,0
,合　計,4665,3417364,78473,33502,2793610,157875,41472,3514,3498,268921,2117,31177,80,3124,2210394,2836576,1803
後壁區,後壁里,526,391914,13406,7854,312769,21438,3050,67,231,28356,14,4588,0,142,252252,331397,56
,嘉苳里,298,214233,6722,1454,166786,10924,972,342,109,25466,0,1159,0,297,131077,178896,20
,侯伯里,302,231841,3433,804,195991,9431,634,139,106,16489,0,4601,0,212,155395,191245,14
,土溝里,288,190067,3340,1004,163480,8938,723,160,271,7778,899,2885,0,589,127110,153697,51
,嘉田里,254,190510,5989,1176,155353,8329,2324,495,111,15719,0,958,0,55,124639,159796,158
,嘉民里,256,161053,7629,2679,128755,8519,2487,50,126,8426,83,2200,0,101,100358,132656,0
,頂安里,332,254791,4249,1113,218366,9048,1360,67,1224,16146,0,3219,0,0,176298,212723,37
,長安里,326,234111,7067,2224,192269,12981,1416,50,166,13781,151,3280,0,726,152466,194743,4
,福安里,309,252492,5096,3427,209277,12778,937,147,200,18982,80,1444,0,125,171087,214302,218
"表166-D(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 南 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,烏樹里,158,113572,1302,929,89439,4574,4747,0,37,12007,48,489,0,0,69168,93302,1
,墨林里,164,120031,2909,3034,101649,5830,376,146,78,4987,12,959,0,51,82088,100469,5
,菁寮里,83,65066,846,31,50950,7007,321,588,59,4251,0,748,0,265,40815,54931,2
,後󿾴里,16,12356,0,0,11400,852,0,0,1,33,0,69,0,0,9148,10104,0
,崁頂里,102,79949,1789,515,65336,4486,140,13,30,6231,1056,339,0,15,52914,67528,0
,菁豐里,179,130517,1511,1013,107182,7824,1575,346,121,9001,0,1944,0,0,86175,109511,3
,新嘉里,175,119002,4892,41,102022,6699,907,207,88,3133,0,1012,0,0,78905,95884,10
,頂長里,100,64623,3339,114,47202,7163,1237,40,78,5099,0,351,0,0,35832,53253,27
,平安里,235,165389,7543,550,132132,6534,2440,0,104,14598,0,933,0,556,104504,137761,39
,仕安里,104,67647,2773,611,58891,2778,98,0,132,1699,0,665,0,1,45960,54716,45
,新東里,391,272499,5610,1796,229142,11083,2759,707,537,18315,0,2476,0,75,180264,223622,221
,竹新里,304,211760,3303,3533,173509,6102,1460,335,187,20155,3,2229,0,944,134779,173030,10
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,4902,3543424,92748,33903,2911898,173315,29966,3900,3995,250653,2345,36547,0,4154,2311235,2943567,921
東山區,東山里,288,190820,5177,1498,157777,11426,287,45,153,8262,331,5574,0,289,123932,156974,41
,東中里,571,414798,15062,12232,320391,24624,4104,534,333,33163,0,3944,0,411,256747,351293,416
,東正里,301,192616,7020,1733,159510,8111,685,30,114,14376,0,939,0,98,125106,158211,7
,三榮里,163,112955,2397,756,90522,5139,600,52,279,11301,0,1892,0,16,72078,94511,20
,大客里,168,118059,1122,485,98117,4747,1842,171,77,10283,0,1208,0,7,78251,98193,5
,科里里,220,152115,7115,221,127430,5846,729,0,95,9951,0,555,0,173,100835,125520,7
,東河里,176,105424,3921,166,94175,2382,348,104,91,3077,0,1140,0,20,72569,83818,47
,聖賢里,424,317759,11914,6286,253742,12546,2157,231,261,27973,191,2036,0,423,200969,264985,20
,南溪里,85,56330,73,102,50130,1141,138,0,27,4234,42,298,0,146,39238,45439,1
,水雲里,59,41017,605,24,37187,1159,184,0,17,1546,23,270,0,3,29517,33347,0
,林安里,66,38646,1666,179,33002,550,396,0,59,2006,90,388,0,310,25262,30981,0
,東原里,380,236679,4351,2842,198097,7866,554,606,306,20763,0,1292,0,1,156092,194955,309
,嶺南里,96,50548,1812,1290,40064,2113,53,0,40,3719,0,1367,0,89,30337,40822,19
,南勢里,157,93189,2624,1398,78765,2356,1121,157,59,5574,0,967,0,168,61322,75985,4
,青山里,153,86259,1064,225,72519,6793,131,45,36,4358,0,1088,0,0,56631,70372,39
,高原里,154,84840,2696,44,70522,3556,428,0,79,6766,0,747,0,1,55123,69669,2
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,3461,2292054,68619,29480,1881952,100354,13757,1975,2028,167351,677,23705,0,2156,1484007,1895074,936
麻豆區,榖興里,225,194376,6975,6563,139018,16043,4504,256,110,18411,0,2325,37,134,115303,170661,269
,保安里,178,141610,14043,6001,83956,12379,6033,920,49,17390,0,471,0,367,68445,126099,5
,東角里,913,774707,10726,13801,595700,55479,5962,1719,920,78902,136,9904,195,1262,488508,667515,881
,晉江里,787,609250,12151,23302,473189,43551,4666,1409,532,43855,583,5564,0,450,383929,519990,137
,巷口里,512,439640,3352,2210,330917,34774,3813,1161,278,36617,0,25548,0,968,270860,379582,44
,中興里,631,509947,14436,9816,390696,45608,5875,666,594,37429,144,4052,0,632,316691,435942,72
,興農里,484,383332,10994,2946,308131,22241,1641,310,277,30446,484,5382,325,154,247763,323344,1247
"表166-D(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 南 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,新建里,367,300188,9180,7982,229490,21774,4922,139,226,22297,94,3967,0,118,185496,256194,107
,油車里,1100,909919,31084,13025,709955,42395,6763,648,1306,96250,170,7938,70,316,569790,769684,500
,北勢里,245,175633,7128,1483,138980,6575,3863,2708,208,13333,0,1355,0,0,110003,146657,69
,大埕里,852,668188,12909,11009,489452,40981,11618,1097,536,92567,119,7012,0,890,390524,569260,114
,總榮里,188,143961,1596,619,116005,10753,57,16,121,13019,17,1618,0,140,92266,120222,24
,龍泉里,223,150455,3900,2217,127600,6959,843,49,120,5978,0,2691,0,100,100417,123271,38
,寮󿾴里,460,309378,4235,681,262215,8811,1720,142,192,28035,0,2644,513,189,202884,250776,933
,南勢里,690,643045,8010,6996,446532,38194,5856,3496,347,126543,82,5343,0,1647,364070,560583,80
,安東里,160,123253,2440,226,100615,5848,193,11,87,11417,914,1330,0,172,80775,103412,104
,安業里,169,122644,935,854,104504,6034,1120,931,192,6941,0,1133,0,0,83695,101835,97
,安西里,188,118830,6022,90,102453,4486,92,1022,55,3878,0,717,0,15,80470,96847,100
,謝安里,228,159626,3596,4374,139670,4459,764,330,112,5184,141,994,0,0,110106,130062,3
,中民里,196,152044,15058,3483,116539,6494,657,0,148,8563,0,1075,0,29,91905,127410,186
,安正里,229,141622,2509,317,119206,6463,1691,144,147,9754,0,1213,0,178,90967,113384,6
,磚井里,297,196040,3979,490,170245,8100,872,89,83,10498,0,1437,0,246,133495,159289,121
,小埤里,263,185048,6701,628,151065,6864,4937,62,184,12523,82,1498,0,504,118210,152193,26
,埤頭里,338,228506,6423,878,187373,8971,833,234,165,19790,88,3631,0,121,144674,185807,19
,大山里,158,114852,1985,493,103925,3273,228,0,105,3043,0,1659,0,141,82036,92963,5
,海埔里,257,169890,5026,3529,138797,6597,2100,94,125,11454,0,2053,56,59,109029,140122,271
,莊禮里,91,61673,1267,889,49040,4005,171,114,77,4297,0,1812,0,0,38729,51361,50
,港尾里,311,291444,5539,13880,236241,9909,3721,552,197,14442,291,6142,283,247,196741,251944,1194
,麻口里,270,193536,13328,861,144869,5731,1903,1103,205,22462,0,3068,0,6,109505,158172,20
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,11010,8612637,225525,139643,6706379,493751,87419,19421,7697,805317,3346,113576,1480,9083,5377285,7284583,6724
下營區,仁里里,742,529829,6489,2223,462483,20000,3686,668,420,28330,46,4902,91,490,366141,433488,613
,宅內里,242,156131,2118,700,140930,6279,525,1,84,3965,0,1216,122,191,110433,125512,369
,後街里,411,291335,4179,4846,242979,15389,1203,146,220,19736,40,2257,0,340,191684,240040,103
,新興里,645,480692,16433,5864,395673,25021,4556,430,258,25589,691,6078,29,70,318063,403522,290
,下營里,225,167086,2940,7502,131798,10760,2384,58,274,10073,0,1289,0,8,107287,142575,166
,營前里,565,421038,7241,6025,353984,23822,2641,302,348,20197,172,5893,7,406,285809,352864,516
,大屯里,187,119098,6456,429,97888,2954,418,521,41,9732,0,659,0,0,75481,96692,8
,大埤里,160,108538,2455,541,87073,5986,1174,13,100,10457,0,738,0,0,67705,89170,2
,開化里,496,368016,8658,3178,299743,22271,2074,155,254,27333,48,4045,0,256,237500,305773,19
,茅港里,316,228199,4419,5129,180660,13864,1175,118,116,19965,0,2517,0,235,143423,190962,32
,中營里,283,199079,2853,958,173751,9475,539,129,126,9337,0,1833,0,77,137688,163016,44
,西連里,185,137260,1166,489,120200,5712,417,124,66,7870,0,1215,0,0,94541,111600,0
,賀建里,305,196382,3336,942,168292,9731,647,62,124,8305,1762,3131,39,11,130828,158919,297
,甲中里,223,163050,1112,81,144127,6415,606,78,81,7371,0,2526,0,653,115473,134396,15
,紅厝里,257,196050,4212,1713,168294,10266,578,214,398,5739,104,1306,0,3226,136302,164058,25
"表166-D(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 南 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,5242,3761783,74066,40620,3167873,187944,22624,3021,2911,214001,2864,39607,288,5963,2518359,3112588,2497
六甲區,六甲里,833,643809,12902,17494,513885,35264,7150,249,407,49529,16,6823,72,18,410506,541554,393
,甲東里,730,514850,14216,10921,443206,19171,1428,210,420,18789,167,6165,0,158,349644,421288,125
,甲南里,423,296090,5372,8921,243718,16221,3696,323,179,14534,0,2891,0,236,191788,244446,49
,龍湖里,263,181852,1913,629,157470,7453,1051,970,109,10040,65,2031,16,104,122979,148160,227
,七甲里,254,187629,4340,4320,154541,5694,3583,45,158,12584,549,888,928,0,119709,153711,1518
,二甲里,928,687546,16522,4134,586879,31093,3137,4045,400,33154,164,7857,0,162,464224,564891,154
,水林里,599,427027,9789,5191,360734,20034,1275,29,294,25093,81,4507,0,2,278134,345695,111
,中社里,437,304414,2921,3175,258138,12863,2124,392,318,20016,16,2405,1933,113,201546,247821,3240
,龜港里,315,228057,6307,353,197700,7171,1089,653,144,10220,0,2296,0,2123,156110,186466,14
,菁埔里,128,89556,3657,1859,69799,2989,1235,147,117,8456,2,1293,0,1,54882,74639,20
,王爺里,144,91301,2006,128,77806,4663,664,106,241,4787,0,897,0,3,59616,73126,11
,大丘里,89,59604,5860,690,46454,2590,168,19,52,3280,0,462,0,30,34803,48213,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,5143,3711736,85805,57814,3110331,165205,26598,7187,2839,210482,1060,38515,2949,2950,2443940,3050011,5862
官田區,官田里,561,404996,7619,1671,340388,18435,4231,1101,512,27369,0,3629,0,41,260570,329522,203
,湖山里,234,172170,1746,2782,144941,6639,1430,42,151,13372,34,1033,0,0,115181,142411,4
,隆田里,579,443848,8338,5155,365547,24112,7204,507,327,26225,35,4110,0,2287,288780,368588,105
,二鎮里,983,707003,15768,5007,578640,20104,4684,233,501,71741,2,8149,0,2174,444798,574932,177
,東庄里,331,236538,3388,1429,206866,8860,569,54,381,12838,86,1888,0,179,161987,192549,10
,西庄里,166,108254,445,152,99153,4314,446,0,44,2723,0,818,0,158,78094,87195,13
,拔林里,122,82539,6615,220,66698,4593,256,115,38,3015,79,910,0,0,51829,67670,57
,渡頭里,575,429838,9930,7060,327050,15129,2534,2283,175,59303,3,6303,0,68,253992,357183,343
,社子里,201,124381,2311,2389,108244,3400,216,65,48,6709,0,982,0,16,75122,98603,9
,大崎里,72,48678,941,637,41051,2593,669,0,246,1481,0,1059,0,0,32985,40612,72
,嘉南里,74,59214,390,165,41431,2439,404,65,42,14054,0,225,0,0,33166,50949,41
,隆本里,911,658658,14361,4372,553955,28498,5186,827,425,42199,14,8040,0,783,436614,542550,286
,南󿾴里,300,183051,8705,1739,150806,5847,4109,210,130,9551,0,1645,0,310,114683,146928,55
,其　他,1,231,0,1,218,0,0,0,3,0,0,10,0,0,110,123,0
,合　計,5110,3659398,80558,32780,3024988,144962,31939,5501,3024,290579,253,38799,0,6015,2347910,2999814,1375
大內區,石湖里,231,142607,2963,960,122668,6062,2681,335,164,5469,0,1306,0,0,93918,113857,207
,石林里,135,82356,3454,60,70585,2963,406,0,68,4093,0,727,0,0,54071,65842,2
,石城里,397,255455,9434,1333,224605,8133,1437,56,249,7966,56,1896,0,291,171545,203166,119
,內江里,232,154436,2202,2700,129040,7858,1180,219,168,9272,0,1254,327,215,101531,126927,772
,大內里,197,135801,5036,3577,108906,6918,647,15,119,9870,0,698,9,6,84687,112485,198
,內郭里,134,83740,1627,790,68736,2899,864,328,31,7778,0,667,0,20,52227,67231,0
,頭社里,183,103571,507,1548,90860,2997,563,226,165,5971,0,731,0,4,59745,80337,1
,二溪里,169,118581,3380,1790,92696,5133,1382,542,56,12684,0,849,0,69,71627,97512,20
"表166-D(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 南 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,曲溪里,116,68747,1230,2,62793,1633,147,0,33,2577,89,239,0,6,46587,52988,0
,環湖里,101,63822,454,193,49898,2971,1025,571,40,7603,0,1068,0,0,38503,52427,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,1895,1209116,30287,12953,1020788,47566,10331,2291,1092,73284,145,9434,336,611,774443,972771,1320
佳里區,鎮山里,1680,1184096,18751,23633,982836,47690,7921,1644,1033,88795,1405,9095,0,1292,776937,978197,602
,東寧里,543,415401,7536,14019,277757,29926,10614,560,366,68842,5,4604,0,1172,223035,360424,387
,六安里,1334,1165994,58691,14526,900703,64558,9382,4452,927,103878,47,7638,3,1188,739939,1005229,529
,安西里,3716,2945203,57708,52531,2374606,161120,39595,3353,3013,216736,896,32611,189,2844,1929173,2500036,2245
,建南里,2540,2006743,50108,56777,1588244,95899,22591,1759,2861,156744,154,25598,253,5755,1280669,1699161,1791
,佳化里,601,415807,11433,2488,350215,14465,675,6550,409,23552,11,5908,0,102,273954,339547,81
,禮化里,256,218957,1531,2251,150766,9461,530,30,100,52707,0,1581,0,2,120714,188906,41
,興化里,309,215671,6335,1685,176103,14255,1078,143,175,14354,0,1542,0,1,139401,178969,30
,營頂里,149,119551,1320,2413,90779,6608,290,52,48,16971,685,384,0,1,73893,102665,41
,溪洲里,76,49265,409,394,42194,1520,275,100,167,3159,0,1047,0,0,33127,40197,0
,頂󿾴里,223,141528,2191,737,123881,4756,237,3446,238,4889,0,879,273,0,96661,114308,756
,海澄里,363,234709,4543,2027,202427,6887,2185,145,252,13374,0,2872,0,-3,159915,192197,71
