"表166-N(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：彰 化 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,茄南里,930,696353,44919,16842,469740,21348,14253,800,453,123207,21,4036,44,689,359046,585632,460
,和調里,936,735694,24864,6952,515423,43536,14737,923,729,117712,98,8899,0,1822,407151,627422,402
,大竹里,1053,781656,26094,15617,595715,27388,12897,756,824,91856,160,8719,0,1630,463754,649695,335
,竹中里,546,373442,11900,6124,296940,16781,4021,390,354,31523,922,3967,0,519,231949,308451,174
,安溪里,595,433807,16212,2191,344005,13287,2716,264,621,49041,1491,3375,0,605,267378,357180,37
,香山里,1092,807777,28963,6244,626288,31558,9889,909,557,92798,593,8248,285,1445,490698,672184,756
,牛埔里,893,589412,17776,7917,450037,22526,9428,839,446,73432,0,5214,388,1410,340669,480043,947
,三村里,310,210600,14162,1087,138921,9304,4554,308,172,41431,0,465,0,197,101883,173562,142
,國聖里,849,622153,36828,6835,381579,27094,16563,277,321,148573,11,3618,56,399,284364,525249,600
,福山里,2219,1472651,51339,21271,1125324,58006,23921,2240,1430,172559,0,14547,0,2013,853076,1200403,437
,中庄里,858,612692,19328,4159,489737,24418,3943,517,383,63481,20,3993,0,2713,382816,505770,149
,快官里,357,373811,10511,4747,200962,13326,3559,642,251,136987,38,1966,109,712,156136,331613,423
,竹巷里,230,153803,9433,722,122505,5529,672,0,34,12287,0,2321,0,301,92746,124044,37
,福田里,366,222900,7623,2337,178451,10448,1238,135,201,20519,0,1766,0,182,133332,177781,22
,石牌里,316,267212,8657,4446,162696,10182,1682,57,91,76370,0,2970,0,60,123439,227954,1
,田中里,251,177871,10800,149,129397,5712,3719,76,64,26818,0,785,0,350,95178,143833,9
,建寶里,830,724908,14257,25385,532026,69799,8703,1664,315,62254,78,8815,53,1559,437471,630358,899
,復興里,1518,1269718,72665,16750,938110,58504,13347,1824,826,155782,721,7113,489,3587,757785,1089379,2122
,臺鳳里,1453,917559,30831,14200,757099,24954,5242,1272,586,76757,5,5688,0,924,572813,733273,249
,向陽里,1716,1692842,48401,34045,1148645,71636,23120,5314,1436,338599,1279,15687,531,4148,927458,1471407,2576
,崙平里,1847,1639291,134955,23576,1111851,83376,26178,2633,1830,234091,528,14626,0,5647,892530,1419970,343
,其　他,4,2524,0,0,2380,139,0,0,0,1,0,5,0,0,1884,2029,0
,合　計,64910,59488641,1959331,1258992,38161454,2882490,1001562,93973,47353,13401682,27421,477173,8483,168728,30406981,51744876,53592
