"表166-F(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：新 北 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,自信里,738,605822,7562,10099,501475,23302,18341,1634,581,37560,84,4485,0,701,408122,512469,351
,全泰里,1773,1630519,9146,24435,1266064,73600,34359,3304,1623,201831,292,13984,637,1244,1048601,1412968,2845
,立泰里,1599,1278790,18187,19438,1013229,47263,19707,2766,1873,136944,0,16588,0,2795,815431,1081439,853
,立基里,2068,2052169,20971,23640,1487752,89159,46275,4562,2117,353033,502,19586,192,4378,1226101,1790516,2534
,中宏里,1151,952064,14666,13764,766594,32025,12825,3704,872,97950,0,7565,98,2002,613529,799494,503
,中全里,1054,731714,10690,9057,587732,21838,5611,2487,870,87629,735,4684,90,291,456512,600468,628
,中華里,845,799012,9303,8793,609190,28300,28699,3971,871,93570,2315,9201,149,4649,502667,692478,974
,中隆里,1362,1309688,16359,22612,971886,49529,19927,14465,2084,180897,1438,27189,1351,1951,791690,1129492,2872
,中原里,2936,2663530,51267,49027,2063514,89974,54360,12570,3327,311681,309,25711,267,1524,1669914,2269879,1950
,中信里,2630,2233695,25021,26522,1851107,74618,24893,4758,3562,173952,19622,25314,676,3649,1500849,1883339,2251
,仁義里,1063,678631,8993,6801,579618,20818,8790,1522,1240,44125,0,4314,125,2284,447291,546304,963
,建福里,877,558799,6669,10587,475022,18636,5145,4513,756,32274,0,3712,82,1402,368830,452606,379
,四維里,1266,839119,12088,14156,686841,24926,24647,3335,1576,61361,430,9073,0,686,528912,681190,545
,文聖里,1265,1107296,10319,19942,823320,57247,60194,5608,858,109514,103,16489,0,3702,674384,958360,710
,福營里,861,660385,13528,4462,417059,39637,43748,2705,1117,131313,16,3784,179,2838,323201,566527,1028
,後德里,1055,974398,8177,13771,726375,39488,23133,2078,851,147800,1414,9544,244,1522,592040,839854,814
,建安里,2064,1616774,26403,20338,1350041,57732,18186,3290,1922,123720,35,12275,269,2564,1079410,1346143,2336
,龍安里,697,465824,5664,2857,390897,16211,7506,2581,505,36899,0,2341,79,285,302090,376955,592
,昌平里,1618,1696855,23792,44811,1272988,59476,32901,20955,2171,197305,5537,14446,575,21898,1062836,1486700,2442
,昌明里,1105,907503,10954,17180,742539,32084,6164,1660,1199,85721,232,8851,261,658,600713,765666,1263
,成德里,1448,996928,9379,7014,816249,31282,9337,2158,1136,108949,279,9575,56,1514,630627,811307,594
,福興里,1770,1499998,32006,10845,1067084,56461,49277,4449,1254,254847,0,6875,322,16579,835163,1268077,972
,昌信里,1124,1084116,10851,10880,870758,38228,18198,4167,944,111602,732,11579,0,6177,716501,929860,676
,昌隆里,1406,1294900,17915,15618,1036508,52062,18043,2642,1350,131232,535,13438,26,5530,848066,1106458,736
,中平里,2666,2773595,29380,42350,2191472,86571,42915,11750,2289,316734,2036,44908,565,2625,1822672,2406506,2731
,立廷里,3558,4062477,34658,69322,3206032,125004,43504,30577,3785,488018,619,50382,1185,9392,2711839,3568030,5039
,泰豐里,689,537853,3595,5212,462135,18435,4467,765,435,38513,146,3794,45,309,369929,445647,834
,富民里,1085,759875,19986,8182,614084,22919,10471,2096,861,72886,70,6486,40,1794,473349,618986,376
"表166-F(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：新 北 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,龍福里,655,499966,5582,9650,420279,13793,3333,701,413,38911,72,6065,0,1165,333346,413033,355
,祥鳳里,677,507247,6792,4135,427643,15004,4251,1331,455,40826,109,6461,0,239,337534,417138,221
,民全里,1138,898556,13352,16302,700883,27647,12932,2638,911,105370,454,14779,20,3268,547918,745592,541
,民有里,1178,850224,12884,11163,719340,22523,7270,2297,1496,64225,85,6737,0,2203,562992,693875,371
,光正里,1258,977291,13877,11593,781123,33550,13135,4615,1365,101551,301,15384,0,798,616433,812601,94
,光和里,770,469058,6611,5190,398428,16364,4161,626,642,29347,30,6353,9,1296,298595,369222,414
,其　他,4,1362,9,0,635,250,466,0,0,2,0,0,0,0,419,1146,0
,合　計,117723,97788791,1409842,1352900,75457989,3746557,2166170,433872,126434,11652740,72671,1045509,17118,306990,60495366,82828914,99321
林口區,東林里,1292,963927,17861,10596,697564,33625,38399,3072,1039,149377,1050,5899,491,4955,529978,802747,967
,林口里,1549,1219244,18800,15790,960586,49041,28856,6181,1165,120904,80,12666,0,5176,760038,1023223,601
,西林里,2699,3161996,54288,56430,2255964,111903,68558,28150,2817,513693,1839,47763,829,19760,1894183,2807218,4880
,湖北里,420,349318,9122,2405,264942,14102,19160,1523,270,33333,0,4373,84,3,200609,294903,678
,菁湖里,1449,1611029,14223,30476,1099124,69465,59017,8833,1913,297556,737,18482,4,11198,912981,1429088,1386
