"表166-F(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：新 北 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,慈生里,593,385375,7709,6926,314934,17567,7136,1001,284,25020,0,1983,0,2815,246591,317033,318
,碧華里,2313,2746991,38543,29402,2103356,91653,40644,21973,3122,361617,3481,38184,415,14600,1806797,2449739,2862
"表166-F(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：新 北 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,永德里,1336,937245,14419,13219,780636,37795,12439,1690,917,64373,20,9146,105,2486,615525,772134,1273
,永福里,1500,1059823,45945,13852,819612,35061,21856,2778,1019,106638,617,8785,1042,2619,633912,874123,3021
,福星里,274,214896,3904,2982,175993,9133,4781,2229,209,13871,0,1409,193,191,142802,181512,889
,錦安里,515,367033,3152,8743,289413,15946,6854,392,455,31576,6344,3279,0,879,231176,308797,167
,光輝里,437,355065,4118,5130,269853,14539,11880,369,257,44623,104,2845,112,1236,218340,303440,549
,同慶里,506,427276,4667,8596,354078,19852,7282,1338,519,25560,29,4182,20,1153,290811,364009,513
,永春里,577,445637,11381,5791,361536,16862,7958,1795,1433,35345,0,3213,0,323,288199,372299,116
,中民里,358,226325,3503,2962,194943,10103,1503,697,115,9578,0,2356,0,565,152993,184376,188
,長福里,449,315576,4599,3678,269224,10864,3736,389,345,19766,123,2305,0,546,215909,262137,55
,奕壽里,531,396740,4443,8265,318147,13875,6816,1058,783,34473,1398,4362,0,3120,256228,334804,573
,萬壽里,581,468886,2272,3599,394917,19201,5133,713,544,35812,91,4752,482,1370,321949,395901,1234
,中央里,431,305468,3634,3057,241222,14647,12493,1368,349,22092,0,5838,0,769,192209,256455,72
,雙園里,288,447822,2274,4983,168653,9589,17062,990,185,243080,0,715,0,290,136808,416029,169
,正安里,583,441290,9334,7097,326984,25617,22647,2025,563,38096,151,4069,0,4706,260533,375371,107
,吉利里,427,279928,1838,5103,227057,10008,4835,498,261,27204,0,1719,55,1350,178229,231105,634
,忠孝里,469,348657,4762,2910,253672,15793,12416,375,480,53386,0,4331,0,533,198870,294168,453
,秀江里,352,276841,2884,2200,213872,13926,2851,448,145,38818,0,1467,0,231,172756,235725,89
,龍濱里,885,671703,12700,12880,540472,23732,8915,1123,1110,64142,21,5430,190,987,433462,564423,979
,平和里,398,245354,2332,3285,211862,10110,3567,1097,347,10122,0,1562,0,1071,165399,198891,54
,正德里,293,211825,3340,4341,162285,11639,8092,1393,302,17421,606,2194,0,213,129144,178684,422
,五福里,1109,1011419,10636,12945,816749,33400,16068,3268,1332,99027,574,14704,294,2423,675925,870587,981
,富華里,951,769994,20063,8796,628675,23807,7601,2089,600,65532,0,11534,98,1200,508323,649651,1171
,田安里,1861,1505937,27201,20274,1199617,64186,24378,5814,2490,141208,507,16742,193,3327,962961,1269619,1165
,慈惠里,600,382754,4915,4997,332795,11753,2962,959,507,19314,0,3905,0,647,260104,310064,136
,慈福里,580,371435,22438,5703,296802,11462,8515,410,276,21086,0,2895,115,1733,229320,303945,1010
,永盛里,877,605901,7922,5450,483925,23338,23254,1742,750,50177,0,6804,0,2538,379539,501514,651
,福民里,1000,815607,14226,8030,578195,38338,21096,2650,1444,143436,133,6133,561,1365,460027,697434,1998
,田中里,1926,1669351,23489,24817,1189365,66337,25615,8429,1536,315335,21,12244,120,2042,953890,1433876,1288
,永清里,1550,1112660,23245,20181,916164,36690,17287,3166,1198,84404,1260,6183,0,2882,723477,919972,319
,維德里,818,581979,7808,6888,464539,24379,15377,904,407,55146,0,4992,620,918,366804,484244,1574
,五華里,1527,1477450,22490,25600,1181148,49976,20187,10349,2151,143231,479,14844,581,6415,985071,1281226,2243
,永煇里,669,408374,9635,4465,339573,12435,3958,597,468,34333,23,2534,0,353,261258,330059,138
,三民里,959,772661,15825,13860,609415,36158,14804,2532,1085,66374,13,7264,387,4943,492295,655364,1371
,錦田里,645,2231996,9610,3965,377931,36974,19739,736,310,1771084,5752,4671,35,1190,304664,2158729,304
,慈祐里,1339,1031918,18860,14584,812466,40293,19617,2260,1136,104488,12,13187,0,5016,650577,870029,656
,六福里,1614,1141108,26558,17333,928595,40430,17632,2948,1586,93547,0,9215,605,2659,728957,941365,1991
,光陽里,2071,1889009,24989,29251,1426015,75962,31083,5296,2044,272743,305,13095,974,7251,1168892,1631719,3026
,福田里,1129,934432,17008,10295,672994,36613,15752,1241,1619,170217,1290,6837,0,566,537403,798841,434
,富福里,577,377079,6321,4624,323230,11855,5318,782,814,17258,1074,4169,55,1579,255842,309691,599
"表166-F(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：新 北 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,仁忠里,791,485999,10356,7565,417162,15100,4904,192,444,27238,3,2576,166,294,322473,391310,664
,富貴里,1992,2534509,28244,36228,1747126,86537,41850,11002,2599,542058,3492,26438,1641,7294,1496021,2283277,5424
,慈愛里,943,584157,8259,7474,500437,18874,8138,1181,760,33277,0,3367,1476,915,387818,471309,2748
,福德里,1191,1064240,12043,11010,722128,43405,31330,4464,2246,224957,19,7829,0,4810,579809,921921,520
,永豐里,1529,1095087,26922,9236,924421,34008,10015,2121,2030,62012,10100,13160,194,868,729125,899700,1204
,博愛里,1394,985202,15208,13136,814372,38226,10312,3183,1522,75732,15,9237,765,3496,639381,810202,1626
,永吉里,885,657230,9364,14885,538564,19981,10914,1522,828,50370,2612,6522,772,896,429919,548522,1864
,永順里,1344,885434,14587,7388,753507,27681,7294,1617,1170,58663,0,10933,491,2103,583713,715640,1407
,永發里,1974,1654286,37654,16285,1246956,73263,41717,5959,2043,210160,1619,16990,348,1291,1001367,1409266,1911
,立德里,977,771933,15610,9351,598483,39929,24098,2146,933,74381,17,5100,0,1886,480771,654221,378
,福樂里,1024,784170,11868,11761,560792,38239,21296,9884,862,115621,0,6303,8,7538,436816,660194,435
,仁華里,1267,981747,22097,11782,771977,39649,21081,2652,792,102250,86,7828,0,1552,614476,824246,626
,五順里,982,668845,7946,10250,569095,19033,6353,2186,554,47125,96,5252,36,919,445750,545500,437
,其　他,82,40072,919,580,31537,1164,2406,138,2,3123,0,203,0,0,24024,32559,0
,合　計,106260,88669601,1418654,1174968,66274378,3463292,1870805,309051,98924,12837122,70599,807502,25462,318845,53353045,75749166,111692
泰山區,黎明里,1023,781314,10703,4741,660597,24247,12523,1582,717,55403,477,9195,119,1010,525520,646650,1239
,大科里,249,185010,5205,4395,151963,4467,4500,245,171,12603,0,1400,0,61,121435,154483,37
,山腳里,2025,1500441,27752,20349,1208238,50834,30911,4671,1068,140433,22,11776,588,3799,946386,1239045,1519
,楓樹里,1263,1094962,19328,10647,790887,42006,47917,6576,936,163433,38,9862,422,2909,631641,935715,1786
,同榮里,1283,1054061,9041,12797,818621,38816,24028,2957,2199,129082,965,10481,0,5074,654111,889551,668
,義學里,1330,989227,16937,8538,831189,30588,19792,2058,1015,67982,0,8298,532,2297,653518,811430,1930
,明志里,1177,937598,13484,7225,747957,39994,16614,1629,925,99976,459,8177,0,1159,601554,791503,394
,貴子里,1204,1029787,13604,6531,825814,35790,23916,2484,815,107568,928,9034,333,2973,670282,874256,1270
,貴和里,1626,1276963,22109,13282,960367,55328,33290,11518,1119,164172,235,11113,0,4431,757025,1073620,566
,福泰里,827,550688,8862,11313,413731,23167,29285,2403,612,55484,0,3479,0,2353,318572,455529,70
,同興里,1165,1100160,15968,16216,844167,46031,21145,3462,2736,130490,218,15840,214,3673,690600,946576,1303
,義仁里,2441,2159407,31979,35718,1748133,70235,58934,15891,2415,166730,185,23903,139,5145,1417340,1828503,1498
,泰友里,638,456585,6686,2121,381835,17840,8191,1369,1200,30006,292,5260,649,1137,301467,376113,1552
,新明里,1009,704460,9511,3918,605218,25671,6249,1816,795,41307,6,5493,0,4475,475117,574358,483
,貴賢里,1252,1130714,6909,9510,894276,47347,21400,3577,1100,130137,284,12641,565,2968,734600,970897,2792
,福興里,1154,1016038,10645,6804,826996,48445,21809,2655,1255,84706,140,10963,0,1620,673436,862478,497
,全興里,2847,3031049,39711,49132,2494977,80397,35635,9333,3665,248193,1836,49887,626,17657,2084907,2620960,4646
,其　他,1,454,0,0,0,0,0,257,0,196,0,0,0,0,0,454,0
,合　計,22514,18998919,268436,223237,15204966,681201,416139,74481,22743,1827902,6083,206801,4189,62741,12257511,16052121,22248
新店區,張北里,2657,3116064,23755,55982,2396280,146124,56460,30850,6410,325839,12251,45566,2169,14378,2073825,2793166,8361
,張南里,758,912369,6974,12668,634762,44518,20851,5591,903,171033,325,10843,1042,2859,546110,823556,3116
,廣明里,267,200037,7433,2640,146789,12171,8628,2472,125,15532,0,2603,0,1646,118101,171350,53
,江陵里,2073,3173939,19152,111819,2032665,164082,76558,37667,3281,640373,13387,63203,3228,8525,1781451,2902446,11348
,百忍里,1339,1218806,7902,24727,936264,84161,24169,3956,923,114275,2957,14490,491,4491,780533,1063074,2745
"表166-F(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：新 北 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,青潭里,1777,1472473,14744,17143,1246122,60080,14421,5849,1379,91339,2229,17802,417,951,1018626,1244978,3277
,員潭里,1379,1131528,5588,12881,975773,44790,11034,3581,1120,57994,4,13680,1300,3783,799497,953373,3273
,雙坑里,154,86131,877,1858,68770,2566,4549,109,45,6564,0,793,0,0,51232,68593,159
,粗坑里,959,1272859,10786,16998,723686,56405,23502,4070,572,403842,6034,18023,5056,3885,618196,1166875,15036
,屈尺里,627,459274,7361,4662,355110,26907,16283,3092,3083,39432,159,2448,0,737,281373,385537,616
,廣興里,292,204194,5465,2552,151166,9574,13849,378,157,18729,0,1907,0,417,119482,172509,501
,龜山里,419,391950,3113,4125,242209,13857,9306,1698,252,112779,35,3023,156,1398,195968,345583,498
,直潭里,322,387817,3562,10180,198285,15710,13143,2087,213,142298,60,1641,21,618,161012,350544,521
,塗潭里,198,119016,2223,1591,87157,5962,6099,588,37,14168,0,622,0,569,65724,97583,17
,公崙里,3482,3345767,26879,52988,2660112,139717,68599,12387,3264,329387,5265,42872,1108,3189,2208877,2894321,7257
,柴埕里,2728,2463772,26858,35121,2054636,102605,31909,8347,2739,162932,550,26429,665,10980,1700505,2109676,3584
,雙城里,1508,1042076,13108,10279,887835,39755,14370,2264,1109,63375,12,7025,980,1965,703527,857771,3206
,頂城里,371,275039,1271,5048,198977,7399,6657,1813,400,26963,0,26406,0,105,154620,230681,83
,下城里,980,2919436,17871,123779,1311958,64869,51555,20810,2952,821371,5957,469479,2877,25958,1191539,2799241,7370
,文中里,603,631880,2738,6050,512657,35140,11746,2246,423,35026,6142,12417,537,6757,442289,561374,2376
,國校里,805,786611,7189,9304,613704,34481,6469,3718,1105,98811,552,8620,42,2614,511883,684814,883
,新生里,2039,2178790,13089,39678,1696264,136993,44924,12268,2533,207852,2736,15021,1473,5959,1459626,1941996,7657
,中興里,1963,1992993,8862,33837,1549298,127370,39825,10196,1378,164496,8595,45497,615,3025,1321174,1764798,4784
,新安里,1546,1573853,9412,27877,1251096,87395,33154,10918,1372,127315,1747,19575,393,3599,1072901,1395654,3381
,文明里,733,666284,7681,14175,482173,35696,17646,867,725,98714,846,5054,1057,1650,397612,581723,2934
,寶興里,1930,2679104,23090,84427,1867179,135227,63747,24756,2767,412287,19234,35966,847,9576,1631245,2442756,5494
,寶安里,2020,2100342,9939,32991,1605610,131891,45102,15234,1837,224412,1763,25459,1785,4318,1371536,1866238,7098
,信義里,2280,2689270,8852,43450,1947169,130880,29176,13636,5021,419696,1969,66051,6004,17367,1669453,2411455,14203
,忠孝里,900,767505,4012,6572,625647,45241,8974,5136,658,55422,635,14055,58,1096,517747,659603,1111
,大鵬里,937,1015190,4579,15315,778877,91439,7915,3140,1440,91206,7123,12783,303,1069,667892,904209,3269
,大豐里,1270,1240303,9385,16009,936004,77013,25741,2821,1300,122578,572,8865,187,39828,782183,1087174,2652
,明德里,1405,1510532,6436,31297,1131866,88416,50541,7770,1585,153067,2967,28616,532,7440,966817,1345252,3012
,中山里,1747,2913734,23330,66561,2115635,126193,63569,22415,4604,367718,50893,46845,2679,23293,1898027,2695833,11518
,和平里,177,116475,2604,1907,95556,4094,1917,103,97,7862,0,692,187,1454,74600,95518,661
,仁愛里,716,678454,5227,10185,491262,57567,32313,3461,691,64308,0,11988,59,1392,415232,602428,1273
,中正里,2091,2084562,16942,37941,1567176,146695,58473,7481,1836,217235,5715,18496,419,6154,1324075,1841562,4024
,美潭里,1670,1478139,12052,18063,1194376,75219,19366,3926,1692,123621,2842,23655,594,2732,986895,1270898,3303
,德安里,1787,1361197,12923,13158,1124998,51770,33593,6383,1316,90745,795,21449,225,3843,899010,1135193,1614
,太平里,998,980935,6455,17689,732224,40896,11669,2496,1261,154863,1324,8497,407,3153,609716,858431,2171
,中央里,2184,3913163,18310,28773,2184270,193891,116191,22639,1999,1258392,9769,47962,1141,29825,1932496,3660883,8288
,百和里,1141,1107246,12204,20228,838890,74515,26168,4673,1060,77675,1800,21757,156,28121,707442,975829,1562
,福德里,1261,1139298,8335,12496,876756,69466,22494,3439,1408,98985,1509,17588,606,26216,723281,985755,3702
,福民里,1424,1550812,15463,21732,1146675,97896,25086,5330,1317,152170,24885,20352,123,39781,982417,1386274,2433
,百福里,1192,1204307,8888,17815,943597,71131,17875,8999,1200,108801,1480,18820,926,4774,806665,1067336,3624
"表166-F(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：新 北 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,國豐里,1161,1086531,6173,27113,854855,69135,17756,1651,746,83697,5367,16375,476,3185,718706,950227,1874
,新德里,866,737954,6679,21009,578169,44635,22619,4517,911,46892,1586,8101,491,2345,477938,637552,3108
,五峰里,2630,2910253,32879,32253,2092910,156071,62143,16624,2765,443225,3247,53472,1876,12789,1782503,2599463,8711
,中華里,1432,1551461,12778,31185,1158962,100180,30870,19641,1890,156575,7270,20801,1333,9976,992886,1385049,6151
,忠誠里,899,881087,2614,13249,674990,57940,45042,1266,886,64116,1229,16875,324,2556,570141,776175,2147
,永安里,1523,1130181,15329,12753,940629,41782,7745,4139,1168,93897,483,10555,1003,699,747823,937374,2362
,新店里,558,458976,5922,6097,361511,25818,13057,2180,382,35661,510,5888,0,1950,300186,397605,792
,大同里,1426,1663723,9306,24021,1157420,85467,60649,5557,1270,224630,1687,88529,588,4598,984541,1490775,3536
,玫瑰里,1807,1303106,11227,19673,1114926,55997,9441,6348,1183,72133,13,10589,1199,378,893792,1082021,4009
,日興里,1552,1074224,14391,12132,910164,37581,18553,3765,1106,61824,621,10435,577,3075,715556,879562,1775
,寶福里,2495,3168129,17848,27131,2243612,122240,66007,11321,2516,614372,5725,47570,1941,7845,1928769,2853886,8109
,安和里,2143,1930365,14355,25583,1619787,65876,23645,8185,2762,138390,5706,23079,728,2270,1340247,1651158,3775
,明城里,1196,1332156,9089,33201,1021291,59141,20643,6337,1180,144703,6532,22368,2610,5061,871491,1182554,7984
,吉祥里,1456,1353938,11989,26191,1038225,64929,15011,3547,1577,173667,745,12394,2259,3403,860820,1176532,7251
,小城里,1226,1241958,9660,20261,966939,68446,20600,6564,1495,125282,4371,14229,1407,2704,819789,1094570,6378
,香坡里,3218,3306234,32417,74426,2687350,106610,38330,16237,3421,278411,12525,41703,1184,13621,2271705,2890309,8936
,建國里,1048,1014117,8078,8620,781285,66226,24228,3281,839,99127,3208,15665,1097,2462,659761,892542,3563
,復興里,1095,944218,13312,11772,726695,46011,36635,2260,1156,89063,1223,10753,217,5121,594934,811864,1877
,美城里,814,722488,12031,10207,487451,31888,7723,2293,618,157854,199,8775,1114,2336,388126,622926,3198
,安昌里,1626,1504656,8702,18230,1248683,53673,35932,6057,1871,109072,82,20044,808,1503,1036415,1292270,3546
,長春里,951,1521557,3787,36243,1171498,71984,17928,5721,1520,171890,2999,32582,1606,3800,1052349,1402281,6395
,新和里,1334,1055198,9673,13034,908070,41458,6117,2650,1101,60054,172,8054,477,4339,738659,885660,2323
,永平里,1654,1441606,15702,19359,1218651,55987,12342,2816,1456,93553,1872,15930,44,3894,997174,1220085,1173
,達觀里,1299,1265122,11355,23060,1040480,48803,9952,6413,870,95016,9553,14971,3011,1639,883309,1107239,8741
,華城里,963,4782807,15324,91373,1259276,100623,103041,35168,832,3077119,14351,53467,3079,29153,1145824,4668685,9795
,其　他,18,13208,9,2,8405,272,300,0,5,889,0,72,0,3254,6892,11694,0
,合　計,93499,101948782,773549,1772749,73889751,4886540,2011923,536197,105115,15202597,296392,1908210,70314,495445,62522748,90553906,291559
石碇區,石碇里,121,72716,1062,66,63389,2739,1622,0,70,1744,51,1901,0,73,48977,58305,44
,潭邊里,187,190111,1508,2181,108138,4374,973,663,179,64188,0,7359,56,491,85930,167903,484
,烏塗里,165,198839,3377,5033,100596,5644,1381,378,25,19201,0,62871,0,335,81194,177985,25
,豐林里,75,54829,11076,666,35494,1774,3208,61,43,2323,0,89,0,96,26906,46241,72
,隆盛里,183,116737,1060,2208,90630,5273,5386,1788,84,9307,0,945,0,55,69966,96061,18
,中民里,178,110806,2797,1556,95432,2794,1855,57,370,5105,0,841,0,0,72461,88187,45
,永定里,121,73074,936,951,63715,1884,934,91,22,3898,0,348,0,295,48518,57877,5
,光明里,38,25201,223,351,22946,396,167,0,2,1069,0,47,0,0,18662,20917,0
,彭山里,70,44181,650,292,29846,2226,4920,23,11,5608,0,604,0,0,21770,36104,14
,豐田里,88,58303,225,1086,43821,4613,2975,0,21,5424,0,137,0,0,34220,48702,20
,格頭里,216,156331,4061,762,126955,7240,1869,482,247,13752,0,788,0,175,100994,130355,152
,永安里,154,89206,665,1843,72991,2554,3148,367,68,6615,0,702,0,253,54221,70437,0
"表166-F(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：新 北 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,碧山里,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,1596,1190333,27639,16994,853952,41511,28439,3909,1141,138234,51,76633,56,1773,663821,999073,879
深坑區,深坑里,932,790331,7568,8636,649184,33953,12759,1193,815,68410,646,4157,0,3009,528932,670079,1214
,萬順里,713,563627,11719,4740,471898,21446,11301,1093,733,35140,40,5093,35,390,378943,470654,677
,阿柔里,157,120635,1456,1010,95499,5011,9799,1454,91,5849,0,465,0,0,76178,101313,137
,昇高里,573,458714,3263,11303,370886,16974,11924,1108,406,34695,409,7185,42,518,300675,387449,1013
,土庫里,887,730539,10194,13940,588353,21579,8340,1297,1065,42431,65,40329,76,2869,472409,614595,1793
,埔新里,1849,1607821,14711,18415,1339677,58035,22081,4060,1616,124223,1941,18915,328,3820,1098098,1366200,1577
,萬福里,814,745352,9213,17537,557516,18864,11388,3020,626,116017,0,8888,0,2283,456848,644683,943
,賴仲里,689,644800,6208,12215,525760,24972,13701,1495,1505,50218,290,4772,887,2777,437610,556520,3025
,其　他,1,411,0,0,411,0,0,0,0,0,0,0,0,0,303,303,0
,合　計,6615,5662229,64332,87797,4599185,200833,101292,14720,6857,476984,3390,89804,1368,15668,3749996,4811797,10378
坪林區,坪林里,313,226378,4764,3278,179208,10011,10191,949,864,15626,15,986,408,77,143085,190255,1006
,水德里,124,81850,2645,406,61445,2946,3093,1044,160,9549,0,546,0,16,46390,66795,2
,大林里,236,175108,3578,855,134300,8844,9048,673,135,16069,0,944,650,11,105270,146078,1278
,上德里,157,107623,1269,346,83987,3984,3956,150,225,13092,0,614,0,0,64123,87758,117
,漁光里,157,111055,6167,549,79756,5632,5087,570,63,12321,0,888,0,23,61031,92330,139
,石𥕢里,90,68064,861,971,53868,3062,540,51,42,8283,0,386,0,0,42188,56383,0
,粗窟里,200,172736,3199,2142,107984,6000,6161,307,87,44035,0,2328,0,492,84745,149497,2
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,1277,942813,22482,8547,700549,40479,38076,3745,1574,118975,15,6693,1059,618,546832,789096,2544
烏來區,烏來里,567,502051,5454,1781,369464,21663,24996,1218,768,73353,125,2398,0,831,297182,429769,212
,忠治里,363,261834,4136,2720,220101,7816,5885,1428,387,14549,32,1781,0,2998,173202,214936,323
,孝義里,54,39441,1051,829,33119,579,700,77,8,2891,0,188,0,0,26460,32782,0
,信賢里,97,64790,2699,1152,53539,2360,2182,126,113,2353,3,263,0,1,41844,53095,172
,福山里,89,59480,1872,837,50641,1628,2703,13,81,777,98,212,0,617,38083,46922,1
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,1170,927596,15213,7318,726865,34046,36466,2863,1357,93923,257,4842,0,4447,576771,777502,709
板橋區,留侯里,446,415769,3924,8299,320171,24364,4603,3860,278,40504,38,6384,33,3311,269169,363376,333
,流芳里,465,449248,7936,8463,301266,23206,33284,3615,329,65613,0,3731,33,1772,251623,399605,893
,赤松里,240,294156,1465,12316,144209,19255,16436,220,375,95831,150,3296,13,589,120643,270581,493
,黃石里,323,254345,3867,8519,177738,19194,5472,820,267,31069,0,5167,0,2233,144203,220810,181
,挹秀里,595,682637,1836,25474,445475,44797,41845,1442,438,102065,0,12122,155,6989,380556,617718,821
,社後里,1761,1308189,18620,23820,1059992,58238,27552,3451,1387,88505,45,24038,131,2412,854522,1102719,971
,新埔里,669,687270,6975,13684,439204,28514,29482,5868,596,149967,262,8885,0,3832,361967,610033,376
,江翠里,1403,1338394,13323,25672,935559,55765,43826,12075,1507,208811,18644,17893,797,4521,770092,1172569,2835
,松翠里,1033,879619,11596,18438,662943,40507,40155,3411,1072,91494,1126,7157,478,1240,541277,757953,2259
,嵐翠里,645,478232,5198,7021,375467,19361,19530,986,534,44445,0,4257,0,1434,296207,398973,589
"表166-F(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：新 北 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,深丘里,2922,4382802,51278,101820,2603627,193407,148518,54533,4684,1115699,8725,55469,529,44513,2242682,4018842,4526
,埔墘里,1994,1846409,24010,26779,1426923,63134,37952,10381,1738,229678,88,23509,591,1627,1180122,1599234,3112
,港嘴里,1845,1520483,23717,28305,1247930,56323,18184,4324,1420,120540,690,15743,7,3299,1018189,1290771,1525
,湳興里,1667,1380277,18036,30661,1118508,59642,21517,4853,1675,100946,1489,17714,1105,4129,917464,1178984,3437
,鄉雲里,1200,1141188,11411,20014,821802,52895,33859,5013,1873,171822,652,14174,40,7633,680870,1000253,1319
,景星里,1103,1074522,15383,42965,734354,55348,62154,4103,1808,142476,1085,12589,316,1942,607212,947380,2549
,廣福里,1213,1037746,21722,8508,784527,36831,28669,4946,2190,137661,1701,10155,0,836,631425,884644,687
,溪洲里,1797,1411584,19620,14620,1145910,56346,13393,4963,2003,132849,43,20337,106,1395,917355,1183018,1106
,崑崙里,2881,3304484,36410,34661,1938791,80325,36936,9223,4469,1126124,1303,29139,686,6419,1564008,2929543,2808
,浮洲里,990,697250,11421,9246,544034,26411,17910,2118,572,77860,1493,5438,0,747,426803,580136,275
,中正里,1261,958291,19826,12268,794534,35358,11728,1501,1102,70342,769,9354,126,1384,632481,796238,849
,中山里,951,633349,14079,10416,511564,18828,15626,1145,576,52542,211,7034,0,1327,393587,515371,107
,復興里,230,151797,1743,1428,129896,5711,1484,325,157,7993,0,2965,0,94,101801,123702,194
,自強里,1908,1864321,16702,39193,1337662,143834,31283,2753,1812,236968,2740,23915,1397,26061,1117295,1643756,5008
,國光里,1253,1319524,6624,23227,1026023,101218,11925,3895,1082,118525,6884,15164,864,4095,869361,1162876,3220
,新興里,928,757639,7299,22880,578042,43006,21225,4008,942,63061,4324,10337,0,2515,473617,653214,690
,福德里,1604,1509849,11252,23507,1155493,74055,27646,4919,2910,190004,919,15835,565,2744,954950,1309716,2158
,和平里,1316,1576855,12919,21996,1316227,50246,11035,5238,2499,125803,138,28517,1091,1145,1133185,1393825,2970
,仁愛里,1013,792857,7312,13646,654087,40943,8773,2222,899,57015,168,6434,84,1275,532574,671345,850
,福星里,1172,1161569,9156,22394,833644,61062,67845,4781,2045,131616,31,23162,48,5784,692355,1020256,1461
,公館里,1158,924803,8155,17129,729849,45760,21877,3820,801,84953,795,9893,497,1275,590838,785792,2468
,新民里,1348,1220326,19840,23625,973745,62058,23381,2965,1376,91240,513,16470,205,4909,804355,1050936,1431
,振興里,1317,1001876,15768,11309,796339,40606,13753,6887,1361,98804,187,12271,2186,2404,637455,842992,3953
,光復里,965,956110,10480,17808,670740,36211,10698,1498,625,184042,502,8866,48,14593,550867,836248,636
,香丘里,1178,1045375,10553,16056,868845,42331,17284,5808,766,70178,3484,8513,501,1055,721061,897510,1634
,雙玉里,1061,891058,6961,16824,751592,30673,7444,1893,823,63803,0,7672,377,2996,615807,755194,1771
,福壽里,1092,1166801,14967,15556,820460,54686,21364,17763,987,207626,2130,9198,47,2019,689383,1035678,1418
,玉光里,1547,1276453,16669,20875,1032795,51218,21725,4815,1175,110820,1202,12460,499,2199,841860,1085518,2354
,港尾里,975,986190,5012,12957,693582,52628,18000,1920,1110,186380,0,8997,459,5146,572768,865325,1287
,民權里,806,669450,5156,9759,518195,45981,6733,1513,666,70641,336,7587,19,2865,425930,577185,412
,建國里,1025,748822,8108,10484,632995,33214,9797,2955,857,41732,63,7414,232,971,510863,626690,1439
,百壽里,631,532862,12050,9536,430018,27966,10666,1035,559,30111,1148,8257,137,1380,354914,457758,688
,忠誠里,1317,1328190,8563,15973,1006021,88947,27989,4930,1923,154642,1041,13979,254,3927,851206,1173377,2450
,幸福里,1134,825472,7958,9412,690922,36804,16296,2020,1580,46725,551,12003,7,1193,552409,686959,738
,漢生里,1420,1488964,10843,59552,975066,93274,38816,34074,1355,245904,591,27268,257,1965,813109,1327064,2237
,聯翠里,1263,1519823,11383,28876,1101257,62529,36333,5048,1072,181107,17466,17108,470,57174,948139,1366660,3389
,宏翠里,1575,1386256,22326,25939,1114513,36165,10370,14939,1705,132525,1066,22009,132,4568,917037,1188763,1556
