"表166-E(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：高 雄 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,合　計,92930,84902073,1611526,2181640,63402840,4210162,1485005,320422,74245,10260685,120971,874735,10630,349214,52494334,73990969,97698
新興區,大明里,312,261274,2835,8763,154191,18577,10644,3180,188,55156,169,6716,0,853,126746,233833,233
,明莊里,174,164450,5680,12525,93791,15599,13945,1124,104,18795,0,2233,0,656,77515,148175,84
,仁聲里,319,277274,8388,6098,193667,14867,6114,711,261,44088,337,2693,0,50,159726,243006,115
,漢民里,247,215859,4303,6070,131125,15817,8633,1024,214,46922,297,1404,0,48,108805,193538,88
,華聲里,354,404954,26743,9803,207220,21848,16679,381,208,118100,0,1717,0,2254,172325,369434,114
,玉衡里,263,209468,1543,18248,136903,14899,14689,124,81,18599,1,4151,127,103,111747,177627,459
,榮治里,237,586040,3797,66881,222315,19504,18661,2780,480,245796,0,5089,679,59,197468,560456,1847
,浩然里,669,666022,12994,28388,410578,59774,24641,1908,592,118898,825,5873,252,1298,344025,598543,1533
,振成里,445,784754,29722,7339,263895,36595,77627,2151,168,364165,1282,1770,40,0,224755,745614,912
,德生里,1140,1583068,32419,68080,923165,87236,48723,7646,1077,403743,648,8859,298,1174,801389,1460817,2792
,成功里,396,560289,4668,15273,280539,33880,13585,2404,233,203506,667,2663,33,2839,242773,521093,610
,愛平里,332,356325,7556,15043,237083,28931,19095,6655,388,36504,128,4740,0,201,203039,321954,515
,新江里,402,718585,24829,13146,217645,22518,23301,1300,360,408598,1328,5277,60,224,179045,679019,663
,黎明里,259,244941,12200,7452,134166,18575,8889,1069,116,56667,0,5657,0,151,109941,220716,150
,秋山里,255,189980,9628,5203,116957,11930,16585,6482,137,21739,14,915,0,390,94557,167580,156
,長驛里,261,218278,5109,16709,154104,11973,6731,419,182,20298,140,2499,0,113,126433,190584,92
,建興里,293,347061,7639,8303,154848,13619,7997,2905,544,147431,18,3650,0,107,125230,317443,71
,德望里,731,755946,8616,33013,468146,62670,26126,3120,295,147017,1652,4246,164,880,397277,684686,915
,中東里,806,785881,21301,21038,513235,42940,18702,1467,456,156332,1197,8391,0,822,429145,701790,665
,東坡里,373,318111,11004,12135,203880,18766,15700,2471,1916,44515,451,6341,639,292,168060,282274,1677
,蕉園里,258,261924,4773,14512,160642,23062,11540,754,2980,41114,1302,1025,0,222,135592,235688,173
,德政里,228,215146,8380,4324,150328,11084,6855,502,60,32569,0,908,0,136,125581,189455,340
,南港里,629,552491,17034,19708,376555,44491,14832,1379,493,72938,1620,3406,35,0,313900,491243,848
,開平里,1267,2294003,28489,73883,1001011,106413,51513,5177,1206,997733,5669,15140,84,7686,861795,2153414,2052
,光耀里,738,674346,6722,27957,457400,40754,28815,5310,622,98121,2632,5886,128,0,377339,594285,952
,永寧里,503,520289,5727,12662,343463,34230,25213,1454,430,90648,532,5484,0,444,292002,468828,474
,順昌里,609,613300,18062,16125,374148,37476,11327,3863,440,145045,52,6227,162,373,309092,546853,642
,正氣里,506,545575,7338,24575,284801,43389,24842,12473,299,140257,414,5567,0,1621,238927,499704,492
,建華里,257,377294,6133,9485,152360,15764,13783,1094,113,174226,0,1959,1166,1210,127523,352458,2565
,振華里,408,579845,7206,5290,297165,35452,34809,18239,187,175431,619,5323,0,123,256138,538817,181
,文昌里,972,1255463,10923,68947,777545,81169,52369,4905,1040,228849,3660,17764,472,7819,678167,1156105,3216
,興昌里,637,614756,15748,23000,396094,48937,16760,1765,398,104506,692,5909,26,921,333426,552091,606
,其　他,2,791,0,0,345,3,397,0,0,46,0,0,0,0,237,683,0
,合　計,15282,18153783,377506,679981,9989310,1092742,690120,106236,16270,4978352,26347,159485,4364,33070,8449719,16597805,26236
前金區,青山里,580,693989,15394,31310,420315,53681,28625,2957,722,128660,3626,8084,50,566,361416,635069,1235
,長興里,340,405502,3603,14518,189380,21104,11887,910,78,158409,400,2344,0,2869,154681,370803,144
,民生里,247,244972,4615,14998,151365,20022,13663,5350,158,31097,1151,2255,51,247,128050,221657,563
,東金里,341,426132,6072,46849,200655,28631,28183,1084,195,111977,11,2029,0,447,169114,394661,451
"表166-E(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：高 雄 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,林投里,205,258567,1381,24692,128403,8765,3051,86,139,91210,17,637,0,186,107780,237944,227
,後金里,247,258023,4003,2805,157054,20392,8600,1919,110,56923,0,5970,0,249,132339,233315,373
,文東里,417,477631,11041,19365,262879,29375,29683,5103,396,112887,0,6803,0,99,222729,437483,333
,長生里,604,644770,7642,29234,382978,48000,27613,5940,345,132567,1236,5471,94,3652,323441,585237,1067
,博孝里,322,315129,2382,9086,207097,17283,13137,3421,191,60045,0,1976,127,384,175137,283169,749
,復元里,380,503332,5786,21275,262285,36285,11656,1861,172,154070,0,8241,82,1618,224713,463962,831
,社東里,612,927003,17317,42067,450035,66078,39494,4912,381,290273,1404,5446,117,9480,391088,867064,1386
,社西里,378,483956,11430,27298,241788,22945,48228,1298,360,126671,15,3848,0,75,203555,445723,408
,國民里,354,587994,8308,32357,243173,26022,16193,6302,342,247893,0,7192,0,212,207490,552421,253
,新生里,1275,1443358,21237,66884,934232,92486,43676,8156,1121,257158,1184,14928,50,2247,797541,1307081,1866
,北金里,252,199410,4502,8063,137020,15547,7356,854,106,23110,0,2684,0,166,112747,175168,144
,榮復里,368,288302,6134,9442,197123,17559,15704,1695,142,37789,54,2671,0,-12,162373,253552,62
,文西里,316,289352,8973,7824,165388,16561,22848,2081,436,59581,3742,1806,0,111,137332,261255,205
,草江里,370,364123,10429,13595,232325,21321,11520,717,248,68072,1635,4254,0,7,194817,324407,245
,長城里,379,322594,6430,4658,228665,16644,13472,1245,726,46886,89,2835,223,721,186630,280559,795
,三川里,190,124755,3023,1663,86066,9693,6430,1074,87,14338,0,1882,186,313,67883,106572,552
,其　他,1,134,0,134,0,0,0,0,0,0,0,0,0,0,0,134,0
,合　計,8178,9259030,159702,428116,5278228,588395,401016,56967,6454,2209615,14563,91355,979,23640,4460856,8437234,11889
苓雅區,博仁里,244,389219,5726,11717,209261,15141,6988,2693,167,131879,305,4344,32,966,182670,362629,610
,苓洲里,487,607387,10250,37664,306398,25821,17201,9943,1072,168283,7577,6922,0,16254,254319,560323,527
,苓昇里,333,247616,8926,5749,185128,14638,6764,1234,437,21068,1130,1949,0,592,150753,213241,40
,苓雅里,474,424603,8534,35330,287163,27556,11455,1140,970,48704,270,2958,0,521,237088,374654,280
,苓中里,503,433738,6857,8468,303736,16114,4074,1491,327,87103,0,4012,0,1557,245301,375303,384
,苓東里,432,424274,13200,19409,230828,18387,12781,1917,527,122622,1008,3758,192,-356,185678,379001,654
,城東里,723,704944,11439,54627,483491,33192,19762,2799,630,92587,780,4763,203,670,403438,624783,952
,城北里,469,464338,5482,19569,287762,23175,21475,3085,172,97541,1816,2363,0,1897,237579,414155,220
,城西里,155,100701,7136,1358,75431,4648,2961,293,85,7359,0,954,0,475,58742,84012,47
,意誠里,1123,888709,11469,32253,652095,55015,15365,9224,1042,90561,1954,7748,233,11750,531037,767650,1450
,鼓中里,309,244177,5336,7301,169451,15448,17568,754,278,25423,58,1838,0,721,139316,214042,285
,田西里,430,412561,9318,22669,256048,33017,23297,6316,326,40105,16134,3300,0,2030,216600,372909,256
,日中里,747,728219,8144,22604,514605,46069,7959,1737,676,109331,3414,10105,684,2891,433670,645855,2363
,美田里,381,324016,2214,6977,222210,23901,12455,330,259,51625,0,2536,0,1508,184208,286067,266
,林西里,540,448604,5149,7022,326293,35038,11944,656,318,54154,718,6919,0,392,270787,392804,358
,林南里,1116,1441409,33588,45510,867476,92995,52549,4583,650,322850,4851,12573,566,3219,747316,1320976,3728
,林德里,600,700487,7932,14588,488674,55781,11282,1074,545,111954,672,4277,320,3389,421248,632894,2346
,福海里,334,266352,2118,8399,216897,15760,3547,154,171,13880,0,5176,0,250,178710,228165,221
,福南里,499,395811,9549,6950,299872,20301,9790,546,424,42596,702,3039,0,2043,244487,340433,366
,福西里,477,303742,5960,5424,252288,10681,3087,858,588,21302,747,2399,0,405,200194,251647,135
,福東里,811,584575,11921,10700,464314,27172,20714,2452,535,36444,1406,6664,0,2255,370523,488083,495
"表166-E(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：高 雄 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,五福里,1176,957597,18141,22990,694708,49672,16988,2372,1045,134910,2439,7908,183,6241,565297,828186,884
,仁政里,493,530136,14696,23873,323802,28642,15866,2275,255,104264,868,5331,0,10263,272509,478103,319
,凱旋里,678,794567,5023,34327,532113,65234,12956,8596,589,125006,1400,7701,115,1507,456644,714607,1386
,人和里,580,577674,7854,11383,370096,36770,16165,2520,527,126612,478,3391,8,1871,307538,515124,387
,和煦里,658,644342,11835,12205,409227,46657,18579,2054,487,125390,11888,3790,0,2229,342185,577300,279
,普照里,1111,1536129,20159,52911,828965,78029,30532,5825,1204,483262,3189,15350,0,16702,710215,1416161,1478
,晴朗里,430,518337,5258,18515,348628,29192,11412,3096,484,93124,3799,3343,192,1293,303759,473463,1035
,廣澤里,580,575909,6722,29806,346202,35299,22108,6160,314,104210,0,6869,0,18218,287495,517202,340
,奏捷里,493,416036,5993,10644,323634,32618,4133,1471,672,30872,85,4994,0,920,270512,362914,321
,永康里,721,629135,6385,17924,482842,50626,8830,1176,454,53070,925,7440,0,-537,404421,548917,718
,林圍里,940,1980555,8864,47020,815516,90972,29506,8482,444,951214,8741,9000,64,10732,710859,1875898,1792
,林興里,360,337230,3184,11739,204240,18802,7372,10889,182,76528,613,2957,0,724,166050,299040,131
,林靖里,576,520473,5429,15803,382265,61582,6679,6732,260,35322,139,5575,246,439,319819,458039,983
,同慶里,799,1070384,13624,51623,772290,56378,22261,3365,918,135132,186,12133,242,2232,675663,974039,2258
,福隆里,784,641834,7120,9804,489693,43928,9308,2230,521,73832,928,4212,21,238,401250,553385,417
,福康里,546,403430,7401,5709,323075,23896,3999,903,326,30539,129,5316,559,1578,263647,343974,1409
,福人里,597,461140,8307,11650,357000,24147,3737,2059,317,47776,589,4920,0,638,285245,389385,148
,福地里,776,558056,8284,5347,472684,24799,2744,1075,577,37523,287,3828,77,830,382026,467615,554
,福居里,743,518882,8555,2916,421406,26159,4728,1590,341,45394,107,4685,42,2959,336073,433549,798
,五權里,691,604148,12997,16944,409980,47554,24036,1579,474,79654,4010,5797,7,1116,337673,531846,837
,正義里,873,1027427,12510,15541,851646,43992,8465,1390,990,81365,1497,7055,25,2951,744840,920531,798
,福壽里,428,397563,7286,9732,242470,18623,7622,5565,400,102497,438,2448,206,276,196378,351470,834
,林中里,1026,916437,10112,16491,677167,69943,13235,1189,826,112499,540,12005,71,2359,568663,807907,1079
,華堂里,996,886820,39168,23397,614321,53166,23256,2810,865,115104,3102,9278,569,1786,508664,788911,2048
,朝陽里,505,412448,3350,6668,326632,32648,2148,2511,506,31027,155,5577,0,1227,270819,356635,672
,林華里,893,818272,10614,16667,560133,48870,7985,1672,479,162809,0,8998,0,45,460577,718803,710
,林榮里,1417,1232311,13442,26150,925555,76070,14490,3500,1064,158001,206,11048,249,2536,763862,1070190,1240
,正心里,1315,1171275,18234,25641,858272,83632,18726,2708,972,141117,4618,8996,59,8301,710958,1022476,1467
,福祥里,351,256006,5655,6610,200924,13854,2815,365,171,21894,0,3483,0,235,163257,218339,154
,安祥里,913,1223856,59439,26006,621184,73792,42544,4053,835,383690,2821,6057,0,3434,529905,1132772,1747
,中正里,1092,2281853,10924,42567,842871,99891,76456,7002,795,1147235,2388,9470,0,42253,725221,2163865,1358
,普天里,1150,1242834,20499,44858,842945,78534,26373,3537,783,206870,7078,7521,118,3717,717898,1123146,1996
,林富里,733,1359558,35890,99018,703338,72739,40004,2255,700,389235,454,13714,42,2169,625968,1282146,1720
,民主里,1296,1138894,22625,29593,841353,83450,17568,5098,1043,114922,5597,10145,228,7273,700287,993349,1526
,正仁里,800,645295,6317,21806,509934,34658,4756,2384,524,55565,647,7066,0,1640,416280,551642,501
,林貴里,642,635133,11886,8621,494929,34823,11944,528,857,66307,91,4490,222,435,415961,555942,934
,正大里,1701,1565566,22310,45500,1151576,75113,20651,3469,1491,220260,4937,13282,45,6932,959849,1373839,1464
,光華里,167,130588,1908,3977,98236,8009,2784,40,143,12859,0,2577,0,56,80154,112506,46
,正道里,1404,1126928,11574,25277,872018,62350,13250,2648,1023,123164,1564,10681,204,3175,713988,968899,1249
"表166-E(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：高 雄 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,衛武里,585,403217,4911,5058,334710,19976,1504,1145,376,32161,377,2695,0,304,268470,336977,256
,英明里,638,517790,10387,11322,381856,32627,6646,1308,440,66168,730,5558,64,683,308834,444768,842
,林泉里,747,869375,7027,46943,592508,68980,21356,5380,1731,113495,2412,7117,308,2117,511014,785955,2959
,尚義里,538,634590,5609,14518,394332,41038,28345,1596,397,140280,0,6339,117,2018,338007,577298,1108
,林安里,493,472563,10926,22571,325465,28947,13515,1489,306,61066,3908,3456,0,913,273901,420999,242
,正文里,706,643032,10950,18867,426652,37480,19820,2599,396,119853,55,4883,344,1133,353358,569737,1097
,正言里,984,844913,9986,30200,609739,48604,23358,1444,696,100854,1122,12109,42,6761,500955,736129,822
,文昌里,1224,915108,14063,11567,743924,44886,6516,3015,754,78147,1870,7765,0,2600,601130,772315,527
,建軍里,581,429880,7741,6737,346200,23936,5815,842,289,33893,0,3575,124,729,279155,362832,705
,其　他,9,2738,200,149,1897,97,208,0,0,165,0,22,0,0,1261,2102,0
,合　計,49126,49013742,781620,1459474,32800572,2891531,1047114,199273,40445,8983509,130950,430545,7024,241683,27402156,43610854,62558
前鎮區,鎮北里,284,200691,1802,1397,150349,10561,1825,369,213,28168,141,5810,0,55,119810,170152,417
,草衙里,2516,1709366,56888,21979,1341422,75447,24038,4527,1632,163698,1604,14677,0,3454,1038892,1406614,734
,前鎮里,337,242836,6029,2386,202767,8977,1807,521,256,17545,83,2401,0,63,163206,203275,50
,興邦里,1020,970138,12279,12307,820607,35493,6408,2251,939,68665,230,9755,131,1073,688223,837655,1124
,興化里,157,134722,674,611,96236,2746,210,110,373,32420,0,1341,0,0,76590,115076,31
,鎮中里,194,128186,5429,1182,100538,5092,1553,117,89,11783,0,2123,0,281,80283,107931,0
,振興里,788,864073,8874,56236,602952,38608,14691,4346,487,120965,73,6830,93,9920,513172,774292,1408
,西甲里,649,646072,14420,12818,496209,32629,15176,1114,490,54134,3911,11805,21,3347,421613,571468,513
,竹內里,823,658485,13965,14918,524642,30790,3097,1389,510,58443,1904,8056,153,619,427376,561233,886
,西山里,1192,1118581,9557,36991,818893,71679,14466,3605,899,144690,1571,13059,0,3170,685453,984886,866
,良和里,1013,1061762,12353,27409,774516,63027,16103,19006,927,132364,2840,11767,273,1178,661062,948351,1755
,建隆里,411,695407,15601,35103,418056,25582,19004,27959,381,132941,546,6089,252,13892,370551,631761,1231
,興中里,914,754007,8457,26697,575972,37549,9258,1561,703,74801,2314,5723,0,10971,471579,649614,233
,忠誠里,673,494996,3143,2678,446062,20257,1859,1733,264,13575,900,4265,0,258,363944,412878,76
,忠純里,1472,1057095,10975,17372,877959,58243,7035,3551,692,63921,1027,13677,0,2642,704863,883999,561
,瑞竹里,460,382786,5154,5907,321683,12242,3641,4170,563,25597,0,3769,21,39,264303,325406,425
,復國里,813,761095,14613,15830,565751,42873,7352,1309,353,95000,256,14316,0,3443,473162,668513,541
,鎮東里,466,336320,5602,3809,281970,12623,609,550,343,20804,2422,7328,0,260,224625,278975,59
,忠孝里,949,1013798,16825,40685,668661,54800,20595,5701,842,191414,233,10293,0,3749,567572,912708,485
,仁愛里,302,204045,7795,4402,153094,6848,8838,689,133,19399,0,2570,0,278,119112,170063,19
,興仁里,139,77264,1578,1413,65948,1248,1863,0,57,4761,0,388,0,9,49740,61056,0
,信義里,355,242500,7195,3195,191903,9404,3328,325,141,24785,0,1826,0,399,149109,199706,208
,平等里,543,469100,13587,7669,346824,20282,4874,7461,237,63700,83,4361,0,22,283807,406082,136
,明道里,232,181949,3526,5413,141764,5664,2818,927,113,20540,0,940,245,0,114189,153854,575
,明禮里,347,236840,3984,9681,192710,6683,2994,260,192,17807,227,2214,0,87,151901,196030,96
,瑞豐里,801,662538,14566,9229,540492,21843,7082,2104,474,52166,19,10917,14,3633,438037,559877,388
,鎮陽里,264,187774,6948,1090,147100,10572,2874,235,151,14204,0,4253,11,336,118355,159029,214
,盛興里,908,927973,18246,32948,578281,46493,28467,4472,761,205563,3001,7143,279,2318,478803,828516,1375
"表166-E(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：高 雄 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,鎮榮里,531,352119,12771,3828,293931,11018,3605,2621,580,19824,0,3835,0,104,230561,288749,85
,瑞南里,1316,1037246,16740,10153,860983,43492,8180,1900,578,72330,96,9589,0,13204,697042,873305,450
,瑞崗里,731,569178,13844,9566,439658,27270,17876,1981,498,50462,375,6856,2,790,354859,484378,320
,瑞東里,673,478892,4189,9231,392039,23005,8389,959,455,35576,43,3616,10,1380,315238,402090,377
,瑞北里,845,600670,10907,10268,495021,24221,6403,1252,452,39170,664,9704,0,2608,394206,499854,356
,瑞西里,793,601493,12037,10945,476930,25848,5819,1208,391,60374,762,6540,120,518,384041,508603,568
,瑞興里,742,570549,9238,9582,465674,25182,4399,2244,441,43680,1912,6958,76,1164,377145,482020,379
,瑞和里,535,401608,3698,4337,341881,16827,3461,581,539,21608,331,7413,589,343,276530,336257,1179
,瑞隆里,1012,783713,21710,8803,612408,32168,11173,1901,794,83415,1630,9200,104,409,494044,665245,662
,信德里,527,337190,8952,5725,290392,8588,1451,484,430,17537,846,2752,0,32,226365,273163,16
,鎮昌里,536,386022,11340,6633,302737,15819,3294,1032,375,40092,362,4019,0,319,241914,325198,8
,明正里,1631,1321751,48332,10155,1049969,46766,16140,5751,1337,119646,7263,15700,0,692,851511,1123308,315
,竹西里,1348,1233222,13329,18494,962306,69314,14481,3235,966,133053,294,15038,225,2487,801689,1072441,1741
,平昌里,134,88579,1549,1096,66947,3990,3331,125,57,11015,38,422,0,10,51148,72781,13
,明孝里,641,467158,22944,3507,347014,24311,5974,873,312,58744,0,3464,0,13,272698,392842,84
,瑞祥里,1425,1231286,21313,21622,988518,58654,11641,2942,790,108042,1725,14352,876,812,806729,1049494,2829
,瑞平里,1112,901365,16784,15381,729361,35269,20691,1235,1392,73335,239,7328,111,240,592653,764657,624
,德昌里,493,312628,7017,5217,254132,17800,3136,277,234,21967,392,2417,0,39,197022,255518,39
,明義里,685,507178,12446,8102,393626,16726,3967,693,359,66405,26,4354,0,474,310130,423681,43
,鎮海里,1302,1069789,29427,13112,857663,45823,14641,1897,728,90863,2588,12611,143,292,697207,909334,835
,竹東里,719,519827,4273,9714,423733,25496,3082,1858,488,34945,421,14169,0,1647,341797,437892,450
,竹南里,2412,2625565,39763,63210,2044319,102170,26859,23315,2182,290270,3510,24121,221,5625,1734665,2312887,3004
,竹北里,716,647174,5232,9268,484223,35459,5711,5686,341,93121,0,8174,49,-89,401941,563261,427
,瑞誠里,777,574105,11786,6406,485299,24860,3567,3114,473,31446,3,7086,0,67,390180,478986,93
,瑞華里,1431,1269500,17986,18065,1019268,68308,12384,2146,1646,110762,2358,15684,0,892,843132,1093135,895
,瑞昌里,930,714434,18725,8651,579442,27155,8030,1170,1374,61969,722,6798,0,397,468733,603787,169
,瑞文里,718,570702,5199,7340,457897,19547,6790,1659,296,67011,0,4289,462,212,371257,484053,1051
,竹中里,1182,1011888,20405,24747,792632,52786,13979,4203,678,84376,1201,15798,0,1084,656053,872972,685
,民權里,1555,1680306,12702,40127,1278414,85813,23158,13102,1248,204203,5109,13606,586,2237,1093877,1495754,2099
,盛豐里,915,814492,20534,33490,556592,46951,20668,6935,1186,119750,1746,5580,0,1059,459450,717349,889
,興東里,1840,1705547,29870,54039,1276204,86120,24317,11402,1628,194385,1446,15834,353,9946,1060101,1489443,1870
,其　他,1,298,0,0,297,0,0,0,0,0,0,1,0,0,189,190,0
,合　計,49230,41805867,785104,872169,32462874,1915011,548462,208143,36465,4333226,59485,465007,5418,114504,26613438,35931624,36963
旗津區,旗下里,278,173471,3144,2189,144366,6163,5275,72,91,9889,890,1156,0,237,113018,142123,25
,永安里,240,135920,3330,188,116450,4803,772,563,162,8427,85,1107,0,32,88577,108047,136
,振興里,373,251298,7493,4126,198767,11136,1090,481,571,25656,0,1963,0,14,157233,209764,123
,慈愛里,427,269493,8141,2079,225256,6966,391,91,131,22818,220,3132,0,268,175678,220263,56
,復興里,598,380299,7072,2380,316829,11972,4583,14660,358,19274,0,2714,0,458,245282,308753,152
,實踐里,247,137451,1905,2245,119829,4781,538,139,98,6036,0,614,0,1266,90485,108107,23
"表166-E(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：高 雄 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,上竹里,596,415446,22592,8423,337880,14492,2079,1351,324,22461,0,4849,0,996,265279,342846,66
,南汕里,397,273627,5192,1823,231831,9205,1506,254,326,19806,0,2760,244,681,184453,226249,818
,中洲里,337,221477,6887,5169,185983,7101,1348,245,178,11448,72,2818,0,228,144931,180425,4
,安順里,164,102715,2492,1546,86674,2521,534,335,41,7110,601,816,0,47,67573,83614,20
,中興里,615,416998,7541,7264,351972,13035,729,532,201,31367,4,4071,0,283,276984,342010,77
,北汕里,529,305684,10066,4274,257594,7175,2912,1187,316,18871,0,3174,0,115,197998,246088,81
,中華里,320,198008,13648,1630,165503,5682,1692,69,258,8149,0,1802,0,-424,129855,162360,20
,其　他,1,583,0,0,574,0,0,0,0,4,0,5,0,0,466,475,0
,合　計,5122,3282472,99503,43334,2739507,105031,23449,19979,3055,211314,1872,30982,244,4201,2137811,2681124,1601
小港區,小港里,707,591430,13637,13957,443901,27567,8369,972,535,74707,935,6617,0,234,360157,507687,129
,港墘里,582,516724,3849,1516,415455,19287,7704,1107,447,57974,3837,5532,0,16,341645,442914,343
,鳳宮里,672,531076,13511,4641,438760,16490,3769,1527,357,40807,2787,7796,6,625,355103,447415,325
,店鎮里,1894,1597734,34105,17285,1279041,62058,26089,2613,1837,153290,2923,17516,42,935,1039424,1358117,835
,山東里,980,777931,12747,5917,659110,27290,4167,1031,433,55798,2599,8523,0,316,536206,655028,150
,孔宅里,1212,880823,19948,7449,734034,24630,6849,2774,567,74705,1486,8277,0,104,576434,723223,351
,高松里,1110,837462,19511,5411,705602,22746,6764,1683,2122,57287,4411,10781,0,1144,569847,701707,176
,大坪里,739,567933,19274,5655,459445,18823,7279,8968,337,39909,1094,7108,0,40,365376,473864,51
,坪頂里,1528,1174432,32288,23951,962611,22508,12422,5980,754,100618,98,12387,0,813,767137,978957,198
,鳳森里,647,518968,9253,4581,434287,18664,4161,1061,338,38136,924,7175,356,33,350523,435304,710
,鳳林里,857,655677,9258,8266,552357,19960,5733,2628,594,44908,558,10864,0,550,446905,550225,305
,鳳興里,697,523894,9340,6559,451434,14876,1663,916,308,28199,2007,8230,274,89,359802,432259,701
,鳳源里,1036,798482,10876,6216,700409,20145,6687,935,800,41344,1168,9901,0,1,561850,659923,99
,鳳鳴里,834,635685,9826,6363,538114,21881,3097,816,368,45874,1019,8278,0,48,434065,531637,383
,青島里,624,457662,5263,7882,395600,15882,1550,533,606,23448,36,6751,84,25,315675,377737,445
,濟南里,1304,1088802,16881,8832,925882,41022,7986,3907,1324,66726,1181,14452,0,609,757871,921099,91
,港口里,1271,1340448,8937,9743,1053844,62887,5980,3788,913,168339,12470,13355,0,192,904175,1190729,767
,港興里,722,605775,9369,7585,493425,25622,4602,1653,312,51654,3169,8053,0,332,402640,514991,212
,二苓里,1216,1009211,21828,11034,798631,37078,24266,1796,466,99695,1774,11451,7,1185,649643,860222,419
,大苓里,847,682929,5361,10265,559475,25533,6663,736,401,62433,1520,10257,70,216,455030,578462,365
,中厝里,920,658981,21653,9522,542788,16361,3670,1227,532,53445,1656,7730,0,396,425341,541534,32
,山明里,3229,2540296,46158,22370,2190315,66121,16753,8679,1752,149788,5830,31527,0,1004,1763297,2113278,774
,廈莊里,906,710969,13373,7790,578931,24403,8801,1887,456,64373,437,10139,0,380,465843,597881,119
,桂林里,2266,1776019,47653,15824,1443112,60439,16501,5476,1100,157213,4022,23838,64,779,1161391,1494298,1163
,龍鳳里,888,727651,7956,4613,626111,26655,3588,1485,459,46137,1344,9250,0,53,507218,608759,477
,港南里,599,526608,7077,2226,447410,17719,3970,1506,352,38844,2583,4772,0,149,369346,448557,219
,港明里,940,689536,16086,7559,569517,28870,7530,1742,894,48406,1166,7184,0,581,454073,574091,72
,港后里,749,609912,9525,8021,483777,22453,5437,1880,507,66550,3200,7415,0,1147,388746,514881,94
,港正里,913,784351,9525,8421,646902,34294,6410,3075,406,58915,8176,8150,0,77,534525,671988,509
,合作里,700,519812,10237,4538,446308,16311,4257,2322,496,28996,402,5896,26,23,356705,430209,257
"表166-E(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：高 雄 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,松山里,1107,958856,12507,11045,798814,28632,11218,2839,780,77705,1667,12024,0,1626,654237,814293,312
,松金里,808,643737,9729,11466,519347,18435,4963,1668,988,71177,206,5752,0,7,420278,544669,107
,泰山里,1106,1024533,18543,10677,823288,34475,5466,3095,518,116247,1847,10214,0,164,680408,881660,403
,三苓里,864,705000,10826,10043,576304,30955,10638,1568,523,54696,2542,6484,133,287,472620,601315,851
,正苓里,1296,1050755,19508,16740,850107,35492,23954,1420,816,83506,7341,11055,0,816,695815,897205,299
,順苓里,1424,1103759,23076,17889,912707,36045,15522,9521,1032,72883,1326,13433,0,325,741828,932879,385
