"表166-E(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：高 雄 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,裕豐里,934,918988,8317,19578,646523,74912,25150,13149,930,111298,1944,15008,0,2181,542099,814564,1316
,華豐里,1317,1294052,12703,30110,958919,75048,30166,4950,1734,161325,3274,12853,126,2845,807163,1141357,1907
,雄峰里,563,377742,6599,6797,307908,31893,1660,656,222,17110,1157,3102,43,596,247333,317114,569
,鼓峰里,511,313595,1548,6767,262716,15874,3025,1271,220,18017,0,3035,282,839,206423,257302,863
,麗興里,282,339967,17851,2802,128654,15194,6369,848,120,164323,1615,1259,0,932,100456,311770,56
,龍水里,7311,11373221,181805,464154,7103624,426069,246152,167069,7534,2605536,13843,109002,3155,45279,6200244,10469577,20740
,裕興里,1027,873565,12886,13923,657450,56041,16408,3629,758,96735,4374,10088,549,723,537689,753613,2018
,其　他,9,6016,0,2,5336,151,5,51,0,338,0,133,0,0,4364,5044,0
,合　計,36827,38659758,634641,1119411,27452737,1834867,775732,310823,32249,5874657,54615,434021,8879,127127,23103841,34312887,59108
左營區,自立里,2,2275,0,0,546,438,623,0,0,659,0,8,0,0,438,2167,0
,崇實里,1305,1276494,11150,32966,1004152,51165,9869,15686,780,124706,629,23529,294,1567,839153,1111498,1542
,合群里,703,571528,3851,5534,445936,76269,2023,3318,365,29788,1650,2389,147,257,375993,501588,931
,自治里,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,頂西里,268,197888,5083,1195,152722,9631,11419,524,214,14225,21,2332,0,522,123514,168681,41
,頂北里,141,107560,1669,2770,80045,7157,3070,191,84,12056,0,477,0,42,65577,93092,10
,中北里,139,110068,3316,4361,75733,4487,4614,539,57,15075,0,1776,0,111,61393,95739,5
,中南里,121,87830,692,684,71257,3612,2065,188,55,6902,0,2375,0,0,56794,73367,4
,自助里,132,100174,1458,2987,77971,9786,1201,280,240,5875,0,341,0,34,63252,85454,7
,自勉里,2,2930,1294,1056,169,122,288,0,0,0,0,0,0,0,0,2760,0
,尾西里,298,188814,5206,2172,135673,17603,11953,222,216,12786,121,2101,0,760,106964,160104,26
,尾北里,849,680773,9425,18773,551564,28781,17433,2807,380,44821,415,5443,418,512,450215,578950,1579
,󿾴南里,170,118603,3271,562,83050,6385,6710,0,1034,12133,275,5181,0,1,66330,101883,84
,廟東里,174,112887,1058,695,91162,4688,6633,0,59,7603,64,899,27,0,72399,94124,330
,廟北里,214,114114,1147,2370,94938,5919,3620,0,78,5258,0,766,0,18,72227,91402,21
"表166-E(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：高 雄 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,尾南里,153,97426,4971,1732,71836,4288,6249,0,29,7029,41,1207,0,43,55812,81402,2
,󿾴北里,85,67612,1235,957,49334,2821,6076,573,46,5427,0,1144,0,0,40155,58433,25
,埤東里,252,207588,8185,5128,141468,9559,4574,303,81,36613,0,1509,0,167,115844,181963,21
,埤北里,305,205452,3742,3248,156423,18813,5272,311,126,15100,0,2341,0,75,124177,173206,57
,新上里,8679,10204166,167008,484220,7081992,492559,318200,54145,8779,1445930,13592,105700,1473,30568,6048350,9148598,17343
,新中里,1565,1428390,22587,29712,1049896,59023,43316,6073,2414,198035,191,12455,296,4390,861989,1240908,1972
,新下里,4308,4553024,56694,133842,3411257,230117,99830,36150,4090,516121,5314,46711,1017,11881,2885896,4027500,7292
,聖后里,199,138585,2977,1082,106356,8687,5330,97,90,12378,0,1553,0,36,84658,116886,74
,聖西里,79,64184,682,62,45281,3962,1054,130,28,12557,0,428,0,0,36232,55135,0
,聖南里,147,106433,1391,5053,77165,8771,4282,174,24,8231,0,839,468,37,60927,90177,898
,埤西里,286,216931,3831,4250,140805,16626,21624,413,71,22028,2,2204,0,5075,112122,188247,15
,路東里,208,164636,2742,1583,108130,14108,17408,596,128,18100,0,1735,73,34,87423,143782,555
,城南里,135,101208,558,2507,69068,6880,6144,154,24,12009,0,1296,46,2523,55662,87773,258
,進學里,400,280335,2576,6413,228063,15081,6420,583,199,17743,82,2934,0,243,183466,235738,35
,屏山里,360,263940,1766,4640,205446,17917,6017,765,211,23796,181,3093,0,108,165195,223609,80
,果惠里,329,222711,2377,3725,180605,16916,433,1876,260,13899,436,1767,0,416,142477,184583,11
,果貿里,787,589086,5140,9422,473846,43760,3444,2911,542,39009,2062,7907,54,990,384368,499608,841
,海勝里,1444,984861,13848,18945,809452,68679,5169,3346,744,48248,1200,12181,92,2957,642126,817472,1016
,莒光里,513,354708,2030,4304,294350,26551,1334,841,188,17631,416,6474,0,587,237214,297571,385
,永清里,319,318270,598,3104,304300,4253,1578,300,52,3772,34,279,0,0,258935,272905,41
,果峰里,357,222973,5135,3127,178239,15603,2979,893,105,15692,0,936,0,263,138286,183020,324
,光輝里,837,656097,12915,11108,507283,47217,14361,1778,574,48146,397,11609,0,709,416400,565213,572
,菜公里,9285,9779743,171151,260415,7720291,428382,143601,47724,8762,809595,7601,163572,1944,16703,6502532,8558006,12880
,祥和里,66,43575,167,328,36414,3177,51,33,62,2896,73,315,31,30,29452,36614,224
,新光里,4383,4741326,54485,150695,3536477,218029,78120,21563,4576,598982,15707,50172,977,11544,2988839,4192669,7725
,明建里,319,317132,4938,4975,254369,26325,2649,2254,142,15486,69,5031,0,894,216583,279242,141
,福山里,10824,10913429,149221,255850,8995432,405208,116612,55200,10475,755880,9950,134443,1970,23189,7554053,9465706,15814
,其　他,9,4437,13,5,3880,16,0,0,2,14,0,507,0,0,3224,3781,0
,合　計,51151,50920191,751583,1486557,39102376,2439371,1003650,262940,46383,5012233,60524,627959,9326,117289,32786644,44570558,73181
楠梓區,東寧里,1325,1194612,13087,11529,998857,49248,17477,5189,1515,80861,271,16151,0,428,823677,1019433,541
,享平里,951,778044,12072,13444,594823,42025,23181,4767,828,69242,155,14330,1711,1467,482649,665870,2981
,五常里,1731,1250326,25185,25614,1024499,41873,12885,5079,776,92364,1396,19533,55,1068,805713,1031510,989
,惠民里,1252,997885,18866,17328,821701,43159,4241,3452,554,67352,2241,12213,0,6777,662636,838849,429
,中陽里,793,602101,18197,14340,435602,29094,27448,813,396,63088,2593,6493,0,4037,343423,509922,244
,清豐里,6565,5815884,101948,76855,4871306,188990,45389,19986,5554,408460,4124,85780,386,7105,3973087,4917495,4528
,稔田里,439,344571,8486,1975,265528,17987,7125,654,415,34909,86,6797,0,609,210454,289498,29
,玉屏里,692,526585,11321,5231,425421,21071,9927,2229,535,40362,1272,8030,26,1161,334669,435833,267
,錦屏里,1022,814438,13848,16108,649873,32600,12815,1108,552,71433,83,15717,0,301,523694,688259,118
,金田里,967,777436,13603,15406,627959,31032,7862,1757,509,59054,113,19480,6,656,500436,649913,524
"表166-E(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：高 雄 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,廣昌里,855,622224,6277,7146,525800,30854,7211,1606,523,32761,642,8617,338,449,418983,515280,901
