"表166-J(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：新 竹 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,五埔里,636,434153,3701,3019,383513,15653,4336,464,372,18476,66,4098,0,455,298866,349506,99
,田新里,872,685284,4426,8380,573779,37042,8998,921,1033,43455,22,5886,0,1340,462126,573631,149
,旱坑里,643,492273,11552,6707,413489,16968,2612,747,477,29947,74,8003,0,1697,328938,408252,228
,北平里,178,118782,2635,463,103477,4031,985,271,92,5210,0,1616,0,2,79573,94878,41
,南平里,292,223672,1201,787,192816,5814,3743,845,182,14958,67,3152,0,107,153376,184274,278
,上寮里,621,506037,9288,4546,427833,19538,3198,993,612,30449,11,5943,0,3625,345089,423293,68
,下寮里,830,834675,16565,6278,662511,31133,10980,2775,1006,83326,0,14169,170,5760,552201,724290,700
,巨埔里,345,274134,1859,589,227822,9952,2191,235,234,24794,460,4748,0,1250,181865,228566,42
,照門里,446,334309,8596,1321,285633,12815,2646,216,356,19157,48,3029,0,492,224989,274077,74
,清水里,127,91881,1417,1949,77062,3103,1382,34,83,5093,0,1165,0,593,60658,75478,38
,鹿鳴里,212,165006,1619,1654,141729,5403,1297,130,211,8758,0,2331,0,1875,111799,135520,43
,新北里,160,126920,1556,637,107238,5170,85,329,69,10272,10,1477,0,79,86059,105741,29
,內立里,338,249140,1913,3050,208381,13238,1621,531,221,17757,0,2330,0,98,163526,204285,172
,寶石里,280,233445,2670,674,198840,10069,1502,675,182,14985,5,3038,0,805,160760,195365,6
,新民里,354,253040,2483,3752,211430,11413,2946,303,1017,13374,2214,2912,0,1195,168013,209623,78
,文山里,1522,1336854,15761,7388,1104173,46030,13064,2422,1275,128985,252,15805,0,1700,903965,1136646,460
,其　他,1,72,0,0,0,50,0,0,0,22,0,0,0,0,0,72,0
,合　計,9562,7735620,103801,76374,6450771,323943,79024,13894,9126,549505,5869,96205,295,26812,5199118,6485483,3827
竹北市,竹北里,2217,2886244,35722,22703,2397712,92968,33656,4079,4349,221091,529,70109,0,3327,2079154,2567623,912
,竹仁里,3121,3129987,44587,41633,2591247,119730,57997,3672,3918,211595,2607,44003,40,8961,2179365,2719278,1592
,竹義里,1971,1889547,27393,24684,1582339,71743,24754,5966,2128,111901,328,32277,9,6025,1318074,1625286,951
,新社里,2506,2468238,30945,26890,2089663,90615,25750,4424,4937,153130,1714,36355,510,3305,1743304,2122177,2858
,新國里,1808,1882995,35091,34107,1569151,65546,18565,5170,2109,107703,1524,40183,0,3845,1320736,1634582,443
,聯興里,1546,1441074,25495,13821,1198558,49415,15329,3148,1649,103408,71,25030,73,5076,982460,1224976,711
,斗崙里,4437,7758935,67640,88000,6209006,238226,129024,28656,12603,696254,16287,219994,131,53114,5566982,7118678,4664
"表166-J(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：新 竹 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,鹿場里,3519,7898784,55654,80376,6287635,217892,128398,30943,11333,769708,6626,217174,242,92805,5759670,7368023,4031
,東平里,4199,9427064,28825,53238,7711362,208190,82263,43037,10975,945752,12285,285357,1629,44152,7071821,8787377,7801
,中興里,2437,5219362,17163,41954,4165244,148602,78122,16990,6201,541982,6390,158790,122,37802,3813225,4867763,3303
,隘口里,893,1699170,11374,17834,1342907,44793,29465,8511,2435,178400,5759,54791,303,2599,1214989,1571233,2061
,東海里,1044,878406,32912,6207,712807,38759,17501,1226,868,46006,327,15538,0,6256,576244,741851,198
,十興里,3007,5616068,33710,53022,4695998,142200,59838,17956,6483,404248,473,184373,453,17312,4248224,5167642,4778
,麻園里,699,614595,12922,5887,505331,18436,4854,839,672,52678,429,8247,0,4300,409815,519079,100
,溪州里,811,739557,8283,7672,614996,27963,12703,2163,703,57007,195,5934,0,1937,508026,632953,242
,白地里,694,551484,21610,5324,457483,17355,3404,1491,469,38179,852,4696,0,621,368213,462214,184
,新庄里,356,272920,3991,3301,226330,8828,4546,320,304,20223,74,4786,0,217,180186,226776,136
,新港里,372,290916,3448,9341,234119,10162,2734,269,519,26755,0,2438,0,1131,185001,241798,39
,大義里,488,360399,6500,1559,310804,11541,5383,1162,247,18768,0,3441,0,995,247329,296923,34
,尚義里,431,327422,6050,659,286374,11005,4027,343,489,15662,0,2599,0,214,229203,270252,102
,崇義里,590,442291,12756,3994,383188,10964,5244,875,604,18341,563,4977,0,786,304270,363730,117
,大眉里,644,603427,7748,4634,489857,23308,4759,392,488,62417,151,7522,0,2149,403825,517395,147
,泰和里,2136,2136938,29667,15072,1782419,65237,51569,2834,3316,145046,248,36704,0,4827,1481324,1835843,913
,北崙里,1417,2044257,24369,35649,1539392,84020,48578,4829,1834,235777,269,48606,242,20690,1346047,1850930,1710
,新崙里,2229,2613368,56469,31625,2064200,81666,27642,4641,2662,272767,1264,55518,78,14836,1756682,2306589,744
,福德里,1141,1027127,8651,26094,823168,50265,36536,1403,1213,57099,1165,15481,148,5903,681983,885940,837
