"表166-P(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：雲 林 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,明昌里,1529,1093523,48137,25395,869455,51182,14689,1506,899,68066,609,10637,0,2948,692910,916978,299
,東明里,225,173106,4369,252,130867,4607,5074,65,47,26706,0,857,0,263,102168,144408,60
,新南里,119,64426,1618,228,53365,3371,187,90,64,5168,0,317,0,19,39585,50646,0
,阿丹里,225,147763,3332,1723,122971,4780,868,1107,272,11553,42,1114,0,3,97347,122139,23
,將軍里,393,271534,8360,2999,227051,12814,1861,42,180,12900,48,4801,0,479,179447,223930,54
,林子里,330,230166,10602,2758,174205,8502,1605,77,147,27266,606,3610,0,789,135547,191508,99
,石龜里,177,110287,2266,2037,89978,5220,1073,12,202,8463,0,840,0,197,69521,89830,3
,石溪里,210,152319,7479,1379,118372,5469,517,52,132,11401,1662,5049,769,39,92117,125938,1279
,靖興里,221,163462,3694,4446,128058,8651,1083,191,55,15879,0,1223,0,183,100957,136362,28
,其　他,1,1869,0,0,1868,1,0,0,0,0,0,0,0,0,1760,1761,0
,合　計,10178,7393558,243392,149905,5710438,396299,92795,9394,5565,672518,7659,81161,2105,22327,4544516,6227433,7076
虎尾鎮,東仁里,830,734596,19896,31571,513089,52855,27086,738,589,77712,790,8121,2,2147,419984,641491,1007
,新興里,527,437208,13919,23485,286241,32828,15266,1858,262,59116,0,3177,0,1056,238526,389494,258
,公安里,943,784464,21451,28814,596471,57611,9523,854,342,58901,1423,6497,0,2578,491056,679049,299
,德興里,721,572498,9816,15578,454627,32017,4111,654,589,42586,228,7829,0,4462,372538,490409,517
,中山里,297,237760,4348,16515,146192,20163,13997,285,206,33374,19,1838,0,823,120752,212320,181
,西安里,1029,886675,24739,18906,632836,74934,21457,645,418,97652,333,13320,0,1435,520015,773854,739
,安慶里,509,458566,4720,15666,343923,26675,2879,1196,378,56834,1996,2792,0,1506,284488,399130,254
,平和里,1283,1479407,22583,18012,1111848,47135,14295,3342,1256,236939,990,19048,207,3753,933808,1301219,1228
,興南里,614,580652,12289,15985,487917,21447,5145,420,277,30948,173,5375,0,675,411275,504010,459
,新吉里,1102,1071053,19728,23020,883274,47536,7516,1257,611,67731,3881,14762,284,1455,741063,928894,1115
,穎川里,498,396403,19917,5044,306959,21100,6897,671,191,32170,80,2320,147,909,246461,335899,552
,延平里,229,160319,6103,2154,134663,5225,791,486,86,6426,0,2876,0,1509,107670,133327,132
,惠來里,495,307061,15698,2884,255972,10233,822,199,243,18986,0,1990,0,34,196996,248085,7
,頂溪里,536,341729,15602,3393,272338,13489,1617,341,369,31066,68,3400,0,46,211117,280508,15
"表166-P(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：雲 林 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,中溪里,320,206018,11061,3767,154178,7996,2851,311,218,21978,0,1230,0,2428,118153,169993,160
,下溪里,361,261944,11483,3150,207725,8068,3810,153,118,24851,0,2410,159,18,165864,220083,431
,埒內里,620,440751,15186,8553,359246,13358,2374,1481,891,31684,0,4112,0,3866,286535,368041,17
,堀頭里,189,124699,4856,1423,94368,3562,2155,271,63,17105,0,816,0,81,73456,103787,55
,安溪里,455,334335,14650,4334,268946,16007,4207,235,89,20913,11,2642,0,2300,215345,280734,30
,興中里,375,264665,8005,5331,222698,11756,856,196,692,8841,0,5219,0,1071,177854,219821,91
,廉使里,714,538779,9911,5006,443941,22385,2789,445,246,45886,134,7557,0,480,357255,452093,147
,東屯里,293,206727,5409,3732,164006,6189,2673,9,79,21645,176,2297,395,118,127961,170682,798
,西屯里,329,232789,14209,1620,184650,8470,748,563,173,20538,0,1350,0,468,147095,195235,51
,芳草里,160,104839,6577,1677,75994,5130,100,264,89,13292,0,1214,0,501,59040,87885,174
