"表166-U(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：花 蓮 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,南富村,176,111448,1455,412,103221,1610,872,349,44,2740,0,584,0,161,81173,89400,56
,北富村,156,85569,638,876,81766,1022,347,0,32,501,0,387,0,0,62886,66689,117
,大富村,72,38171,1049,316,33670,1731,355,0,4,778,0,260,0,8,26329,30830,1
,大豐村,76,49458,275,319,35596,4187,825,7,102,7819,0,217,0,109,27730,41592,57
,大興村,69,40523,998,138,34489,1683,283,310,19,1518,0,747,0,339,26012,32047,46
,大華村,298,204020,7672,4126,160910,10002,1269,244,356,15948,102,3292,0,99,126702,169811,142
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,2412,1509756,37004,20024,1302069,48288,9418,2436,1574,70218,277,16802,0,1646,1017392,1225472,830
玉里鎮,中城里,1507,1228615,32648,25473,1036417,64299,8234,1148,772,44092,3457,11025,0,1051,849503,1041701,447
,國武里,398,286720,9616,5706,218382,23370,7188,326,306,17579,0,4010,0,236,177334,245673,177
,啓模里,343,242766,4548,3848,213035,11343,521,89,139,7301,312,1599,0,30,172815,202546,205
,泰昌里,244,218728,3701,1311,183287,12463,1577,86,84,12159,2420,1289,27,326,154667,190081,506
,源城里,249,147864,3992,952,134462,2214,330,156,118,3484,0,2106,0,50,103456,116858,13
,長良里,85,47385,543,188,39880,764,468,330,216,3316,0,309,0,1370,30094,37598,1
,樂合里,142,85308,2825,186,71639,4311,1081,0,58,4587,0,621,0,0,54211,67880,7
,觀音里,209,118647,3390,2759,99742,2396,408,251,107,8448,0,885,0,262,76230,95136,147
,松浦里,249,120180,2666,389,113198,1367,97,260,55,1202,11,613,0,322,83077,90059,50
,春日里,95,86723,600,249,55369,1699,64,192,58,27463,0,946,0,82,44683,76037,10
,德武里,99,57567,2351,468,52871,1342,28,34,26,153,0,294,0,0,40607,45303,2
,三民里,138,103700,5105,776,86054,3739,1378,132,463,5329,0,711,0,13,69347,86992,4
,大禹里,209,127860,2642,1198,114025,4473,287,68,66,3921,0,1176,0,3,88872,102707,22
,東豐里,73,41504,711,29,38509,508,193,0,61,751,0,738,0,4,29216,32211,2
,永昌里,302,202568,6195,378,173312,13463,1248,141,111,5964,95,1597,0,63,139631,168886,108
"表166-U(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：花 蓮 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
