"表166-K(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：苗 栗 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,中和里,262,147469,3611,144,130833,5166,1478,3,113,5092,0,1029,0,0,98882,115518,0
,南港里,315,188848,1981,2394,170966,4175,617,32,93,6281,0,2013,0,295,131985,149867,165
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,8843,6146690,199647,64348,5025149,251039,56691,6372,4944,446458,3877,72791,53,15321,3914010,5035547,1348
三灣鄉,三灣村,704,500346,8375,5187,418903,29664,1882,636,592,29927,0,4333,0,847,327402,409161,51
,內灣村,189,115829,1643,2920,100606,5507,670,171,160,2678,232,1039,0,202,77413,92636,0
,銅鏡村,256,208932,4179,794,164727,7632,1823,345,192,26861,19,2071,0,291,130993,175223,144
,頂寮村,63,50299,429,1070,34253,4127,192,97,28,9359,24,720,0,0,26667,42713,15
,北埔村,141,88303,1309,331,76386,3375,236,0,71,5656,0,907,0,31,57860,69777,0
,大河村,124,92207,3485,110,77750,1587,773,424,151,7156,0,771,0,0,60090,75020,24
,大坪村,125,91836,4461,148,80004,3444,111,0,78,2800,0,791,0,0,62812,74645,5
,永和村,90,65801,719,149,47475,1314,3835,116,35,11797,0,348,0,12,35800,54335,74
,其　他,3,1453,9,0,1373,70,0,0,1,0,0,0,0,0,1049,1129,0
,合　計,1695,1215005,24609,10708,1001478,56719,9522,1789,1308,96235,274,10980,0,1382,780089,994638,313
南庄鄉,東　村,255,171127,2834,750,141020,9713,1654,171,86,13017,0,1169,0,713,110741,140848,149
,西　村,170,102522,5081,2175,76287,4297,2322,221,465,10917,0,661,0,97,58262,84498,11
,南江村,267,189729,3149,4495,154826,6806,3912,346,68,14064,25,1944,0,94,120683,156796,13
,田美村,214,144659,2848,1398,119812,7508,1977,44,122,9826,15,980,124,6,93850,118698,375
,獅山村,193,130450,2785,3184,107920,5473,579,91,92,5772,0,4371,0,183,85900,108430,3
,南富村,294,215770,4304,1321,169630,9750,2816,2795,119,22879,28,1936,99,95,132625,178766,325
,員林村,282,193248,4289,1123,163330,8928,1515,1784,252,9687,0,1505,0,834,124561,154761,124
,蓬萊村,154,109841,3993,1251,86770,4628,2557,204,57,9908,146,329,0,0,67757,90828,18
,東河村,187,112914,4115,2144,97296,2789,1868,633,125,2125,0,1550,0,268,72584,88202,250
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,2016,1370261,33398,17842,1116891,59892,19200,6287,1386,98195,213,14445,223,2291,866963,1121826,1269
大湖鄉,大湖村,452,318270,12379,4316,248447,27847,3083,930,322,16921,0,2951,0,1075,196581,266404,332
,明湖村,182,126724,2404,3780,103957,8389,2148,32,74,3827,20,1916,0,177,82798,105565,41
,靜湖村,454,300323,10795,2362,253711,15093,2427,270,193,10502,400,4259,0,311,197512,244623,97
,大寮村,297,210719,5751,3305,168207,8208,5045,293,99,18321,94,1294,0,102,130622,173134,18
,富興村,290,178384,7821,3051,144653,6939,2310,220,112,11209,173,1707,0,188,112848,146579,233
,大南村,104,66149,3244,235,53675,2125,339,403,9,5138,0,750,0,231,42329,54804,7
,南湖村,158,103616,876,527,92004,3072,493,52,63,6015,0,515,0,0,73512,85124,2
,義和村,293,202525,7574,1540,155864,6864,2509,530,295,21860,72,2463,0,2954,120936,167597,24
,東興村,137,96032,399,392,77018,3395,5639,53,12,7750,0,1046,0,328,60738,79751,11
"表166-K(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：苗 栗 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,武榮村,96,53128,717,486,46840,2363,432,96,34,1611,0,504,41,4,35357,41645,240
,新開村,209,147497,3682,1545,113001,5830,2651,563,278,16896,1447,1505,0,98,88077,122574,64
,栗林村,160,100534,1977,805,84357,5302,3391,38,68,2732,0,1554,0,311,65323,81500,29
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,2832,1903902,57619,22344,1541734,95428,30468,3481,1560,122781,2206,20463,41,5778,1206633,1569299,1098
卓蘭鎮,老庄里,478,318099,6871,4024,266617,16516,1764,267,241,19996,0,1762,0,40,210345,261827,361
,新榮里,246,161926,3255,8848,131729,7051,1645,132,144,7710,19,1146,0,249,104059,134257,49
,中街里,197,141396,2463,7534,101404,9716,3102,417,176,14578,54,1399,0,552,81319,121310,82
,新厝里,338,210567,5725,3275,167051,14547,2041,71,178,13421,160,3426,0,672,129843,173359,53
,豐田里,226,143519,3880,1817,126460,5617,1136,10,97,3941,0,559,0,2,99305,116365,6
,西坪里,151,104854,1253,1546,75396,6097,3177,88,61,15672,0,1253,0,310,58322,87779,89
,上新里,493,314794,7115,2269,267907,9567,1765,56,317,20970,1005,3611,0,212,208569,255455,321
,內灣里,440,278420,3082,1889,237239,8568,5090,207,599,17448,5,2895,81,1318,184462,225642,417
,苗豐里,166,117078,4687,1658,98563,3946,536,148,104,6664,0,708,0,64,78290,96805,9
,坪林里,320,200907,4415,3589,169521,7091,4299,68,270,10479,0,807,0,368,132046,163432,17
,景山里,188,133736,3994,1455,114479,3350,1349,244,174,7620,0,1055,0,15,92171,111428,24
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,3243,2125296,46738,37906,1756366,92066,25905,1709,2362,138499,1244,18621,81,3801,1378731,1747659,1428
獅潭鄉,百壽村,55,34147,1375,316,28008,2093,0,0,20,1479,0,506,0,349,21329,27467,0
,永興村,123,79998,761,492,68991,5635,585,0,178,2760,0,592,0,3,53279,64287,5
,新店村,215,140943,3923,2303,118093,6816,995,63,138,7234,0,1273,0,105,91015,113865,101
,和興村,112,75054,641,1375,65605,2490,277,18,42,4124,0,481,0,0,50518,60220,0
,豐林村,135,88712,1993,320,73706,2538,476,0,94,8682,0,708,0,195,57253,72259,21
,新豐村,83,58619,3136,662,48955,2651,322,88,33,2216,111,320,0,125,37727,46935,0
,竹木村,152,103709,1207,738,87478,5124,2396,0,98,4831,0,1779,0,58,68924,85155,2
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,875,581181,13037,6206,490836,27347,5052,168,603,31326,111,5660,0,836,380044,470188,129
泰安鄉,錦水村,206,146649,6127,2403,117578,4413,5960,0,212,8401,0,1321,0,235,90007,119078,135
,清安村,179,125727,586,2464,106594,3514,3805,566,139,6716,17,817,0,509,83345,102478,50
,大興村,90,60641,879,557,56738,1689,105,22,13,341,3,293,0,0,44640,48543,12
,象鼻村,91,67983,341,3443,61242,1779,251,59,5,739,0,124,0,0,48600,55340,76
,梅園村,44,35186,640,98,33669,423,109,38,0,72,0,137,0,0,26477,27994,0
,八卦村,41,27052,1113,139,21582,501,610,0,24,3032,0,51,0,0,15835,21306,0
,中興村,80,51113,1808,93,45548,1828,185,0,20,1288,0,331,0,12,35139,40704,0
,士林村,55,33572,343,555,31341,702,73,0,28,406,27,96,0,0,24542,26773,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,786,547924,11837,9751,474292,14850,11099,686,442,20994,48,3169,0,756,368584,442216,273
其　他,其　他,21,11234,747,24,7281,987,1407,57,14,688,0,29,0,0,5327,9280,0
,合　計,21,11234,747,24,7281,987,1407,57,14,688,0,29,0,0,5327,9280,0
