"表166-K(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：苗 栗 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,苑港里,334,216160,6200,3180,177547,6191,1906,47,92,16111,14,4870,0,1,134916,173529,5
,房裡里,706,434060,11996,5446,358360,15436,4926,175,490,31446,64,5401,0,320,271203,346904,46
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,11686,8260893,280860,103577,6392787,317948,94115,11933,10276,921487,1890,111501,508,14012,4888935,6757139,3211
通霄鎮,通東里,347,264826,8035,2791,193327,27139,3569,62,233,26820,47,2194,0,610,156273,227772,152
,通西里,630,472757,11541,7450,370439,35348,4247,1615,399,34778,0,3111,46,3784,298010,400328,434
,平元里,617,431476,15925,3570,359467,25467,1771,431,325,19957,48,3967,0,548,284342,356351,78
,圳頭里,181,112397,4048,919,89610,4410,1923,36,495,10014,270,409,0,265,66793,89580,20
,梅南里,443,285189,9323,1772,244564,9329,2235,399,420,12273,0,3274,0,1600,188977,229602,8
,通灣里,655,431619,7229,6180,366324,10414,3153,337,464,30085,0,6382,0,1052,278840,344134,226
,新埔里,335,195987,3772,2366,167569,5848,1607,123,178,10730,380,2922,0,491,126665,155083,45
,白東里,449,295080,7537,1994,248763,8746,2888,241,265,21902,19,2632,0,92,189347,235664,70
,白西里,212,131117,1935,231,114686,4483,533,114,90,6510,0,2476,0,59,88142,104573,0
,內島里,224,152463,2945,356,130889,3030,353,93,78,13035,0,1679,0,6,101099,122673,3
,烏眉里,217,155370,3151,2046,132501,6534,1167,257,327,8372,0,987,0,29,104872,127740,53
,楓樹里,102,73741,3167,391,54751,2826,691,138,90,11244,0,442,0,0,42605,61595,0
,內湖里,496,316580,5347,1754,273598,14337,3216,137,494,13796,10,2404,0,1488,211014,253996,31
,福源里,196,121229,2829,1654,108939,2828,427,25,99,3157,0,1028,0,243,83906,96197,10
,城北里,176,121221,3587,879,94954,4436,1865,0,181,12089,2025,1182,0,23,72998,99265,0
,城南里,223,177522,4153,970,139128,7704,1024,365,78,22307,0,1777,0,17,109696,148090,217
,南和里,201,153834,12371,1464,111580,6489,3601,103,55,16037,270,1119,0,747,85877,128131,13
,福興里,141,96429,3355,892,77826,5258,287,327,63,7858,0,347,0,214,59361,77963,17
,坪頂里,318,206847,9889,5606,165820,7874,1200,85,124,14804,0,1435,0,9,124543,165570,2
,五北里,390,330863,12224,688,213394,6349,722,921,126,94877,0,1536,0,27,162786,280256,10
,五南里,392,242825,6364,1492,205135,7247,1690,97,209,12856,0,7504,0,229,155463,193152,57
"表166-K(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：苗 栗 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,福龍里,93,64667,1409,1346,51619,2343,778,206,42,6387,0,496,0,41,39465,52512,36
,通南里,820,570475,18008,5464,421721,14341,2949,138,662,101864,257,4740,0,332,321416,470170,19
,平安里,658,512733,5048,3502,435521,26068,4446,2180,685,25238,200,9609,0,235,350450,427662,131
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,8516,5917247,163192,55774,4772125,248849,46342,8429,6182,536989,3525,63652,46,12143,3702939,4848060,1631
公館鄉,館中村,529,394460,9887,8904,303674,32603,2731,337,417,28557,159,6839,0,352,243818,334603,388
,館南村,1153,854916,14456,9246,718860,36374,5547,435,1445,48956,325,17792,0,1481,564791,700847,361
,中義村,719,622655,9077,2719,476380,17167,2478,956,567,99589,5527,8028,25,142,378481,524756,375
,玉泉村,786,730350,14000,6316,541748,27550,6145,1380,514,124358,149,7955,0,236,436232,624834,151
,大坑村,271,179721,6035,1551,151315,5946,1832,161,176,10950,599,1001,0,155,118651,147057,24
,福基村,284,186419,5065,1054,158947,8172,1307,97,176,7869,0,3230,0,501,123142,150614,175
,福德村,101,78635,2101,39,65947,3029,67,170,60,6779,10,434,0,1,52157,64846,5
,福星村,630,450795,10150,1958,399785,15380,2379,1950,424,13605,122,4123,0,919,313123,364134,116
,石墻村,429,323299,6211,2340,256102,10304,2764,102,345,42896,0,2231,0,5,196137,263335,80
,開礦村,82,50696,1598,87,39011,1752,2184,7,21,5494,0,246,0,296,29849,41533,3
,五谷村,742,571706,11532,4800,491912,19093,5270,956,609,25451,0,11186,0,898,391421,471215,207
