"表166-M(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：南 投 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,愛蘭里,318,265099,7589,4197,225843,14526,1541,244,193,8914,0,1978,0,73,186585,225841,332
,鐵山里,354,246863,8425,2835,201177,12498,1672,1221,218,12784,117,3778,0,2139,157175,202861,27
,房里里,211,131884,3784,3810,109478,4536,529,257,144,6923,0,672,0,1751,84885,107291,7
,向善里,96,90027,4426,980,41642,2708,426,167,27,39340,0,294,0,19,31531,79917,63
,一新里,186,125189,2431,2411,70669,7313,2014,58,25,39399,0,117,0,752,54002,108522,88
,廣成里,183,116258,4628,1663,83365,9709,3157,371,24,11896,0,1184,169,93,65772,98665,458
,史港里,94,72442,4956,1121,51887,3787,1226,34,16,9113,58,245,0,0,41591,62146,13
,福興里,200,133124,7269,3312,82817,7031,2308,559,67,28774,0,846,0,142,65340,115647,87
,牛眠里,480,283775,12653,3837,233526,10883,1613,1107,226,16383,0,1288,218,2040,181627,231876,789
,大湳里,342,252833,6668,1018,215570,11393,3155,761,180,11826,0,1034,0,1228,174717,211980,64
,蜈蚣里,468,301214,13455,5504,239611,14216,5011,596,298,17013,17,5232,169,94,188727,250330,542
,成功里,52,38301,129,1881,27365,1397,1419,0,187,5759,0,164,0,0,21748,32684,0
,合成里,202,117444,4256,1030,94041,3952,1809,139,264,9447,0,2486,0,19,74266,97668,13
,北安里,899,652014,24229,13354,506901,45031,8477,964,518,31831,1525,14236,179,4772,408204,553318,1184
,泰安里,565,394081,17878,5733,316416,27210,4329,809,394,16581,351,2664,0,1718,253520,331185,324
,北梅里,758,546481,17128,7411,439408,24821,12905,814,243,39308,280,2338,50,1775,355461,462508,694
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,15015,10603475,375452,210127,8235832,546779,194447,27891,8815,848904,7873,101562,2133,43661,6601325,8968842,11725
草屯鎮,玉峰里,720,519091,11462,10306,405888,32210,7204,1008,503,44618,323,3276,0,2294,326837,440041,137
,炎峰里,729,609255,13777,14995,416108,56423,21635,829,340,72733,1561,5937,4,4912,338477,531623,825
,和平里,417,324156,16097,9195,187347,26122,38659,1416,125,33179,0,6578,28,5411,151601,288410,400
,敦和里,1978,1513985,38292,26528,1133265,81885,21731,1754,1358,193409,678,9921,144,5022,902855,1284231,1366
,山腳里,2520,2322809,72091,32216,1692143,143019,32624,2104,1352,315457,433,16799,683,13889,1382077,2013150,3070
,富寮里,1839,1442837,44684,23139,1165439,63102,16048,2634,1690,106825,808,13395,353,4720,935080,1212479,1809
,御史里,1711,1253306,36640,22299,1000454,58419,12402,2473,1402,108398,373,8576,47,1822,794140,1046992,828
"表166-M(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：南 投 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,新豐里,1149,781088,23160,6325,622625,30172,9786,1229,763,71272,432,13732,0,1591,485237,643700,216
,明正里,1134,842813,25283,22231,634801,50438,27480,3755,870,62150,140,10280,202,5184,508514,716525,1132
,中正里,208,185613,8969,8411,101784,14124,8588,427,77,40624,0,1503,0,1107,82774,166604,43
,碧峰里,1302,932227,26309,12604,772156,33426,6065,929,1174,63109,636,11231,94,4494,605128,765199,728
,上林里,1008,758078,20820,9943,575982,43723,11848,729,517,82451,434,7704,0,3927,458536,640632,612
,新庄里,996,737701,31703,9939,575663,34166,5613,660,518,65294,803,12385,0,957,456672,618711,445
,北投里,774,617343,11467,5497,426187,17012,2906,203,337,150070,0,3411,0,252,327632,518788,371
,石川里,425,319769,18087,2614,228538,11568,6665,409,459,48564,0,2618,0,246,177780,269011,185
,加老里,729,519079,24094,3523,381254,17909,6146,682,306,79300,0,3756,0,2108,295399,433224,118
,中原里,548,369657,9978,6891,310708,15758,2825,209,458,18961,7,2980,0,880,245293,304241,123
,北勢里,478,285767,9846,2816,245810,9393,1364,342,249,14835,13,892,0,208,189362,229318,165
,南埔里,1101,805981,21752,15111,624904,35137,9495,886,1714,88900,477,6251,0,1354,491686,672763,529
,土城里,396,234487,9163,4018,190268,6727,3153,155,254,16114,0,4198,0,437,144865,189084,61
,坪頂里,197,135006,3559,1855,103506,5244,3104,317,200,16173,0,1037,0,11,80579,112078,0
,雙冬里,417,252460,10864,1007,206348,7583,6087,481,160,16245,289,2590,0,806,158761,204873,189
,復興里,812,637835,15600,4843,461822,26147,5473,309,313,118397,54,4385,0,490,362001,538014,161
,平林里,237,163638,4751,921,123345,7014,3623,244,93,22044,0,594,0,1009,96609,136951,129
,碧洲里,723,532921,10663,7538,437080,22403,6511,904,724,41290,0,4512,123,1172,344366,440522,589
,中山里,774,630919,14298,19725,434221,52281,17271,537,396,84375,9,2992,0,4813,351374,548071,195
,新厝里,1008,812465,18063,18253,599341,72632,18125,931,451,71204,81,7565,32,5787,486600,699723,515
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,24330,18540287,551472,302746,14056989,974036,312429,26554,16806,2045991,7552,169097,1709,74906,11180237,15664960,14940
竹山鎮,竹山里,553,413700,14653,23756,296720,29329,7964,715,605,32308,0,5714,0,1937,241972,358952,431
,中正里,169,123456,4704,6182,83585,9685,3400,269,57,14255,70,1127,0,121,67623,107510,207
,中山里,1080,752823,22931,16572,586412,53480,8256,740,450,51625,170,8403,126,3657,469243,635604,839
,雲林里,972,731589,15698,18944,559434,52996,8514,1763,324,63582,1658,4261,6,4408,449379,621551,611
,硘󼍕里,372,248144,5644,3849,206022,11998,2309,504,277,15777,0,1699,0,63,162380,204502,306
,桂林里,844,591045,10640,9549,499197,27117,2626,651,1222,33718,942,3709,471,1201,402732,494546,1186
,下坪里,260,199017,4992,5200,164977,11092,2049,0,97,7078,12,2715,0,804,133331,167370,10
,中和里,214,131968,1512,1444,114272,4763,881,53,87,8022,0,789,0,144,88871,106567,3
,中崎里,305,182287,4230,1708,155552,8823,977,137,109,9799,0,934,0,19,119703,146439,143
