"表166-M(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：南 投 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,新興村,110,59716,2191,364,48996,1621,490,233,72,5565,0,183,0,0,36708,47428,0
,新山村,36,33040,273,2908,19861,408,0,0,7,9448,0,127,0,7,15620,28798,64
,郡坑村,50,24681,908,1184,18311,1003,123,44,6,3039,0,56,0,8,13023,19392,0
,上安村,187,100188,5482,1328,76772,2613,1039,32,156,12194,0,411,0,162,59288,82705,11
,民和村,130,77812,2517,512,63878,2070,781,0,53,7411,0,431,0,159,48544,62479,0
,永興村,53,26391,130,6,24102,714,27,0,14,1337,0,60,0,0,18747,21036,0
,玉峰村,154,85893,3633,993,69961,3590,379,295,64,5931,0,750,0,296,54007,69938,3
,興隆村,47,24200,472,25,19225,460,1001,0,6,2950,0,61,0,0,13630,18605,0
,南光村,424,292344,19884,5270,224980,17109,3994,114,254,15430,1143,3429,16,722,179614,246979,296
,其　他,1,645,7,0,633,0,0,0,0,6,0,0,0,0,519,531,0
,合　計,3435,2143115,92892,41755,1679558,96746,27946,3020,2322,173972,1143,18148,29,5586,1318163,1782045,1742
信義鄉,明德村,287,199943,4438,5573,166605,7140,1905,425,173,12082,0,955,0,648,132277,165615,162
,地利村,153,87178,606,4277,74436,2326,9,0,33,4627,0,242,0,623,56168,68911,139
,人和村,157,98327,3967,950,87881,1891,432,0,22,2419,0,308,0,457,68573,79018,13
,愛國村,91,64921,898,205,58866,2322,709,0,35,1423,0,450,0,12,47302,53357,7
,自強村,129,81828,1761,443,65612,2719,788,0,63,6380,0,4002,0,61,51427,67643,69
,羅娜村,194,121950,5645,365,111625,2302,402,140,129,836,0,428,0,78,87340,97664,49
,望美村,267,166246,3007,312,157560,1266,73,87,111,3277,0,517,0,35,121894,130579,29
,同富村,182,129589,8500,5033,101286,5835,2082,273,164,5022,0,717,0,677,81918,110221,3
,神木村,77,48622,1638,81,32380,1025,1611,40,7,11598,0,77,0,165,24717,40959,0
,東埔村,155,97562,4894,979,86937,968,472,0,51,2889,0,371,0,1,67594,78219,41
,潭南村,66,29869,198,1160,27180,466,606,0,0,56,0,203,0,0,20065,22755,0
,雙龍村,78,39798,193,2088,36652,387,0,0,0,24,0,453,0,0,26655,29802,1
,新鄉村,84,52012,1297,191,49786,441,0,9,11,176,0,99,0,2,39419,41645,1
,豐丘村,91,53591,115,234,46678,1953,120,0,18,3986,0,487,0,0,36238,43152,4
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,2011,1271435,37155,21892,1103483,31041,9208,973,817,54795,0,9311,0,2760,861588,1029540,517
仁愛鄉,大同村,340,246900,30479,12738,157394,10528,13918,1912,191,17192,156,697,27,1666,122823,212317,309
,春陽村,142,82796,1442,317,77836,807,1091,127,79,919,0,178,0,0,59455,64415,0
,合作村,60,34481,93,1854,31862,477,50,0,33,0,0,96,0,15,23286,25905,14
"表166-M(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：南 投 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,發祥村,95,56710,73,1519,53261,279,74,0,16,1223,0,265,0,0,41230,44679,4
,力行村,60,48982,77,116,45788,1665,30,436,26,22,0,817,0,5,37787,40981,1
,法治村,76,46253,1775,158,41574,899,205,0,34,1495,0,112,0,0,32326,37004,7
,親愛村,204,144523,3033,627,136468,2098,920,111,68,509,14,613,0,61,108621,116676,56
,中正村,129,77073,292,1298,74053,1000,119,24,22,157,0,91,0,17,56725,59745,26
,互助村,193,150459,573,546,142948,4602,323,13,59,466,0,420,0,508,116132,123642,10
,新生村,101,65160,972,1450,59043,2017,512,234,14,614,0,302,0,1,45068,51185,0
,萬豐村,71,48026,2027,1080,42330,497,0,0,5,2040,0,47,0,0,33130,38826,15
,精英村,106,61951,6534,368,47415,1384,1393,126,2,2705,0,980,78,966,36143,50679,310
,南豐村,207,129811,857,513,112219,2541,1889,112,92,10095,0,1127,54,312,87322,104914,275
,榮興村,13,8314,227,3,6182,385,134,0,1,1349,0,34,0,0,5030,7161,0
,翠華村,32,17824,754,158,16487,168,31,0,0,193,0,34,0,0,12780,14117,16
,都達村,58,36662,2362,97,33546,296,120,13,15,77,0,137,0,0,25518,28635,3
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,1887,1255925,51573,22842,1078407,29644,20809,3108,658,39054,171,5948,160,3551,843377,1020883,1048
其　他,其　他,23,23506,73,400,17289,1377,769,107,1,2872,0,35,0,583,15171,21387,0
,合　計,23,23506,73,400,17289,1377,769,107,1,2872,0,35,0,583,15171,21387,0
