"表166-A(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 北 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,通化里,2108,2920971,34584,50768,1675386,139521,143281,16654,2053,808205,542,28049,1122,20806,1436059,2681489,5816
,龍生里,2390,3952456,17912,81163,2718646,271689,116849,15264,2791,646447,9798,40542,2627,28729,2438131,3669243,16116
,新龍里,2398,3411646,12730,73411,2541145,217654,68779,10392,2631,429100,1936,38386,3032,12450,2256269,3124507,13106
,住安里,1802,2895098,25189,44449,1574104,141459,111202,13580,1773,959514,399,15099,1608,6721,1378281,2698888,6682
,錦泰里,1269,2880400,10996,40896,1350520,136855,49955,6808,1715,1216044,17490,32135,545,16442,1200838,2729067,6030
,建倫里,2390,6825434,48326,115531,2334259,258248,460298,33309,2007,3490050,2645,41516,2961,36285,2106744,6591784,11411
,錦華里,1976,3693091,16120,89444,2085092,194191,149266,13185,2738,1056279,6711,55638,3671,20756,1847274,3448063,13516
,光武里,2887,4417426,49137,79333,2370841,239524,302544,29946,3733,1249758,18147,45341,3320,25801,2085827,4131533,12654
,仁慈里,1949,4150052,52977,79946,2307350,207174,181179,21359,3781,1227068,10527,30695,1272,26721,2092389,3934843,9364
,黎孝里,2759,2934316,19171,53081,2211718,188386,63493,10888,3311,343111,6167,27176,888,6925,1888181,2610141,7106
,民炤里,3098,8458059,65991,203833,3275918,370733,391177,67146,4823,3855037,28361,145290,3101,46649,2948711,8125680,16336
,昌隆里,1237,1770360,14177,30961,911694,142168,150428,7174,1080,472285,1900,22074,3048,13372,795278,1653189,7430
,黎和里,1696,1866567,13447,32921,1468573,88753,25979,7975,2114,198041,1765,20138,717,6145,1259955,1657933,5418
,龍雲里,1827,4087025,28325,99728,1724989,165394,187282,20976,1652,1801502,10951,35938,1204,9084,1525924,3886279,6800
,芳和里,1954,2295014,18296,44194,1735462,139914,48759,6634,2337,244411,1274,48573,1027,4133,1504065,2063369,7013
,龍安里,2316,5413706,137310,243737,2585831,286749,168173,14150,6692,1856265,34800,48959,5786,25255,2325989,5137996,21967
,義安里,2093,5614046,55244,175191,2264577,190129,293842,44343,1526,2490015,32035,38052,1468,27624,2034757,5383366,10854
,虎嘯里,1435,2481826,8802,30808,1399954,137419,112849,15124,1362,707064,12855,16988,1472,37129,1243812,2324861,8022
,龍淵里,3193,4901672,19090,116841,3440611,308436,119807,31192,6214,722750,38150,63801,4159,30621,3050464,4504261,23807
,龍坡里,2100,3443004,17214,115156,2246991,278996,93152,11115,2952,600818,15749,48509,3627,8726,2009674,3199745,20986
,龍門里,1609,3360374,105075,121170,1860814,183833,75379,9153,3232,923615,19200,36702,2566,19636,1675963,3176318,12472
,敦煌里,2307,4312587,80126,95438,2243572,232990,231848,27617,2307,1329395,13651,34353,3252,18038,1997310,4063606,13649
,羣賢里,2235,3769370,64050,75498,2068534,215209,182074,15088,4062,1044162,45299,29804,2358,23231,1837782,3533442,9924
,車層里,2450,5105999,51089,97081,2341223,243803,301511,24781,3411,1873226,8429,74874,2699,83872,2103435,4901153,10373
,光信里,2844,4882306,19163,155195,2835949,264712,209518,26672,3420,1132623,24409,107609,1444,101592,2524529,4551068,11134
,和安里,2431,9673406,274347,100068,2859776,243017,192024,57062,3447,5866665,4937,46316,1711,24036,2578280,9392986,11239
,正聲里,1855,3966748,38597,99098,1975666,176935,180209,15516,2956,1367826,6611,42269,2213,58851,1784584,3773687,9919
,誠安里,1614,2050275,9740,52762,1199736,131047,162539,21687,1625,376810,13408,40250,935,39737,1039553,1888455,5442
,華聲里,1557,3374752,52652,68617,1419662,132995,106210,14880,4191,1510063,16962,17963,4040,26516,1251669,3206641,10225
,臨江里,1325,1300418,16651,30413,1006553,68809,41699,3734,2621,111124,519,13962,694,3639,853368,1147215,3422
,龍陣里,1341,2705299,10917,61650,1285511,130544,86280,7777,2071,1054277,7533,20248,1441,37050,1138158,2557801,5869
,龍圖里,2574,4382174,31367,128386,2611182,262379,178872,30760,4640,998717,23132,50495,1692,60552,2333137,4099523,11153
"表166-A(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 北 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,古莊里,2628,3692982,32389,115946,2420953,284363,153716,13208,2616,578879,10646,54999,5159,20109,2128643,3394369,22115
,錦安里,2133,4460688,16025,108953,2692094,252700,133585,22741,2851,1151727,10675,36603,4457,28279,2449155,4214019,17150
,大學里,3152,4941688,23335,120991,3224746,353213,186218,17191,4465,826196,24361,104762,4157,52054,2876542,4588050,23636
,古風里,1544,2553622,39191,52014,1513093,273867,79212,8842,1997,506601,16853,49304,432,12215,1344354,2383785,7046
,全安里,1716,4679630,34441,74978,1916153,185984,193473,16244,2350,2147193,7561,84857,1186,15209,1735220,4495274,6307
