"表166-A(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 北 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,行政里,2058,2089990,23520,46724,1420429,105143,80738,8129,1954,373565,7215,15941,427,6204,1186122,1855586,4068
,聚葉里,1339,1456171,11981,43255,987705,75931,62324,10329,1413,223957,14924,20390,45,3917,840430,1308851,2696
,正得里,1452,2434913,29047,35991,1068212,93542,129371,8131,980,1034308,10221,14965,721,9423,918853,2283601,3148
,中吉里,2066,3154567,26617,65271,1634470,144430,197933,20611,3388,774580,772,21005,2301,263188,1405028,2919286,8170
,新喜里,1823,1955269,14955,40582,1388213,82893,71975,9071,1750,296829,10202,36319,1552,928,1170887,1738179,4692
,埤頭里,1301,1327246,9118,18986,947361,71584,49184,9193,1569,206512,1768,9891,97,1982,801649,1180417,1494
,大直里,3338,4288871,51167,92721,2892766,276285,120556,14191,5025,749476,10880,55816,596,19392,2504776,3900494,8451
,劍潭里,1183,1274665,9222,16586,917063,110053,30960,5798,1325,159613,5586,14003,1221,3235,779356,1137062,3997
,力行里,2363,6780765,112534,144084,2272157,197977,280468,29192,2284,3617330,5256,69462,887,49136,2020512,6522946,6865
,朱崙里,1074,1410784,7032,36303,829468,73113,94759,5769,1254,335818,2649,18796,1269,4551,716391,1297195,4584
,晴光里,1923,3078239,38456,36042,1538243,127668,127580,14325,1654,1168709,981,19233,1234,4114,1336770,2876352,5845
,永安里,3536,8056025,122404,120674,4240379,323497,349105,35253,10132,2653220,45274,114928,2098,39060,3828783,7643005,14099
,圓山里,1496,1707451,51394,23749,1128797,77981,55977,129807,1359,218653,948,13462,851,4472,960743,1539271,4675
,民安里,1686,2147981,35151,48885,1096111,124314,226019,8240,1107,586379,1933,11950,655,7239,926296,1977915,4454
,行孝里,1329,1167612,28003,19579,898776,61692,38914,3876,1169,101637,134,11873,10,1949,742814,1011419,1929
,龍洲里,1890,2385552,14649,41545,1738982,180882,38182,8577,2302,301540,12597,28754,2545,14997,1522931,2169190,7453
,行仁里,2709,2505115,24449,35883,1910515,113003,54974,6911,3098,325382,2315,25553,1750,1284,1580467,2175338,6074
,朱馥里,2081,2262589,17468,54885,1648921,126028,73740,9809,3010,274363,9699,37076,970,6622,1413370,2026598,4961
,金泰里,2655,8201445,200428,95124,3622763,168727,176730,89552,4555,3663874,27113,125598,5070,21911,3282568,7835690,12347
,北安里,997,1149507,6587,26188,858478,70987,32355,8647,1035,125667,3126,12912,189,3333,736527,1026314,2301
,其　他,64,46815,4711,11,34693,1755,3104,373,88,1499,0,178,0,402,29352,41426,277
,合　計,79655,129036035,1628211,2174751,66073679,5211108,5140031,884011,95949,45450682,326283,1290925,45529,714874,57111703,120022364,217441
文山區,景美里,1778,2209979,39824,39531,1620709,135847,58487,10297,2678,265378,6758,26556,2682,1233,1406919,1995219,8690
"表166-A(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 北 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,景行里,2240,2478900,16793,63223,1888221,128969,90109,13404,2760,238950,1412,33395,942,721,1618537,2209513,6166
,景仁里,1633,1999417,8580,53378,1571771,105020,33188,17224,3258,165588,3458,36674,627,651,1361223,1788171,5331
,萬有里,1923,2366572,15998,65659,1825108,123380,49111,15413,2262,226531,7419,22321,841,12529,1578001,2119444,7424
,景慶里,2131,2224292,13732,36868,1740146,127197,39095,8649,1933,206035,26174,20513,754,3195,1473450,1958255,4182
,萬隆里,2540,2984823,17519,53377,2332155,173203,35163,5817,3539,297775,3877,53766,1802,6830,2014029,2666140,9615
,萬祥里,1589,1675395,9263,26722,1335732,96165,30639,8875,1817,143830,3520,18256,360,216,1136487,1475589,3814
,萬年里,1929,2624900,14046,47975,1599274,159299,71253,13545,1427,666336,11740,36976,1535,1494,1372696,2398147,8113
,萬盛里,1673,2005230,7124,36286,1454775,125637,48032,50302,2219,256755,4038,16625,1171,2267,1253612,1803985,6272
,萬和里,1056,1291399,2949,29291,921007,85907,18236,14178,1578,180712,3781,32289,576,895,797010,1167308,3636
,興福里,1932,2054327,7590,35352,1618265,106810,39804,7980,2244,181706,971,29456,1027,23121,1370800,1806832,4649
,興得里,1988,2036983,14508,30996,1641776,92642,69441,5497,2628,139747,6787,31060,739,1163,1389380,1784402,5051
,興豐里,1717,2178939,13866,32446,1689323,111090,29530,19658,1698,252282,1496,25792,503,1256,1475012,1964626,5547
,興旺里,2885,3030660,16408,72579,2538506,129462,27842,14419,4078,182215,2659,36092,3661,2739,2159687,2650896,12501
,興光里,1143,1396881,11989,31468,1055778,63983,35380,9694,932,169360,1101,15835,1231,130,915754,1256742,5230
,興安里,2273,3042421,20969,86244,2180837,176289,67941,11350,3198,443570,5348,42813,1870,1992,1904401,2763135,9459
,興昌里,2416,3623515,13226,90360,2585918,166812,65039,18510,3298,592663,10221,37602,4560,35305,2277461,3312851,17421
,興泰里,1373,1504974,7226,23240,1217844,77623,28868,11638,1228,121804,1189,12603,219,1491,1045399,1332529,4026
,興業里,1903,2205019,8494,28641,1659391,138652,47843,4959,2135,286735,10550,16082,854,683,1426681,1971218,6677
,景東里,2370,2667681,15652,53117,2143437,133371,47253,8813,2277,225301,5426,30684,1875,476,1836557,2360672,8168
,景華里,1930,2182938,21668,57015,1654513,126590,54365,9674,2360,226163,9916,18636,897,1142,1419757,1948181,7303
,興家里,2582,2480957,13650,39968,2053583,112363,20642,6554,2690,197991,1843,26673,1158,3842,1713645,2140753,7333
,萬芳里,2757,3066130,13796,70579,2442133,135045,45446,19658,4684,289468,10177,31553,2708,883,2092030,2715598,15149
,木柵里,2945,4282015,28417,88900,2950177,239253,115378,25962,3493,641028,27993,63129,3950,94334,2597676,3928723,16225
,博嘉里,1884,3036425,17354,52576,1894075,106659,67891,14211,3399,819545,7328,51436,1352,599,1658170,2800348,7217
,樟腳里,1899,2846286,25146,73547,1812547,118632,51540,9164,2788,638318,26571,87058,735,240,1572011,2605928,5236
,老泉里,193,139438,1697,1864,113364,6500,2863,481,77,9227,0,3295,30,40,90332,116406,247
,木新里,2981,2992730,28213,47463,2370478,161679,72117,27658,3612,224471,3377,50652,2272,738,2008700,2629823,11055
,指南里,1166,1380475,11673,21632,1122982,64029,21859,8233,929,104065,5295,17540,671,1566,969085,1226373,7018
,華興里,2934,4309122,18553,57838,3103063,183403,62763,20740,5253,756327,8838,88101,1123,3119,2725345,3931222,8572
,順興里,2450,2539499,16077,37759,2037648,110193,34875,11039,2553,210942,4385,29860,2007,42162,1717993,2219780,6876
,萬興里,2783,4209927,20918,150869,3152473,231681,73633,14512,4921,449433,12146,91236,3551,4553,2786813,3806154,18926
,明興里,2440,2559779,15504,36278,2101144,127717,27879,6542,3889,211393,2310,25666,1098,358,1783182,2241721,7124
,明義里,891,937426,3322,10020,754527,43711,12946,3195,1247,82902,0,24014,1221,323,645941,828758,3740
,試院里,2409,3018974,14518,46452,2238148,158684,55038,8292,3104,428606,5467,59727,727,210,1927995,2708495,6623
,樟新里,1966,2483332,16970,50699,1909491,116371,61974,7957,2063,240831,40642,32394,1932,2008,1656164,2230220,8113
,樟林里,2873,3070094,12817,49016,2439463,175258,33027,13577,2644,301738,4613,35148,2414,380,2077998,2708372,11887
,忠順里,1407,1838611,13017,38985,1396891,112813,23755,13477,2342,170479,3423,57478,2326,3626,1220445,1661899,8195
,萬美里,2375,3477678,21270,43702,2310513,133504,72739,24431,2762,782129,10511,65817,3745,6556,2012847,3179461,13917
,興邦里,1650,1819191,6662,20124,1474510,102789,24551,5383,1789,155653,1253,23304,628,2545,1265120,1610335,4326
"表166-A(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 北 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,樟樹里,1586,1573264,11567,17471,1275839,76805,24998,6208,1485,140403,556,14530,883,2517,1072401,1369716,4581
,政大里,2379,4481155,21165,165565,3287864,167386,87810,24783,10528,579026,15590,86770,3605,31062,2959522,4152452,19310
,樟文里,2009,2116352,11322,25495,1641446,106858,29276,7438,2427,223436,7490,60249,457,457,1387262,1862123,3661
,其　他,49,29674,293,236,21935,1386,468,3873,15,711,42,671,19,25,17885,25624,207
,合　計,87030,106473781,641342,2140806,80178780,5376668,2010088,563266,118239,13127563,327690,1620331,67338,301670,69191414,95434139,344812
南港區,南港里,2031,1969167,13918,39680,1503321,90452,60260,10512,2782,218671,1469,20492,293,7317,1250412,1708936,1754
,三重里,2333,4110157,21348,65039,2777188,120422,120847,43566,3536,747321,19183,158973,1850,30885,2471482,3804105,7807
,新富里,1342,1182835,14726,17217,961550,52475,37254,5570,1160,78037,381,11994,161,2310,794772,1015616,1017
,中研里,3223,3360444,15692,34828,2707115,195725,53279,24558,5817,268753,9250,36896,1650,6882,2290374,2935780,13466
,鴻福里,1667,1771119,14052,26303,1304886,91905,35281,4478,1626,250015,3091,20507,264,18711,1099880,1566103,2291
,東新里,2435,2287774,18872,32673,1782132,88138,42808,6836,2523,272256,13297,24357,29,3852,1462619,1965096,2203
,西新里,1688,1449957,9264,19950,1162183,55856,55550,7463,2535,123025,653,9511,404,3563,950398,1238161,2619
,新光里,1301,1459504,9935,16598,864596,61344,47490,3758,1891,439110,889,10791,401,2703,707025,1301873,2021
,百福里,1775,1579670,10733,21702,1288758,61579,22799,8937,1938,141177,31,19399,301,2316,1059484,1350396,2638
,玉成里,1679,1616570,11752,25135,1245258,62655,43596,6931,1448,197634,41,17114,1234,3774,1033256,1404569,3976
,成福里,2630,2496312,15370,39626,2054769,105384,32241,11753,3669,195690,1140,25437,5381,5850,1722244,2161636,10408
,中南里,1180,946561,5914,13827,736353,38374,23120,6781,845,108752,643,11057,370,526,588489,798339,1276
,舊庄里,2834,2406846,22166,45313,2047484,86694,31168,9180,3126,133766,487,21437,107,5918,1664594,2023974,2921
,九如里,2043,1856765,18298,25278,1533707,83111,25606,9070,1802,133755,3064,20991,226,1856,1269680,1592704,3882
,東明里,1687,2072958,40196,63995,1532361,81901,51005,17083,1484,242006,4184,31042,2728,4972,1312881,1853223,7342
,合成里,2368,2874729,21152,51144,1921756,123837,72527,13111,2773,582746,3134,61962,246,20340,1628513,2581363,2969
,聯成里,1754,1628985,10740,17577,1268305,94164,29329,4251,1797,119145,3819,75117,177,4564,1049865,1410469,1567
,萬福里,1510,1565604,11866,37854,1168346,82756,53001,5800,1545,182046,1017,14344,125,6905,988726,1384619,2237
,仁福里,1854,1846905,14516,38094,1555596,67285,10322,6172,1801,123820,433,26391,41,2434,1312144,1603427,3010
,重陽里,1820,3238437,20220,134959,2329425,99703,71121,44202,3318,469614,2673,53735,7547,1921,2081012,2986743,14659
,其　他,38,22139,90,1012,18178,1460,144,337,9,835,0,75,0,0,14483,18444,12
,合　計,39192,41743438,320820,767803,31763266,1745220,918747,250347,47427,5028174,68878,671623,23534,137599,26752332,36705577,90076
內湖區,紫陽里,3019,3872384,31346,40050,2834435,159279,82107,18709,7782,608702,5638,56789,1872,25677,2445646,3483615,7228
,紫星里,2778,3018419,23445,46025,2258920,123782,118600,7027,3294,358961,2710,53399,1373,20884,1912746,2672833,6210
,湖興里,2748,3357698,24173,41295,2278112,117520,122943,19784,4180,679620,2717,36798,1543,29013,1929120,3008576,6546
,大湖里,2061,3098518,17485,41803,2020915,119357,114061,17356,4780,694615,1225,27268,526,39127,1751492,2828978,5335
,紫雲里,1883,1985873,12456,32647,1622791,85303,25430,7952,3130,136903,4028,33694,2265,19276,1379187,1741834,8420
,瑞陽里,2752,3277152,47748,56551,2462657,163732,70796,7789,3468,389572,16134,36295,1686,20723,2116838,2932351,6159
,清白里,3190,5385995,20917,93384,3635171,193370,156781,48579,4048,1068206,46043,88074,1466,29955,3236519,4987331,8859
,港墘里,2144,2647304,18774,18852,1953268,114246,87407,7718,3213,391730,2850,34521,172,14552,1678881,2372871,3067
,西湖里,2662,2630822,15456,32757,2064276,127302,80643,5704,3963,255272,2282,34408,526,8234,1732826,2299372,4110
,石潭里,1355,2271507,44779,43287,1349661,57333,130145,29315,2096,509590,7294,62493,16423,19091,1180864,2096732,26321
,葫洲里,2535,3778962,20918,48344,2762075,137934,114736,20869,2910,582517,14084,48053,3881,22641,2420653,3437425,11005
,五分里,3359,3207944,34228,38901,2632823,114393,68345,13845,5047,234598,224,44733,353,20453,2180372,2755291,4103
"表166-A(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 北 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,內湖里,2211,2480816,12787,37564,1831988,129204,88323,23589,2182,283261,10713,36396,1490,23318,1577226,2225359,6930
,週美里,2689,4164193,60065,88320,2552783,141137,164675,58315,4215,936097,6844,80227,407,71107,2215709,3833156,4316
,內溝里,1619,1623882,13924,17973,1288745,61263,29722,4229,2025,176470,3044,9848,940,15698,1077762,1412480,4108
,碧山里,2278,2562019,12186,29220,2096795,97899,34993,6843,3367,188689,17008,54814,1317,18888,1798139,2263081,6032
,瑞光里,1653,1836905,10475,24007,1365051,86463,35336,4071,1807,279618,2032,25858,295,1893,1150527,1622378,3899
,金龍里,1867,1758239,17626,60556,1374556,75094,32287,4830,1793,154948,5926,19854,544,10225,1137777,1521040,3586
,行善里,2243,2129394,18566,22381,1730866,81204,44527,9062,2514,193131,0,21051,621,5471,1442339,1841073,4401
,湖濱里,2927,4635511,29075,57207,3015813,217631,161231,14887,3619,954259,17883,78079,1376,84451,2651032,4268843,8061
,東湖里,2752,2453967,19283,34695,2056916,92258,49253,4330,3744,156869,3092,22804,190,10532,1688874,2085857,2338
,樂康里,2913,2630908,25439,39678,2213980,87725,35681,6836,3443,171774,2678,25355,418,17901,1828874,2245798,4029
,西安里,2518,3028441,21094,24343,2179672,134200,51588,15770,2505,518288,9895,38903,2362,29821,1862377,2711131,8295
,西康里,3422,5176348,38557,65049,3270488,210418,121931,36544,5454,1323296,9403,64308,2101,28800,2839506,4744824,10306
,港富里,3164,3987602,25566,56802,2679234,179232,130961,25134,7965,704824,2787,130353,1021,43723,2279811,3587819,6970
,港華里,3193,4184035,15575,45994,2818342,167119,118479,19650,4110,909867,7315,50159,797,26625,2417406,3783103,4928
,港都里,1927,2448030,19370,26142,1668020,111232,125517,5481,3194,372577,906,35891,503,79198,1428206,2208216,2784
,金瑞里,2287,2334942,16292,30427,1874029,105564,40722,3745,2339,232341,3253,18982,636,6611,1588329,2048262,4477
,湖元里,2120,2549417,18058,31741,1821964,107118,110579,11656,2864,391780,1780,38395,198,13284,1550809,2278248,2458
,安湖里,2645,2983526,35002,50369,2364593,119090,70221,9418,2912,284176,7781,26397,2141,11425,2005961,2623487,6310
,秀湖里,2396,4264724,30313,60824,2347727,194118,192383,12589,4244,1310082,24795,49227,556,37865,2057682,3974897,4766
,安泰里,1811,1666736,8794,26711,1398340,57871,15043,5488,2708,122900,227,20796,936,6922,1155141,1423523,3588
,金湖里,3435,8731303,35130,106174,5173672,289207,238105,76027,4947,2403429,32960,205918,3705,162028,4730694,8280256,15314
,康寧里,2944,3740841,18683,48334,2871228,128105,66546,20330,4483,523803,5424,43192,1344,9368,2473166,3340986,8577
,明湖里,1774,1876874,14892,41242,1466330,65318,41938,6114,2168,213819,652,17941,238,6222,1227396,1637947,2060
,蘆洲里,394,305791,5133,3725,225683,7736,17177,712,389,37076,523,6954,0,681,176146,256253,66
,麗山里,2072,2559962,22788,34856,1846046,116456,91140,7421,2216,373489,5174,21863,211,38303,1584687,2298512,2991
,寶湖里,3041,6547524,37365,142803,4354316,242913,224879,40066,4648,1208470,61599,140057,1938,88469,3954054,6146513,12820
,南湖里,1862,3206417,15990,28978,2468387,115031,99228,28423,4428,344230,11455,67930,3555,18783,2212002,2949368,10908
,其　他,145,136019,5721,912,112672,3825,831,1237,113,8447,323,1692,245,2,97992,121096,711
,合　計,94788,124536941,915475,1770923,88343338,4937982,3605292,667446,138311,20688295,360698,1909771,62171,1137240,76174768,112350715,253392
士林區,仁勇里,1284,1442942,23826,25750,843746,69127,138508,9803,1285,312338,5017,10796,15,2731,707862,1307058,1528
,福林里,1014,2376886,302265,48135,820716,77225,99040,57065,938,929534,8328,13749,16944,2946,704529,2259575,26482
,福志里,2806,3647978,15076,70476,2313207,265134,129762,19896,2763,726608,11313,74264,2413,17067,1996516,3331189,11346
,福德里,1526,1910829,14313,43267,1234365,118781,101371,7530,1442,363694,636,22034,327,3068,1058329,1734792,2822
,福佳里,2697,3451679,22694,69685,2149586,194367,154951,24383,2588,779487,3671,39841,992,9434,1840664,3143233,6640
,舊佳里,2188,2679133,48017,61518,1536598,163407,119318,14473,2587,691578,1659,33303,1068,5606,1296932,2438572,6142
,富光里,1711,1384684,16850,16170,1090945,46182,19972,6024,2119,167583,1815,10203,487,6334,876473,1170031,2120
,後港里,2795,2870396,26611,41289,2033436,166606,77324,12520,3815,476099,4094,25845,593,2163,1694461,2531199,4283
,前港里,1520,1819112,20656,30020,1145700,75290,84704,17480,1390,417748,1005,17175,272,7670,958830,1629960,2288
,福中里,2294,2262094,18382,37017,1713110,94255,69375,16288,2735,277151,471,23454,175,9680,1426022,1974886,2208
"表166-A(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 北 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,葫蘆里,2359,1985176,27380,37680,1631611,85069,29638,4356,2392,141701,1249,19372,1517,3212,1340714,1693676,5285
,福順里,1642,1424198,23594,20268,1100255,67470,38552,11083,1419,135184,1647,17567,367,6791,900219,1224162,1537
,葫東里,1283,1071083,11159,15184,843966,46159,40004,6738,1081,91368,789,13103,239,1293,687756,914873,2311
,社新里,2643,2115188,23643,32553,1724777,80761,44519,19273,2364,148513,3773,26751,721,7539,1391363,1781586,3015
,社子里,1951,1714077,20279,24822,1343187,69616,31521,3828,2431,190467,1675,24073,13,2164,1095905,1467738,1653
,永倫里,2338,1890994,24520,20174,1492421,80886,42907,8371,2226,199889,363,13980,222,5035,1202567,1601098,2316
,翠山里,1024,1359528,6968,34118,880827,89391,31635,3025,2129,288707,390,17790,1406,3142,766745,1245265,7318
,福安里,1178,892306,14063,12108,696461,32973,23580,2137,807,99844,154,8776,0,1403,549940,745777,525
,富洲里,1496,1130060,20930,9725,897067,35120,27555,9596,1083,119613,86,6504,43,2739,702926,936423,900
,承德里,2088,2532275,33626,43894,1695012,128654,101853,14151,1830,470893,3363,31143,1307,6550,1442060,2278395,6788
,蘭雅里,3131,4318612,62810,138662,2716536,233026,185596,78063,3762,818045,22436,37425,1944,20306,2351291,3952568,10593
,德行里,1595,2027596,17079,35836,1210911,83887,87099,10213,1998,553615,10107,13622,249,2980,1028012,1844712,2635
,忠誠里,2090,5320756,33104,91338,1950963,190802,190539,18280,3995,2782677,11628,30308,1395,15728,1712830,5082470,5786
,三玉里,2204,4747562,37533,83720,1897580,165464,172201,21457,2103,2068294,12005,112903,1603,172697,1648324,4498204,7038
,芝山里,2733,6016771,235112,111927,2650763,201604,154583,20062,2729,2566109,12432,39920,1773,19757,2325332,5705568,7696
,岩山里,1203,1898586,11292,58025,1062893,76046,67802,18865,1187,429925,1364,22267,1286,147635,921005,1747280,4906
,義信里,1044,1686987,23074,15069,784034,74602,100558,5264,1005,659500,379,17214,886,5402,673005,1575109,2965
,永福里,444,2647157,5155,20175,728116,40286,72859,3993,390,1752442,1625,19721,55,2341,679094,2598091,1415
,新安里,698,4055705,291609,14145,540321,72911,88881,4291,1652,3025563,19,11797,800,3716,468597,3982085,1800
,公館里,407,732449,19836,27336,330149,21966,31632,2956,292,294818,0,3160,154,151,283071,685323,795
,陽明里,989,2149123,23471,14005,908608,68969,117700,6200,1150,985587,48,16599,686,6101,801076,2041408,4048
,菁山里,437,2668287,20976,2425,490211,24672,29220,2912,261,2092568,283,4155,0,603,435961,2614037,194
,平等里,373,373558,5467,4222,248502,17067,15772,1198,307,77015,0,2227,166,1616,203953,328991,766
,溪山里,350,474922,5142,4355,243172,19990,27842,1795,686,168236,685,2840,0,179,202840,434589,288
,百齡里,2421,2166734,13169,38870,1683237,99046,44318,9983,4113,248853,2992,18142,133,3879,1380686,1864159,2209
,天玉里,3122,5461964,46170,131054,2902127,245175,288184,55869,2929,1611514,12359,152373,2363,11846,2560604,5103286,11901
,天福里,2216,2995816,14543,40690,1915000,134038,147773,11927,2153,693966,4048,23715,1187,6777,1658816,2739632,6636
,天祿里,1904,2668264,61383,36989,1607877,136191,176329,9569,1604,570211,4536,57902,1001,4672,1395376,2455638,4573
,天壽里,1900,4680490,51345,70731,2151723,172163,156365,16608,2438,1995372,3738,38399,1432,20176,1936245,4462761,7072
,東山里,1721,3383017,21901,81592,1615281,129264,83824,26167,2055,1365748,2656,49010,1443,4077,1406948,3198242,5171
,福華里,1915,1627430,24540,19891,1291690,70798,28632,9383,1858,163188,120,12965,1053,3313,1055559,1391166,3410
,聖山里,1821,2688013,19827,44842,1735313,158147,91140,21046,1749,542614,38584,28791,406,5555,1521262,2468640,4833
,天和里,2796,6624928,26173,98629,2627631,199086,196735,29070,4052,3376522,15795,32560,1691,16984,2306527,6302897,8707
,明勝里,1716,1750062,14863,20932,1252468,87178,36702,13341,1235,303454,1825,14460,735,2869,1047015,1544428,3550
,社園里,2165,1789312,30757,20516,1455392,74144,32473,15075,1705,139561,439,16071,192,2988,1174826,1508694,1684
,蘭興里,2391,3488935,42210,91148,2146437,184481,142582,17723,2737,816703,3346,24984,3134,13450,1869276,3212426,10096
,天母里,2460,7317276,42465,95220,2597306,257688,226896,32263,3424,3921069,69009,56408,1075,14455,2325444,7042707,6803
,名山里,2662,3668289,25545,67739,2259857,199599,140003,22778,2590,853358,45930,43087,660,7143,1952712,3359895,6562
,德華里,1926,2236036,64239,40842,1449321,124966,56260,6505,1829,468528,781,16755,958,5052,1217620,2004649,4940
"表166-A(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：臺 北 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,天山里,2526,3945716,48600,80927,2306914,179893,167616,11686,2873,1098092,1839,34371,1593,11312,2030605,3667692,9022
,臨溪里,1109,3978438,24809,82913,1074421,100859,164830,31006,558,2424907,23277,27813,1068,21976,953464,3857355,4068
,其　他,244,143497,262,1311,120210,3390,4115,966,36,11873,0,1258,59,17,93833,117119,444
,合　計,92550,139692907,2079312,2379930,75141954,5833869,4933153,804535,100879,45907924,355783,1432945,60304,662319,64262022,128801311,250112
北投區,湖山里,499,661404,6892,10241,353396,30151,52961,7383,282,193946,0,6614,75,-537,297012,605401,794
,永欣里,2933,5983143,34688,171495,4067640,231084,168885,26252,3319,1228464,9341,33529,5275,3169,3715482,5625605,32380
,泉源里,661,698585,28228,8019,482814,31055,17069,3010,1406,101204,21,25757,0,0,403073,618836,526
,一德里,2329,2326001,24482,32806,1763930,90236,78981,15158,3255,274220,2341,39802,537,252,1470373,2027301,3090
,關渡里,3589,3723700,36140,49519,2801476,144359,76993,15117,3989,529454,12197,52350,1183,924,2345977,3269021,6125
,桃源里,2065,2015430,12985,27919,1582924,78508,30519,7729,2037,250305,2182,18837,1206,280,1314677,1746370,4923
,文化里,1400,1551820,7171,24636,1272514,96175,17118,4757,1442,105478,1971,20356,204,0,1086016,1365997,2901
,永和里,3202,5192753,48778,99174,3021505,195880,203622,45280,3065,1484406,12232,76157,2509,147,2648147,4818028,11519
,立農里,2916,2925823,19917,51435,2341122,134335,45135,18387,3051,274168,3842,33720,667,45,1971984,2556864,5034
,清江里,2609,2416710,28077,49355,1833977,115332,64654,9835,2258,275279,1656,35087,483,716,1523314,2106014,3011
,八仙里,1797,1929648,16788,28243,1429872,89054,51685,5603,2464,263382,15555,25716,826,460,1211809,1711553,4360
,洲美里,637,503652,5800,10800,365470,26271,36785,1380,449,54668,0,1891,138,0,286990,425172,936
,中和里,1715,1884550,14370,47002,1312126,109708,70343,5446,1325,299308,1235,22576,1004,106,1108530,1680590,4396
,開明里,2172,3273551,23792,57348,2166707,139842,70121,7143,1633,785389,476,20495,608,0,1906746,3013012,4757
,長安里,2032,1988113,13896,55364,1489967,98245,81489,19484,3198,201611,3634,19943,1280,2,1259183,1756449,4212
,大同里,1997,2151680,14297,35523,1595338,103269,55590,6344,2834,298823,3274,35615,473,300,1358257,1914081,3569
,福興里,2335,2381619,24657,50783,1847645,121095,49013,9176,2682,228660,4424,42673,811,0,1556824,2079811,4902
,石牌里,1935,1938458,21405,26230,1498329,94363,55094,9883,2731,207698,2287,19914,524,0,1259774,1699066,3798
,奇岩里,3235,4393677,32834,72851,2841576,198346,131269,150421,3674,908395,10202,41897,2211,0,2446730,3996776,9141
,稻香里,1595,1453451,15039,42337,1149411,63436,16741,18587,1707,127145,1405,17485,158,0,948999,1252981,2786
,中央里,2909,3267992,30820,69853,2305795,136480,102359,13875,2265,555383,13154,37189,818,0,1955893,2912798,5673
,溫泉里,2277,2460759,44097,33672,1693800,123348,65694,14289,1947,455340,2719,24589,1215,48,1423069,2188645,4830
,立賢里,1803,1785052,35219,25698,1396572,82364,39689,5969,2321,168684,2195,25895,448,0,1173016,1561988,2868
,中心里,2189,2483789,31065,56480,1714695,109891,70550,14813,2459,447960,10780,24610,477,9,1456391,2225286,5376
,智仁里,1959,1738705,15805,23638,1441108,85761,27521,4248,1837,118725,1542,16806,1714,0,1189602,1487589,5354
,吉利里,2258,2498820,17677,48871,1944457,125039,55401,7155,2755,266845,4104,25639,948,-71,1651996,2206182,4582
,尊賢里,1534,1546232,13210,23542,1221626,70984,34121,14130,1409,141830,1743,22527,1109,0,1030026,1353849,4330
,東華里,1457,1554174,15699,20731,1213823,82551,48099,11378,2311,136762,983,21148,472,216,1029798,1369216,4569
,吉慶里,1716,1827294,8590,36312,1382327,91750,60049,6380,1930,200386,6866,32236,467,0,1168151,1613119,2635
,中庸里,1409,1240551,10350,27344,983217,59702,30165,5148,1353,104735,1984,16398,120,34,812680,1069970,1397
,秀山里,1015,880050,6970,23541,682334,60560,14540,5559,1405,77667,0,7473,0,0,561181,755022,758
,建民里,1446,1830726,13253,30150,1151921,94168,99973,15715,2311,383488,1675,37575,0,497,982672,1660186,1007
,榮光里,2320,2409139,17244,52870,1852850,105085,53603,24067,2444,275193,3146,22277,361,0,1558196,2113337,4059
,裕民里,2726,3764164,27276,126145,2517499,167659,139120,24150,3836,692624,14921,49355,1580,0,2189106,3433029,9169
,振華里,2714,3146706,27188,60068,2250427,179287,152090,13656,2612,419385,3474,37523,997,0,1933127,2829192,7232
