"表166-G(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：宜 蘭 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,四季村,71,54400,64,628,49531,1451,50,59,15,1801,0,437,359,5,39553,44421,694
,樂水村,44,33061,426,536,31333,486,65,89,30,6,0,89,0,0,24282,26009,0
,南山村,40,26312,579,18,23230,744,532,26,4,1113,0,66,0,0,17969,21051,19
,崙埤村,105,70666,1229,1234,64729,1304,1113,59,171,708,0,119,0,0,49586,55523,0
,英士村,38,20493,863,149,18017,214,33,28,5,1102,0,84,0,0,13732,16209,26
,復興村,38,19531,1081,50,16084,385,285,50,5,177,0,1414,0,0,12370,15816,0
,茂安村,27,17737,21,51,17153,201,174,0,5,93,0,38,0,0,13429,14014,0
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,653,421616,6943,5408,377106,8718,9429,426,352,9503,0,3323,359,49,291975,336485,774
南澳鄉,南澳村,317,225950,7500,1327,206118,5778,2816,35,172,1584,0,607,2,11,162678,182508,561
,碧候村,174,97106,545,353,92099,2481,198,26,30,1157,0,218,0,0,68060,73067,53
,東岳村,107,76367,931,2414,67214,2460,1296,229,14,1373,0,376,0,59,52765,61919,0
,武塔村,93,63114,761,491,57239,2331,1048,43,24,912,0,169,0,96,44716,50591,106
,金岳村,63,38781,516,394,37282,395,0,0,41,13,0,60,0,80,28560,30059,2
,金洋村,87,49950,312,538,48173,544,114,0,26,171,0,72,0,0,37190,38967,0
,澳花村,184,113067,5234,960,97163,837,1930,68,23,6245,0,411,0,193,72796,88699,9
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,1025,664334,15799,6477,605288,14827,7403,401,331,11456,0,1913,2,439,466767,525811,731
其　他,其　他,21,17234,266,35,12909,1211,1662,44,44,933,0,129,0,0,10414,14738,0
,合　計,21,17234,266,35,12909,1211,1662,44,44,933,0,129,0,0,10414,14738,0
