"表166-G(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：宜 蘭 縣,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,新建里,530,391519,9967,6561,308808,27244,5672,729,255,29332,13,2486,0,454,245003,327714,135
,拔雅里,493,365527,11207,3392,307122,10959,3180,2130,401,19302,204,5484,114,2031,243605,302009,665
,福成里,241,159708,10979,2010,129373,6153,473,4851,94,5078,0,681,0,15,97912,128397,11
,金面里,407,257905,14537,3547,211258,9144,5212,234,104,12347,0,1402,0,121,162338,208985,114
,金盈里,206,131681,7086,2488,105530,3451,613,1717,139,10115,0,490,8,43,80236,106387,273
,頂埔里,358,230617,7032,6812,192272,9531,1569,453,290,9160,0,3006,101,390,149922,188266,353
,下埔里,222,145750,1455,241,126634,7457,320,56,119,6485,0,2976,0,6,97230,116346,16
,中崙里,263,300749,9642,840,138775,5997,1981,495,149,140636,0,1918,0,316,107249,269223,48
,二城里,294,171545,8848,947,140724,6885,2260,190,130,9273,27,801,238,1222,106622,137443,818
,龜山里,97,58895,4349,695,44986,3102,221,0,90,4784,0,654,0,13,34800,48709,0
,其　他,1,435,0,0,430,0,0,0,0,3,0,2,0,0,322,327,0
,合　計,5857,4004385,154077,62368,3103772,183303,41912,14550,3602,393399,1903,37246,742,7511,2410788,3312296,4757
礁溪鄉,大忠村,745,522924,13058,6880,405077,34823,11500,2331,380,40355,0,4051,1940,2529,318781,436166,3234
,大義村,154,98483,11941,2317,73129,3166,1748,410,96,4698,156,774,0,48,55998,81811,128
,二龍村,295,210520,9516,1776,167580,6986,3619,592,196,18630,0,1058,0,568,130666,173606,155
,德陽村,1104,884028,18602,11259,645797,74921,36778,3418,746,86044,143,4858,339,1123,519158,757579,1763
,白雲村,417,278133,9718,10106,229400,9854,3365,825,414,12773,85,1290,0,301,175934,225014,340
,玉石村,538,449015,8752,3419,332307,22276,8341,1945,515,65252,100,4148,0,1962,271945,388653,54
,六結村,422,355489,13349,6884,239151,22931,12049,907,294,51672,44,8055,0,151,191877,308348,173
,時潮村,348,229821,9950,1937,191082,6338,3147,448,234,13784,0,2848,0,53,148503,187599,263
,林美村,266,179905,7547,932,144713,5456,1800,169,110,18464,0,550,0,164,105106,145832,3
,三民村,638,388702,15619,3080,320643,16641,3688,1203,621,24615,0,2049,0,543,238911,312063,73
,玉田村,537,384982,19935,26562,295730,14788,4529,4260,182,15890,0,2434,0,672,227554,318999,59
,白鵝村,211,140366,2389,4391,112784,5997,2116,584,86,11231,0,525,0,261,86356,114470,36
"表166-G(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：宜 蘭 縣,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,玉光村,262,181798,6119,2633,141355,9289,3475,166,181,17466,58,808,0,249,109801,151020,78
,光武村,338,259169,20908,3100,190969,12806,1899,1745,269,25590,35,1829,0,20,148379,217034,201
,匏崙村,177,111760,2485,3469,95288,4298,231,55,137,4696,0,929,0,172,72352,88824,15
,二結村,112,74023,2091,349,57942,3134,1424,110,84,8369,0,520,0,0,43976,60057,0
,吳沙村,678,519487,22663,9149,418075,21504,10136,1682,701,32277,2,3211,0,87,332097,434000,122
,龍潭村,842,535990,28216,6743,451326,18352,3303,949,508,21032,174,3424,451,1511,345438,430102,933
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,8084,5804595,222858,104987,4512348,293560,113147,21800,5753,472838,797,43361,2731,10415,3522830,4831176,7630
壯圍鄉,東港村,185,107879,3674,565,91887,2930,519,219,111,7177,0,722,0,75,69228,85219,20
,復興村,344,207371,10388,4330,165451,6548,1233,180,161,16023,0,2118,0,939,123794,165933,18
,吉祥村,661,484355,18136,5508,402427,15709,3132,870,1305,26627,0,6743,0,3898,319208,401135,253
,新南村,211,142115,7024,1323,117015,5414,514,406,124,7404,1757,788,0,346,90584,115684,39
