"表166-I(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：嘉 義 市,單位：金額(千元)",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
,保福里,988,825278,26024,27858,631427,38323,13241,1628,706,77820,967,6235,204,845,516641,710491,699
,保生里,1178,946713,31832,19501,715606,45733,12582,1306,641,108980,132,9211,0,1189,579870,810977,346
,北新里,271,202431,14434,2734,157335,6021,4190,254,325,15642,0,1337,0,159,124168,169263,25
,育英里,582,502010,11554,8417,358178,55555,7167,672,325,55011,206,4552,0,373,300646,444478,479
,湖內里,1153,884377,25891,18385,692237,40542,14717,1559,1062,78367,3,6798,126,4690,553563,745704,739
,美源里,1120,949216,15969,33898,686802,79501,20933,3361,604,97006,246,10336,3,555,565723,828140,963
,致遠里,474,364378,10822,13905,272871,36603,3317,949,321,22126,354,3077,11,22,222497,314005,393
,翠岱里,372,301538,2421,15606,224613,28919,3735,939,249,20937,442,3225,199,253,184692,261617,935
,自強里,441,379089,10846,22801,265727,26338,11448,1854,210,32566,145,3236,0,3918,218285,331647,429
,培元里,417,325803,12717,10154,232406,30103,7627,1274,206,25449,0,4283,1061,523,188372,281750,2218
,車店里,1732,1479958,46401,20956,1105127,70552,26189,3666,1177,188902,1652,12767,203,2364,903117,1277947,1092
,光路里,1452,1208278,27327,21809,964284,78013,11661,3755,1050,87452,1934,9447,0,1545,797400,1041394,743
,香湖里,198,145601,3291,2985,120535,4953,2702,87,66,9780,0,1186,14,3,96682,121749,206
,湖邊里,582,450537,15517,11063,312891,33364,6235,887,439,64074,90,5118,0,859,247601,385246,94
,重興里,487,338318,8319,6593,268317,14718,5634,249,583,29819,123,3551,0,412,212918,283215,252
,北榮里,607,491131,11785,18235,385977,26825,2692,498,329,38708,391,5205,261,225,315003,420071,1244
,新厝里,1103,909836,26052,20536,683179,41213,14093,886,780,114210,501,7991,51,346,553806,780444,742
,竹圍里,1124,848261,31866,31757,631968,38655,18320,1492,691,80980,1566,10522,0,443,506353,722647,491
,保安里,962,749970,26573,22774,591491,32006,7104,880,672,57765,135,9210,8,1353,477669,636514,679
,北湖里,720,554212,19898,5026,462744,20046,4519,361,487,34784,120,6023,0,204,373021,464488,131
,下埤里,428,292659,11862,3133,222063,8702,7278,213,87,37714,5,1563,0,40,171132,241728,45
,竹村里,299,238223,9993,6296,170851,9095,7888,473,94,28423,0,5107,0,1,136211,203583,46
,書院里,612,509915,16835,20703,327931,31052,38550,765,299,71039,36,2561,80,64,266326,448257,785
,福全里,1168,902932,41370,34790,654482,44198,19203,1443,2641,89594,498,14639,0,75,526208,774658,233
,西平里,887,735343,21987,8981,589812,32023,7016,1362,832,63659,15,9280,0,376,483802,629334,480
"表166-I(103年度)各類所得金額各縣市鄉鎮村里統計表-縣市別：嘉 義 市,單位：金額(千元)",,,,,,,,,,,,,,,,,,
鄉鎮市區,村里,納稅單位,合　　計,營利所得,執行業務所得,薪資所得,利息所得,租賃及權利金,財產交易所得,機會中獎所得,股利所得,退職所得,其他所得,稿費所得,申報大於歸戶,薪資淨所得,按薪資淨所得計算之綜合所得,稿費收入
,磚󼍕里,972,794131,17235,20552,617771,45949,12296,1229,1777,65263,3075,8879,0,105,500738,677098,442
,劉厝里,1869,1709360,46224,33809,1410604,68371,12753,2670,1139,117360,1279,14783,0,367,1167624,1466380,1119
,港坪里,952,828879,22703,16380,663398,39385,8911,1843,558,67812,430,6178,0,1281,544585,710067,592
,頭港里,428,310767,10797,6358,248888,11644,1999,323,269,27148,24,3155,0,162,197110,258989,33
,大溪里,491,348446,14516,4739,279898,10405,6686,652,263,25187,48,5879,0,173,222578,291126,97
,垂楊里,480,388991,15935,23106,271215,19640,15339,342,1946,31379,755,8695,0,639,220607,338382,286
,新西里,515,367971,9200,2719,301501,20271,3284,1087,276,26194,234,3020,0,185,241072,307541,62
,福民里,1639,1403447,39171,41806,1004492,87961,35725,9136,1045,166454,1619,13991,335,1713,819649,1218856,1792
,其　他,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,合　計,33813,27441718,836936,774717,20624077,1548154,581027,63639,27285,2642108,32671,273115,3435,34554,16773224,23592851,24998
其　他,其　他,23,31417,170,2814,23599,1518,22,24,1,1362,1771,136,0,0,20502,28319,0
,合　計,23,31417,170,2814,23599,1518,22,24,1,1362,1771,136,0,0,20502,28319,0
